# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# M1 IS SUPERSEDED BY THIS TABLE AND ITS $-PER-+0.01 CONVERSION IS WITHDRAWN.  M1 corrupted the true score HOMOSCEDASTICALLY in rank, so every synthetic column on it carried its quality uniformly across the day; every real fitted column concentrates its somewhere, and the measured ordering of our columns on the TAIL is the REVERSE of their ordering on the bulk.
# M3 corrupts HETEROSCEDASTICALLY, in the shape the champion actually has: rho = RHO_TAIL above the true 90th within-day percentile and 0.0 below it, because 0.0 is what the champion measures in the bulk.
# THE KNOB IS NOT THE AXIS.  What is reported is the REALISED top-decile spearman and the REALISED q90/q95/q99 tail lift in dollars — what a threshold rule consumes — beside the dollars earned.
# Rows marked OBSERVED place the real columns on the same curve by their own measured tail statistics, so pricing a score is a lookup rather than a model.
era	rho_tail	topdec_spearman_MEASURED	tail_lift_q90_usd	tail_lift_q95_usd	tail_lift_q99_usd	usd_per_session_ALL	sd_usd	n_trades_total	n_era_sessions	best_policy	causal_oracle	capture_of_causal_oracle
E5	0.0	-0.0016	-2.63	-3.52	-2.4	32.05	19.25	815.4	387	TAU_0.7	2021.0	0.0159
E5	0.1	0.0101	33.26	39.09	47.66	116.29	17.88	819.2	387	DAYSOFAR_0.9	2021.0	0.0575
E5	0.2	0.025	73.8	87.22	114.87	195.42	31.94	739.6	387	TAU_0.95	2021.0	0.0967
E5	0.3	0.0432	118.14	142.02	186.23	318.3	38.07	738.0	387	TAU_0.95	2021.0	0.1575
E5	0.5	0.0844	220.2	270.85	341.77	536.08	28.8	692.6	387	TAU_0.99	2021.0	0.2653
E5	0.7	0.1228	341.46	410.01	508.78	716.06	41.13	722.6	387	TAU_0.99	2021.0	0.3543
E5	0.9	0.1747	489.93	561.03	638.12	791.33	61.81	630.4	387	TAU_0.99	2021.0	0.3916
E5	1.0	0.274	570.33	620.42	700.17	854.71	54.52	600.2	387	TAU_0.99	2021.0	0.4229
E6	0.0	-0.0014	-2.11	-3.38	5.25	22.75	6.35	737.8	384	DAYSOFAR_0.5	2675.0	0.0085
E6	0.1	0.0085	45.19	54.2	66.84	97.8	16.59	736.8	384	TAU_0.975	2675.0	0.0366
E6	0.2	0.0248	97.38	117.53	151.05	207.06	30.31	699.6	384	TAU_0.975	2675.0	0.0774
E6	0.3	0.0429	156.5	188.56	241.27	351.75	39.75	674.8	384	TAU_0.975	2675.0	0.1315
E6	0.5	0.0864	287.0	353.82	459.33	619.89	51.27	675.2	384	TAU_0.99	2675.0	0.2317
E6	0.7	0.1211	448.08	535.69	666.03	872.55	48.87	582.6	384	TAU_0.99	2675.0	0.3262
E6	0.9	0.174	644.5	736.74	838.51	1019.41	76.43	571.2	384	TAU_0.99	2675.0	0.3811
E6	1.0	0.2758	759.36	825.0	936.19	1085.8	61.49	577.8	384	TAU_0.99	2675.0	0.4059
E7	0.0	0.0007	-0.98	-2.64	-18.58	60.29	38.69	701.8	393	DAYSOFAR_0.9	3360.0	0.0179
E7	0.1	0.0115	54.22	60.75	64.68	218.43	29.76	689.6	393	TAU_0.95	3360.0	0.065
E7	0.2	0.0279	112.85	139.05	163.77	396.71	42.48	714.6	393	TAU_0.95	3360.0	0.1181
E7	0.3	0.0441	179.83	222.05	277.3	554.9	47.11	732.2	393	TAU_0.95	3360.0	0.1651
E7	0.5	0.0859	328.82	409.45	533.75	850.91	78.5	727.2	393	TAU_0.95	3360.0	0.2532
E7	0.7	0.1223	513.16	622.81	779.08	1098.06	14.62	598.6	393	TAU_0.99	3360.0	0.3268
E7	0.9	0.1789	740.08	859.26	978.45	1282.63	54.39	592.2	393	TAU_0.99	3360.0	0.3817
E7	1.0	0.2849	873.19	965.62	1093.59	1427.86	66.65	599.6	393	TAU_0.99	3360.0	0.425
E5	OBSERVED	0.2772	143.82	211.45	301.96					S_XGB	2021.0	
E5	OBSERVED	0.0834	68.75	87.37	110.89					A_EV_RAW	2021.0	
E5	OBSERVED	0.1777	37.15	72.71	121.39					H3_DAYZ	2021.0	
E5	OBSERVED	0.2122	33.62	62.29	113.03					V_SHALLOW	2021.0	
E5	OBSERVED	0.177	65.46	99.33	139.98					V_FLOWGEO	2021.0	
E5	OBSERVED	0.995	1090.06	1226.71	1384.53					ORACLE_DAYRANK	2021.0	
E6	OBSERVED	0.2345	167.89	244.64	390.43					S_XGB	2675.0	
E6	OBSERVED	0.1981	103.57	149.13	204.43					A_EV_RAW	2675.0	
E6	OBSERVED	0.1667	64.35	96.72	155.24					H3_DAYZ	2675.0	
