# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# Paired per-session differences (same session list both sides), CR1 intervals clustered by DAY.
era	arm	vs	n_sessions	delta_usd_per_session	lo	hi
E3	ORACLE_JOINT	ORACLE_MEMBER_D0	390	145.22	136.25	154.2
E3	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	390	2508.09	2333.66	2682.53
E3	ORACLE_MEMBER_D0	CHAMP_D0	390	2131.27	1915.87	2346.68
E3	ORACLE_GATE_D0	CHAMP_D0	382	681.93	597.98	765.88
E3	ORACLE_GATE_D60	CHAMP_D0	381	656.13	571.0	741.25
E3	ORACLE_GATE_D120	CHAMP_D0	380	634.34	548.95	719.73
E3	ORACLE_ABSTAIN_D0	CHAMP_D0	380	560.02	480.03	640.02
E3	ORACLE_PICK2_D0	CHAMP_D0	390	356.53	286.41	426.65
E3	ORACLE_GATE_D60	ORACLE_GATE_D0	379	-26.73	-41.98	-11.49
E3	ORACLE_GATE_D120	ORACLE_GATE_D0	378	-46.3	-63.66	-28.94
E4	ORACLE_JOINT	ORACLE_MEMBER_D0	385	132.55	123.92	141.18
E4	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	385	2821.9	2672.01	2971.79
E4	ORACLE_MEMBER_D0	CHAMP_D0	385	1548.18	1396.98	1699.38
E4	ORACLE_GATE_D0	CHAMP_D0	382	344.54	300.87	388.2
E4	ORACLE_GATE_D60	CHAMP_D0	380	319.1	275.07	363.13
E4	ORACLE_GATE_D120	CHAMP_D0	379	302.09	257.18	347.01
E4	ORACLE_ABSTAIN_D0	CHAMP_D0	381	272.83	233.34	312.33
E4	ORACLE_PICK2_D0	CHAMP_D0	385	125.83	98.45	153.21
E4	ORACLE_GATE_D60	ORACLE_GATE_D0	380	-23.81	-31.85	-15.77
E4	ORACLE_GATE_D120	ORACLE_GATE_D0	379	-37.18	-48.55	-25.81
E5	ORACLE_JOINT	ORACLE_MEMBER_D0	387	123.74	114.98	132.5
E5	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	387	2542.48	2406.56	2678.4
E5	ORACLE_MEMBER_D0	CHAMP_D0	387	1623.21	1452.8	1793.62
E5	ORACLE_GATE_D0	CHAMP_D0	382	355.73	312.56	398.9
E5	ORACLE_GATE_D60	CHAMP_D0	381	338.26	294.75	381.77
E5	ORACLE_GATE_D120	CHAMP_D0	380	326.36	281.2	371.52
E5	ORACLE_ABSTAIN_D0	CHAMP_D0	380	292.84	253.51	332.16
E5	ORACLE_PICK2_D0	CHAMP_D0	387	97.43	75.02	119.84
E5	ORACLE_GATE_D60	ORACLE_GATE_D0	381	-13.32	-19.98	-6.66
E5	ORACLE_GATE_D120	ORACLE_GATE_D0	380	-25.69	-34.96	-16.42
E6	ORACLE_JOINT	ORACLE_MEMBER_D0	384	157.0	143.08	170.92
E6	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	384	4358.16	4143.11	4573.21
E6	ORACLE_MEMBER_D0	CHAMP_D0	384	2439.91	2179.34	2700.48
E6	ORACLE_GATE_D0	CHAMP_D0	370	690.22	604.27	776.17
E6	ORACLE_GATE_D60	CHAMP_D0	368	670.1	583.88	756.31
E6	ORACLE_GATE_D120	CHAMP_D0	368	657.22	571.03	743.41
E6	ORACLE_ABSTAIN_D0	CHAMP_D0	360	499.61	440.79	558.44
E6	ORACLE_PICK2_D0	CHAMP_D0	384	264.27	199.99	328.55
E6	ORACLE_GATE_D60	ORACLE_GATE_D0	368	-18.44	-29.9	-6.98
E6	ORACLE_GATE_D120	ORACLE_GATE_D0	368	-27.13	-41.76	-12.5
E7	ORACLE_JOINT	ORACLE_MEMBER_D0	393	192.97	179.28	206.66
E7	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	393	6432.99	6060.23	6805.74
E7	ORACLE_MEMBER_D0	CHAMP_D0	393	3118.97	2793.32	3444.63
E7	ORACLE_GATE_D0	CHAMP_D0	378	830.65	733.47	927.82
E7	ORACLE_GATE_D60	CHAMP_D0	377	812.0	703.36	920.64
E7	ORACLE_GATE_D120	CHAMP_D0	376	801.6	691.91	911.28
E7	ORACLE_ABSTAIN_D0	CHAMP_D0	365	606.21	537.82	674.61
E7	ORACLE_PICK2_D0	CHAMP_D0	393	292.52	220.14	364.91
E7	ORACLE_GATE_D60	ORACLE_GATE_D0	375	-20.69	-78.35	36.98
E7	ORACLE_GATE_D120	ORACLE_GATE_D0	374	-34.88	-92.33	22.56
E8	ORACLE_JOINT	ORACLE_MEMBER_D0	381	195.18	178.86	211.49
E8	ORACLE_JOINT_DISPLACED	ORACLE_MEMBER_D0	381	8728.59	8201.71	9255.47
E8	ORACLE_MEMBER_D0	CHAMP_D0	381	2100.79	1788.46	2413.11
E8	ORACLE_GATE_D0	CHAMP_D0	378	363.68	308.8	418.55
E8	ORACLE_GATE_D60	CHAMP_D0	378	294.08	229.17	359.0
E8	ORACLE_GATE_D120	CHAMP_D0	379	255.55	161.53	349.58
E8	ORACLE_ABSTAIN_D0	CHAMP_D0	378	272.93	232.53	313.32
E8	ORACLE_PICK2_D0	CHAMP_D0	381	144.98	100.72	189.24
E8	ORACLE_GATE_D60	ORACLE_GATE_D0	378	-69.6	-105.81	-33.38
E8	ORACLE_GATE_D120	ORACLE_GATE_D0	378	-130.09	-203.96	-56.23
