# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
FM_TABPFN_E3FULL	cell	1	1170	1170	0.0	-83.29	-0.0328	-0.0873	0.0216
FM_TABPFN_E3FULL	cell	2	2340	1181	49.5	-140.69	-0.0554	-0.1111	0.0002
FM_TABPFN_E3FULL	cell	3	3510	1189	66.1	-56.11	-0.0221	-0.0773	0.0331
FM_TABPFN_E3FULL	cell	5	5850	1204	79.4	-66.49	-0.0262	-0.0801	0.0277
FM_TABPFN_E3FULL	cell	8	9360	1217	87.0	-114.18	-0.045	-0.1002	0.0103
FM_TABPFN_E3FULL	session	1	390	390	0.0	18.45	0.0073	-0.03	0.0446
FM_TABPFN_E3FULL	session	2	780	413	47.1	-24.48	-0.0096	-0.049	0.0297
FM_TABPFN_E3FULL	session	3	1170	434	62.9	-1.7	-0.0007	-0.04	0.0387
FM_TABPFN_E3FULL	session	5	1950	463	76.3	-40.97	-0.0161	-0.0561	0.0238
FM_TABPFN_E3FULL	session	8	3120	500	84.0	-109.92	-0.0433	-0.084	-0.0026
FM_TABPFN_WINNER	cell	1	1170	1170	0.0	-34.58	-0.0136	-0.0753	0.0481
FM_TABPFN_WINNER	cell	2	2340	1182	49.5	-113.76	-0.0448	-0.1032	0.0136
FM_TABPFN_WINNER	cell	3	3510	1188	66.2	-119.59	-0.0471	-0.1053	0.011
FM_TABPFN_WINNER	cell	5	5850	1205	79.4	-137.61	-0.0542	-0.1125	0.0041
FM_TABPFN_WINNER	cell	8	9360	1244	86.7	-188.29	-0.0742	-0.1306	-0.0177
FM_TABPFN_WINNER	session	1	390	390	0.0	5.69	0.0022	-0.0337	0.0382
FM_TABPFN_WINNER	session	2	780	433	44.5	-21.45	-0.0085	-0.0473	0.0304
FM_TABPFN_WINNER	session	3	1170	463	60.4	-42.31	-0.0167	-0.058	0.0247
FM_TABPFN_WINNER	session	5	1950	506	74.1	-73.38	-0.0289	-0.0702	0.0124
FM_TABPFN_WINNER	session	8	3120	556	82.2	-80.51	-0.0317	-0.0751	0.0116
LMART_HP_NOTF	cell	1	1170	1170	0.0	978.57	0.3855	0.3133	0.4577
LMART_HP_NOTF	cell	2	2340	1183	49.4	837.83	0.3301	0.2599	0.4003
LMART_HP_NOTF	cell	3	3510	1196	65.9	706.46	0.2783	0.2091	0.3476
LMART_HP_NOTF	cell	5	5850	1230	79.0	485.35	0.1912	0.1222	0.2602
LMART_HP_NOTF	cell	8	9360	1278	86.3	90.49	0.0357	-0.0371	0.1084
LMART_HP_NOTF	session	1	390	390	0.0	215.14	0.0848	0.0422	0.1273
LMART_HP_NOTF	session	2	780	470	39.7	222.32	0.0876	0.0432	0.132
LMART_HP_NOTF	session	3	1170	523	55.3	232.3	0.0915	0.0447	0.1384
LMART_HP_NOTF	session	5	1950	620	68.2	271.7	0.107	0.0509	0.1632
LMART_HP_NOTF	session	8	3120	743	76.2	256.63	0.1011	0.0396	0.1626
