# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# three INDEPENDENT readers of the same second: the full model (with teacher features), the teacher-evidence block alone, and the raw event-stream cue block alone
# 2of3 / 3of3 = the candidate is inside the tier for at least two / all three scores; alone_* is the same tier for one score by itself
era	rule	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E3	1of3_any	top_0.05%	231	49	182	0.0816	0.0073	0.1559	-95.8163	-315.4563	123.8237	0.3769	1.8148	-36.1154	-116.4698	44.2390	-114.5122	-173.8889	-504.0041	-1142.5000	0.0000	0.4074	0.3154	41	-12.0385	-106.7045	362.2449	0.3469	0.1837	-4695.0000
E3	2of3	top_0.05%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	3of3	top_0.05%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	alone_FULL_TF	top_0.05%	78	8	70	0.0000	0.0000	0.0000	-126.8750	-444.9810	191.2310	0.0615	0.2963	-7.8077	-23.7912	8.1758	-145.0000	-37.5926	-125.8980	-338.0000	0.0000	0.1852	0.0538	7	-2.6026	-145.0000	339.8438	0.2500	0.1250	-1015.0000
E3	alone_TEACHER	top_0.05%	76	15	61	0.0667	-0.0808	0.2141	-170.8333	-650.8995	309.2328	0.1154	0.5556	-19.7115	-70.7680	31.3449	-197.1154	-94.9074	-329.5463	-930.0000	0.0000	0.2222	0.1000	13	-6.5705	-183.0357	420.4167	0.4667	0.2000	-2562.5000
E3	alone_SEQ	top_0.05%	77	30	47	0.1333	0.0116	0.2551	-39.7917	-366.2854	286.7021	0.2308	1.1111	-9.1827	-80.5441	62.1787	-44.2130	-44.2130	-408.4602	-1222.0000	0.0000	0.2963	0.2077	27	-3.0609	-42.6339	317.9167	0.3000	0.2000	-1193.7500
E3	1of3_any	top_0.1%	450	80	370	0.0750	0.0188	0.1312	-110.0000	-305.4685	85.4685	0.6154	2.9630	-67.6923	-188.4524	53.0678	-146.6667	-325.9259	-906.4482	-1641.0000	-97.5000	0.5185	0.4615	60	-22.5641	-123.9437	284.9219	0.3375	0.1625	-8800.0000
E3	2of3	top_0.1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	3of3	top_0.1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	alone_FULL_TF	top_0.1%	151	17	134	0.0000	0.0000	0.0000	-165.2941	-437.4143	106.8261	0.1308	0.6296	-21.6154	-54.1235	10.8928	-216.1538	-104.0741	-301.9002	-660.0000	0.0000	0.1852	0.1000	13	-7.2051	-187.3333	266.5441	0.3529	0.0000	-2810.0000
E3	alone_TEACHER	top_0.1%	152	19	133	0.0526	-0.0624	0.1677	46.9737	-435.5757	529.5230	0.1462	0.7037	6.8654	-55.6839	69.4147	59.5000	33.0556	-250.7906	-898.5000	0.0000	0.2222	0.1154	15	2.2885	52.5000	367.4342	0.3684	0.2632	892.5000
E3	alone_SEQ	top_0.1%	147	50	97	0.1200	0.0306	0.2094	-74.7500	-344.7902	195.2902	0.3846	1.8519	-28.7500	-130.5281	73.0281	-86.9186	-138.4259	-639.2849	-1402.0000	0.0000	0.4074	0.3308	43	-9.5833	-81.2500	265.1250	0.3000	0.2200	-3737.5000
E3	1of3_any	top_0.2%	887	127	760	0.0551	0.0173	0.0930	-101.3091	-275.3961	72.7780	0.9769	4.7037	-98.9712	-270.3629	72.4206	-164.9519	-476.5278	-1234.9091	-2365.0000	-105.0000	0.5185	0.6000	78	-32.9904	-120.2453	292.1260	0.3858	0.2047	-12866.2500
E3	2of3	top_0.2%	10	3	7	0.3333	-2.4903	3.1569	588.7500	376.9799	800.5201	0.0231	0.1111	13.5865	-6.5659	33.7390	883.1250	65.4167	-34.1859	0.0000	0.0000	0.0000	0.0154	2	4.5288	883.1250	931.2500	0.3333	0.3333	1766.2500
E3	3of3	top_0.2%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	alone_FULL_TF	top_0.2%	303	26	277	0.0769	-0.0143	0.1681	21.9231	-365.4552	409.3013	0.2000	0.9630	4.3846	-67.4924	76.2617	30.0000	21.1111	-381.2943	-1117.0000	0.0000	0.2963	0.1462	19	1.4615	24.7826	377.1635	0.3846	0.1923	570.0000
E3	alone_TEACHER	top_0.2%	291	32	259	0.0000	0.0000	0.0000	-190.1563	-561.1477	180.8352	0.2462	1.1852	-46.8077	-136.1868	42.5714	-253.5417	-225.3704	-651.4073	-1803.0000	0.0000	0.4444	0.1846	24	-15.6026	-217.3214	363.2813	0.5312	0.1875	-6085.0000
E3	alone_SEQ	top_0.2%	303	81	222	0.0988	0.0346	0.1629	4.7994	-241.4762	251.0750	0.6231	3.0000	2.9904	-147.8781	153.8589	6.5890	14.3981	-602.9373	-1826.5000	137.5000	0.3333	0.4538	59	0.9968	5.3253	264.6605	0.3210	0.2593	388.7500
E3	1of3_any	top_0.5%	2218	200	2018	0.0950	0.0551	0.1349	44.4375	-86.1057	174.9807	1.5385	7.4074	68.3654	-131.9384	268.6692	89.7727	329.1667	-528.4665	-2242.5000	415.0000	0.4074	0.7615	99	22.7885	55.5469	319.5625	0.3800	0.2500	8887.5000
E3	2of3	top_0.5%	64	13	51	0.1538	-0.0822	0.3899	1176.7308	201.9925	2151.4690	0.1000	0.4815	117.6731	15.7991	219.5470	1699.7222	566.5741	119.8271	0.0000	0.0000	0.0370	0.0692	9	39.2244	1274.7917	485.0962	0.2308	0.6923	15297.5000
E3	3of3	top_0.5%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	alone_FULL_TF	top_0.5%	762	42	720	0.1190	0.0323	0.2058	300.3571	-12.8177	613.5320	0.3231	1.5556	97.0385	-6.0461	200.1230	420.5000	467.2222	-46.3379	-542.5000	0.0000	0.2593	0.2308	30	32.3462	350.4167	311.6071	0.2857	0.3095	12615.0000
E3	alone_TEACHER	top_0.5%	759	58	701	0.0517	-0.0077	0.1111	-118.6853	-340.7808	103.4101	0.4462	2.1481	-52.9519	-150.6037	44.6999	-163.8988	-254.9537	-689.8954	-1860.0000	0.0000	0.4444	0.3231	42	-17.6506	-134.9755	410.5603	0.5172	0.2241	-6883.7500
E3	alone_SEQ	top_0.5%	761	131	630	0.1145	0.0560	0.1730	40.5630	-141.2090	222.3349	1.0077	4.8519	40.8750	-139.9963	221.7463	72.7911	196.8056	-526.9713	-1993.5000	56.2500	0.3333	0.5615	73	13.6250	45.8082	288.4542	0.3511	0.2519	5313.7500
E3	1of3_any	top_1%	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500
E3	2of3	top_1%	240	29	211	0.0690	-0.0292	0.1671	183.3621	-385.8652	752.5894	0.2231	1.0741	40.9038	-76.6177	158.4254	295.4167	196.9444	-349.5346	-1147.0000	0.0000	0.1852	0.1385	18	13.6346	189.9107	341.3793	0.3793	0.2759	5317.5000
E3	3of3	top_1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E3	alone_FULL_TF	top_1%	1519	79	1440	0.1013	0.0316	0.1710	144.4462	-67.5666	356.4590	0.6077	2.9259	87.7788	-41.1381	216.6958	219.4471	422.6389	-215.7911	-1182.5000	257.5000	0.3333	0.4000	52	29.2596	175.5577	331.0127	0.2911	0.2532	11411.2500
E3	alone_TEACHER	top_1%	1518	90	1428	0.0778	0.0230	0.1326	46.1111	-189.1105	281.3327	0.6923	3.3333	31.9231	-127.6712	191.5173	71.5517	153.7037	-653.7950	-1803.0000	0.0000	0.4815	0.4462	58	10.6410	57.6389	415.7639	0.4667	0.2556	4150.0000
