# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# predicted vs realised winner rate INSIDE each tier, over CANDIDATES (a calibration statement is about the score, not the schedule)
# the head is fitted with reg:squarederror on the 0/1 winner label, so its output is a predicted RATE and is directly comparable
era	grain	score	tier	n_candidates	predicted_rate	realised_rate	realised_ci_lo	realised_ci_hi	score_min	score_max	realised_minus_predicted
E3	candidate	FULL_TF	top_0.02%	30	0.4447	0.0000	0.0000	0.0000	0.3872	0.4940	-0.4447
E3	candidate	SHUFFLE	top_0.02%	30	0.4447	0.0667	-0.0294	0.1627	0.3872	0.4940	-0.3781
E3	candidate	FULL_TF	top_0.05%	76	0.3970	0.0000	0.0000	0.0000	0.3426	0.4940	-0.3970
E3	candidate	SHUFFLE	top_0.05%	76	0.3970	0.0658	0.0086	0.1230	0.3426	0.4940	-0.3312
E3	candidate	FULL_TF	top_0.1%	152	0.3590	0.0000	0.0000	0.0000	0.3010	0.4940	-0.3590
E3	candidate	SHUFFLE	top_0.1%	152	0.3590	0.0526	0.0122	0.0931	0.3010	0.4940	-0.3064
E3	candidate	FULL_TF	top_0.2%	304	0.3202	0.0526	0.0030	0.1022	0.2664	0.4940	-0.2675
E3	candidate	SHUFFLE	top_0.2%	304	0.3202	0.0625	0.0348	0.0902	0.2664	0.4940	-0.2577
E3	candidate	FULL_TF	top_0.5%	759	0.2759	0.0791	0.0099	0.1482	0.2259	0.4940	-0.1968
E3	candidate	SHUFFLE	top_0.5%	759	0.2759	0.0487	0.0310	0.0665	0.2259	0.4940	-0.2271
E3	candidate	FULL_TF	top_1%	1518	0.2410	0.1061	0.0398	0.1724	0.1929	0.4940	-0.1350
E3	candidate	SHUFFLE	top_1%	1518	0.2410	0.0507	0.0361	0.0653	0.1929	0.4940	-0.1903
E3	candidate	FULL_TF	top_2%	3036	0.2097	0.0932	0.0487	0.1377	0.1686	0.4940	-0.1165
E3	candidate	SHUFFLE	top_2%	3036	0.2097	0.0501	0.0405	0.0597	0.1686	0.4940	-0.1597
E3	candidate	FULL_TF	top_5%	7591	0.1753	0.0892	0.0607	0.1177	0.1406	0.4940	-0.0861
E3	candidate	SHUFFLE	top_5%	7591	0.1753	0.0519	0.0444	0.0594	0.1406	0.4940	-0.1234
E3	candidate	FULL_TF	top_10%	15182	0.1523	0.0788	0.0605	0.0971	0.1202	0.4940	-0.0736
E3	candidate	SHUFFLE	top_10%	15182	0.1523	0.0550	0.0479	0.0621	0.1202	0.4940	-0.0973
E3	candidate	FULL_TF	top_20%	30364	0.1310	0.0789	0.0646	0.0931	0.1011	0.4940	-0.0521
E3	candidate	SHUFFLE	top_20%	30364	0.1310	0.0546	0.0481	0.0610	0.1011	0.4940	-0.0764
E3	candidate	FULL_TF	top_100%	151822	0.0692	0.0549	0.0483	0.0614	0.0087	0.4940	-0.0143
E3	candidate	SHUFFLE	top_100%	151822	0.0692	0.0549	0.0483	0.0614	0.0087	0.4940	-0.0143
E4	candidate	FULL_TF	top_0.02%	30	0.1554	0.0000	0.0000	0.0000	0.1505	0.1592	-0.1554
E4	candidate	SHUFFLE	top_0.02%	30	0.1554	0.0333	-0.0374	0.1040	0.1505	0.1592	-0.1221
E4	candidate	FULL_TF	top_0.05%	74	0.1480	0.0541	-0.1090	0.2171	0.1370	0.1592	-0.0939
E4	candidate	SHUFFLE	top_0.05%	74	0.1480	0.0405	-0.0045	0.0856	0.1370	0.1592	-0.1074
E4	candidate	FULL_TF	top_0.1%	148	0.1402	0.1554	-0.1240	0.4348	0.1280	0.1592	0.0152
E4	candidate	SHUFFLE	top_0.1%	148	0.1402	0.0608	0.0240	0.0976	0.1280	0.1592	-0.0794
E4	candidate	FULL_TF	top_0.2%	297	0.1316	0.0909	-0.0451	0.2269	0.1203	0.1592	-0.0407
E4	candidate	SHUFFLE	top_0.2%	297	0.1316	0.0640	0.0369	0.0910	0.1203	0.1592	-0.0677
E4	candidate	FULL_TF	top_0.5%	742	0.1225	0.0984	0.0250	0.1718	0.1128	0.1592	-0.0242
E4	candidate	SHUFFLE	top_0.5%	742	0.1225	0.0526	0.0367	0.0684	0.1128	0.1592	-0.0700
E4	candidate	FULL_TF	top_1%	1484	0.1155	0.1388	0.0701	0.2076	0.1054	0.1592	0.0234
E4	candidate	SHUFFLE	top_1%	1484	0.1155	0.0505	0.0393	0.0617	0.1054	0.1592	-0.0649
E4	candidate	FULL_TF	top_2%	2968	0.1084	0.1193	0.0622	0.1764	0.0984	0.1592	0.0109
E4	candidate	SHUFFLE	top_2%	2968	0.1084	0.0526	0.0428	0.0623	0.0984	0.1592	-0.0558
E4	candidate	FULL_TF	top_5%	7421	0.1000	0.1070	0.0769	0.1371	0.0917	0.1592	0.0070
E4	candidate	SHUFFLE	top_5%	7421	0.1000	0.0508	0.0432	0.0585	0.0917	0.1592	-0.0492
E4	candidate	FULL_TF	top_10%	14842	0.0945	0.1023	0.0812	0.1233	0.0870	0.1592	0.0078
E4	candidate	SHUFFLE	top_10%	14842	0.0945	0.0482	0.0419	0.0546	0.0870	0.1592	-0.0463
E4	candidate	FULL_TF	top_20%	29684	0.0889	0.0972	0.0837	0.1107	0.0803	0.1592	0.0083
E4	candidate	SHUFFLE	top_20%	29684	0.0889	0.0478	0.0421	0.0535	0.0803	0.1592	-0.0411
E4	candidate	FULL_TF	top_100%	148418	0.0573	0.0493	0.0441	0.0544	0.0207	0.1592	-0.0081
E4	candidate	SHUFFLE	top_100%	148418	0.0573	0.0493	0.0441	0.0544	0.0207	0.1592	-0.0081
E5	candidate	FULL_TF	top_0.02%	31	0.1910	0.0000	0.0000	0.0000	0.1833	0.2023	-0.1910
E5	candidate	SHUFFLE	top_0.02%	31	0.1910	0.0323	-0.0343	0.0988	0.1833	0.2023	-0.1587
E5	candidate	FULL_TF	top_0.05%	76	0.1811	0.0000	0.0000	0.0000	0.1716	0.2023	-0.1811
E5	candidate	SHUFFLE	top_0.05%	76	0.1811	0.0658	0.0106	0.1210	0.1716	0.2023	-0.1153
E5	candidate	FULL_TF	top_0.1%	153	0.1759	0.0458	-0.0590	0.1505	0.1692	0.2023	-0.1301
E5	candidate	SHUFFLE	top_0.1%	153	0.1759	0.0588	0.0188	0.0989	0.1692	0.2023	-0.1170
