# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE DAY-ABSTENTION FRONTIER.  causal_top3_running: an (asset, day) qualifies the instant its RUNNING top-3 mean of arrived candidate scores crosses the gate — no day-end quantity is read anywhere
# preday_forecaster: the oracle-free variant — a walk-forward day-value model on the forecaster + overnight state as of the day's FIRST candidate second, no candidate score in it at all
era	gate	gate_pct	gate_value	n_sessions_qualified	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E3	causal_top3_running	q0.0	0.0087	390	top_0.05%	76	8	68	0.0000	0.0000	0.0000	-126.8750	-444.9810	191.2310	0.0615	0.2963	-7.8077	-23.7912	8.1758	-145.0000	-37.5926	-125.8980	-338.0000	0.0000	0.1852	0.0538	7	-2.6026	-145.0000	339.8438	0.2500	0.1250	-1015.0000
E3	causal_top3_running	q0.0	0.0087	390	top_0.1%	151	17	134	0.0000	0.0000	0.0000	-165.2941	-437.4143	106.8261	0.1308	0.6296	-21.6154	-54.1235	10.8928	-216.1538	-104.0741	-301.9002	-660.0000	0.0000	0.1852	0.1000	13	-7.2051	-187.3333	266.5441	0.3529	0.0000	-2810.0000
E3	causal_top3_running	q0.0	0.0087	390	top_0.2%	302	26	276	0.0769	-0.0143	0.1681	21.9231	-365.4552	409.3013	0.2000	0.9630	4.3846	-67.4924	76.2617	30.0000	21.1111	-381.2943	-1117.0000	0.0000	0.2963	0.1462	19	1.4615	24.7826	377.1635	0.3846	0.1923	570.0000
E3	causal_top3_running	q0.0	0.0087	390	top_0.5%	755	42	713	0.1190	0.0323	0.2058	300.3571	-12.8177	613.5320	0.3231	1.5556	97.0385	-6.0461	200.1230	420.5000	467.2222	-46.3379	-542.5000	0.0000	0.2593	0.2308	30	32.3462	350.4167	311.6071	0.2857	0.3095	12615.0000
E3	causal_top3_running	q0.0	0.0087	390	top_1%	1510	76	1434	0.0921	0.0216	0.1626	120.4112	-97.1732	337.9956	0.5846	2.8148	70.3942	-55.7972	196.5857	183.0250	338.9352	-282.7907	-1298.0000	257.5000	0.3333	0.3846	50	23.4647	145.2579	328.1250	0.3158	0.2500	9151.2500
E3	causal_top3_running	q0.0	0.0087	390	top_2%	3021	146	2875	0.0616	0.0132	0.1100	18.0736	-158.1334	194.2807	1.1231	5.4074	20.2981	-176.2707	216.8668	33.4019	97.7315	-927.0960	-2366.5000	-622.5000	0.5926	0.6077	79	6.7660	23.9886	342.2517	0.3699	0.1849	2638.7500
E3	causal_top3_running	q0.0	0.0087	390	top_5%	7552	293	7259	0.0785	0.0501	0.1069	-46.8515	-170.1949	76.4918	2.2538	10.8519	-105.5962	-383.7813	172.5890	-123.6712	-508.4259	-2340.0537	-4746.0000	-361.2500	0.5556	0.8538	111	-35.1987	-71.1269	357.2526	0.4266	0.1911	-13727.5000
E3	causal_top3_running	q0.0	0.0087	390	top_100%	151042	1690	149352	0.0527	0.0418	0.0636	-78.3580	-122.5806	-34.1354	13.0000	62.5926	-1018.6538	-1615.7316	-421.5761	-1018.6538	-4904.6296	-7382.0216	-14176.5000	-4861.2500	0.7037	1.0000	130	-339.5513	-339.5513	408.0732	0.4811	0.1751	-132425.0000
E3	causal_top3_running	q50.0	0.0640	390	top_0.05%	72	7	65	0.0000	0.0000	0.0000	-69.2857	-418.7140	280.1426	0.0538	0.2593	-3.7308	-17.5630	10.1015	-80.8333	-17.9630	-97.2371	-179.5000	0.0000	0.1481	0.0462	6	-1.2436	-80.8333	370.5357	0.2857	0.1429	-485.0000
E3	causal_top3_running	q50.0	0.0640	390	top_0.1%	144	15	129	0.0000	0.0000	0.0000	-180.0000	-487.5538	127.5538	0.1154	0.5556	-20.7692	-51.4661	9.9276	-225.0000	-100.0000	-285.2301	-660.0000	0.0000	0.1852	0.0923	12	-6.9231	-207.6923	294.5833	0.4000	0.0000	-2700.0000
