# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE threshold frontier: every tier of every score, per era, out-of-sample (walk-forward: model_k sees only eras < k)
# precision = D-021 walled-winner rate among SEATED trades; CIs are CR1 clustered by CALENDAR DAY (the draw unit, D-036/D-073)
# takes_per_week / usd_per_week are PORTFOLIO totals across SI+HG+NKD (the user's throughput floor is 3-4 takes per week, total)
# SHUFFLE = FULL_TF's own scores permuted within the era: the red-first receipt.  Its frontier must be FLAT.
era	grain	score	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E3	candidate	FULL_TF	top_0.02%	30	2	28	0.0000	0.0000	0.0000	451.2500	-2328.2323	3230.7323	0.0154	0.0741	6.9423	-3.8253	17.7099	451.2500	33.4259	-19.9185	0.0000	0.0000	0.0000	0.0154	2	2.3141	451.2500	415.6250	0.5000	0.5000	902.5000
E3	candidate	FULL_TF	top_0.05%	76	8	68	0.0000	0.0000	0.0000	-126.8750	-444.9810	191.2310	0.0615	0.2963	-7.8077	-23.7912	8.1758	-145.0000	-37.5926	-125.8980	-338.0000	0.0000	0.1852	0.0538	7	-2.6026	-145.0000	339.8438	0.2500	0.1250	-1015.0000
E3	candidate	FULL_TF	top_0.1%	152	17	135	0.0000	0.0000	0.0000	-165.2941	-437.4143	106.8261	0.1308	0.6296	-21.6154	-54.1235	10.8928	-216.1538	-104.0741	-301.9002	-660.0000	0.0000	0.1852	0.1000	13	-7.2051	-187.3333	266.5441	0.3529	0.0000	-2810.0000
E3	candidate	FULL_TF	top_0.2%	304	26	278	0.0769	-0.0143	0.1681	21.9231	-365.4552	409.3013	0.2000	0.9630	4.3846	-67.4924	76.2617	30.0000	21.1111	-381.2943	-1117.0000	0.0000	0.2963	0.1462	19	1.4615	24.7826	377.1635	0.3846	0.1923	570.0000
E3	candidate	FULL_TF	top_0.5%	759	42	717	0.1190	0.0323	0.2058	300.3571	-12.8177	613.5320	0.3231	1.5556	97.0385	-6.0461	200.1230	420.5000	467.2222	-46.3379	-542.5000	0.0000	0.2593	0.2308	30	32.3462	350.4167	311.6071	0.2857	0.3095	12615.0000
E3	candidate	FULL_TF	top_1%	1518	79	1439	0.1013	0.0316	0.1710	144.4462	-67.5666	356.4590	0.6077	2.9259	87.7788	-41.1381	216.6958	219.4471	422.6389	-215.7911	-1182.5000	257.5000	0.3333	0.4000	52	29.2596	175.5577	331.0127	0.2911	0.2532	11411.2500
E3	candidate	FULL_TF	top_2%	3036	149	2887	0.0671	0.0191	0.1151	11.1493	-161.0525	183.3512	1.1462	5.5185	12.7788	-183.1981	208.7558	20.7656	61.5278	-1017.8543	-2394.0000	-572.5000	0.5556	0.6154	80	4.2596	14.9662	342.8272	0.3691	0.1879	1661.2500
E3	candidate	FULL_TF	top_5%	7591	295	7296	0.0780	0.0497	0.1062	-44.5339	-166.8642	77.7964	2.2692	10.9259	-101.0577	-378.8829	176.7676	-118.3559	-486.5741	-2320.6121	-4746.0000	-65.0000	0.5185	0.8538	111	-33.6859	-68.0699	356.8856	0.4237	0.1966	-13137.5000
E3	candidate	FULL_TF	top_10%	15182	489	14693	0.0593	0.0366	0.0820	-115.2377	-205.2318	-25.2436	3.7615	18.1111	-433.4712	-779.4441	-87.4982	-436.8314	-2087.0833	-3790.2977	-7480.0000	-2192.5000	0.7778	0.9923	129	-144.4904	-199.8271	371.1273	0.4683	0.1697	-56351.2500
E3	candidate	FULL_TF	top_20%	30364	729	29635	0.0658	0.0485	0.0832	-66.0597	-137.0736	4.9543	5.6077	27.0000	-370.4423	-776.3205	35.4359	-370.4423	-1783.6111	-3931.4999	-8639.2500	-1198.7500	0.6296	1.0000	130	-123.4808	-132.3008	383.0676	0.4678	0.1989	-48157.5000
