# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# STAGE B.  Full E3-E7 walk-forward, champion HP discipline (inner-block selection only), CR1 intervals clustered by DAY, m3_walk's committed per-era (unit,N), replay proved seat-for-seat against m3_walk.replay_rows.  E8 IS NOT IN THIS TABLE.
cell	era	design_block	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_oracle	hp	fit_secs
cell|dpairs|cellrank|full|xgb|DAYSOFAR	E3	obj_x_target	1170	534.28	477.33	591.23	178.09	0.0077	0.2105	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	8.0
cell|dpairs|cellrank|full|xgb|DAYSOFAR	E4	obj_x_target	1155	514.45	466.27	562.63	171.48	0.0078	0.2436	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.7
cell|dpairs|cellrank|full|xgb|DAYSOFAR	E5	obj_x_target	1161	559.66	503.32	616.0	186.55	0.0155	0.3161	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	20.9
cell|dpairs|cellrank|full|xgb|DAYSOFAR	E6	obj_x_target	1152	597.16	538.18	656.13	199.05	0.0321	0.1977	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	20.7
cell|dpairs|cellrank|full|xgb|DAYSOFAR	E7	obj_x_target	1179	699.04	622.94	775.14	233.01	0.0407	0.1758	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	30.1
cell|dpairs|cellrank|full|xgb|TABPFN	E3	obj_x_target	1170	545.27	487.81	602.74	181.76	0.0137	0.2148	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.0
cell|dpairs|cellrank|full|xgb|TABPFN	E4	obj_x_target	1155	535.58	485.82	585.35	178.53	0.0078	0.2536	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	18.3
cell|dpairs|cellrank|full|xgb|TABPFN	E5	obj_x_target	1161	560.11	502.7	617.52	186.7	0.0155	0.3164	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	20.6
cell|dpairs|cellrank|full|xgb|TABPFN	E6	obj_x_target	1152	594.72	532.76	656.67	198.24	0.0312	0.1969	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	20.8
cell|dpairs|cellrank|full|xgb|TABPFN	E7	obj_x_target	1179	703.05	624.46	781.64	234.35	0.0407	0.1768	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	30.0
cell|dpairs|cellrank|full|xgb|DIP	E3	obj_x_target	1170	548.94	491.85	606.03	182.98	0.0128	0.2163	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.1
cell|dpairs|cellrank|full|xgb|CELLREL	E3	obj_x_target	1171	675.98	610.7	741.26	225.13	0.0248	0.2663	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	212.6
cell|dpairs|cellrank|full|xgb|DIP	E4	obj_x_target	1155	535.58	486.28	584.89	178.53	0.0078	0.2536	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.2
cell|dpairs|cellrank|full|xgb|DIP	E5	obj_x_target	1161	557.19	500.21	614.17	185.73	0.0155	0.3147	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	21.6
cell|dpairs|cellrank|full|xgb|DIP	E6	obj_x_target	1152	598.62	539.3	657.95	199.54	0.0339	0.1982	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.0
cell|dpairs|cellrank|full|xgb|BASE	E3	obj_x_target	1170	571.35	509.89	632.81	190.45	0.0145	0.2251	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.3
cell|dpairs|cellrank|full|xgb|DIP	E7	obj_x_target	1179	696.99	622.8	771.19	232.33	0.0407	0.1753	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	29.8
cell|dpairs|cellrank|full|xgb|BASE	E4	obj_x_target	1155	551.72	503.14	600.3	183.91	0.0095	0.2612	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	18.0
cell|dpairs|cellrank|full|xgb|CELLREL	E4	obj_x_target	1155	647.5	595.22	699.78	215.83	0.019	0.3065	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	289.0
cell|dpairs|cellrank|full|xgb|BASE	E5	obj_x_target	1161	556.88	500.87	612.89	185.63	0.0129	0.3145	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	20.9
cell|dpairs|cellrank|full|xgb|BASE	E6	obj_x_target	1152	587.96	528.75	647.17	195.99	0.0304	0.1947	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	20.8
cell|ndcg3|cellrank|full|xgb|CELLREL	E3	obj_x_target	1170	496.71	434.67	558.76	165.57	0.0137	0.1957	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	9.6
cell|dpairs|cellrank|full|xgb|BASE	E7	obj_x_target	1179	691.19	618.69	763.68	230.4	0.0399	0.1738	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	29.8
cell|ndcg3|cellrank|full|xgb|CELLREL	E4	obj_x_target	1155	507.95	458.4	557.51	169.32	0.0113	0.2405	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	24.3
cell|ndcg3|cellrank|full|xgb|CELLREL	E5	obj_x_target	1161	498.39	448.04	548.73	166.13	0.0103	0.2815	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	27.0
cell|ndcg3|cellrank|full|xgb|CELLREL	E6	obj_x_target	1152	417.44	363.31	471.57	139.15	0.013	0.1382	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	28.2
cell|ndcg1|cellrank|full|xgb|CELLREL	E3	obj_x_target	1170	496.71	434.67	558.76	165.57	0.0137	0.1957	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	10.0
cell|ndcg3|cellrank|full|xgb|CELLREL	E7	obj_x_target	1179	515.9	460.3	571.5	171.97	0.0136	0.1298	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	39.6
cell|ndcg1|cellrank|full|xgb|CELLREL	E4	obj_x_target	1155	507.95	458.4	557.51	169.32	0.0113	0.2405	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	24.4
cell|ndcg1|cellrank|full|xgb|CELLREL	E5	obj_x_target	1161	498.39	448.04	548.73	166.13	0.0103	0.2815	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	27.2
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	E3	obj_x_target	1171	474.38	414.56	534.2	157.99	0.0102	0.1869	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.4
cell|ndcg1|cellrank|full|xgb|CELLREL	E6	obj_x_target	1152	417.44	363.31	471.57	139.15	0.013	0.1382	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	28.0
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	E4	obj_x_target	1155	487.86	439.64	536.07	162.62	0.0087	0.231	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.3
cell|ndcg1|cellrank|full|xgb|CELLREL	E7	obj_x_target	1179	515.9	460.3	571.5	171.97	0.0136	0.1298	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	40.0
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	E5	obj_x_target	1161	470.22	420.14	520.31	156.74	0.0103	0.2656	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	22.4
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	E3	obj_x_target	1171	474.38	414.56	534.2	157.99	0.0102	0.1869	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.4
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	E6	obj_x_target	1152	460.55	407.16	513.95	153.52	0.0217	0.1525	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.4
cell|dpairs|cellrank|full|xgb|CELLREL	E5	obj_x_target	1161	579.96	527.43	632.49	193.32	0.0155	0.3276	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	439.0
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	E7	obj_x_target	1179	591.06	518.06	664.05	197.02	0.0314	0.1487	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	32.3
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	E4	obj_x_target	1155	487.86	439.64	536.07	162.62	0.0087	0.231	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.3
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	E5	obj_x_target	1161	470.22	420.14	520.31	156.74	0.0103	0.2656	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	22.8
cellclass|ndcg3|dollars|full|xgb|DIP	E3	marquee	1194	169.29	27.44	311.14	55.3	0.103	0.0667	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	8.3
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	E6	obj_x_target	1152	460.55	407.16	513.95	153.52	0.0217	0.1525	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	24.2
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	E7	obj_x_target	1179	591.06	518.06	664.05	197.02	0.0314	0.1487	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	34.8
cellclass|ndcg3|dollars|full|xgb|DIP	E4	marquee	1155	686.12	551.94	820.3	228.71	0.1169	0.3248	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	21.0
cell|ndcg3|cellrank|full|xgb|TABPFN	E3	obj_x_target	1170	431.65	373.35	489.95	143.88	0.0085	0.1701	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.9
cellclass|ndcg3|dollars|full|xgb|DIP	E5	marquee	1161	848.26	712.55	983.97	282.75	0.1163	0.4791	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	24.5
cellclass|ndcg3|dollars|full|xgb|DIP	E6	marquee	1152	436.2	275.24	597.17	145.4	0.1233	0.1444	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	23.4
cell|dpairs|cellrank|full|xgb|CELLREL	E6	obj_x_target	1152	775.41	694.19	856.64	258.47	0.0556	0.2568	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	495.8
cell|ndcg3|cellrank|full|xgb|TABPFN	E4	obj_x_target	1155	452.89	402.57	503.21	150.96	0.0069	0.2144	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.1
cell|ndcg3|cellrank|full|xgb|TABPFN	E5	obj_x_target	1161	446.85	395.98	497.73	148.95	0.0095	0.2524	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	21.7
cell|ndcg1|cellrank|full|xgb|TABPFN	E3	obj_x_target	1170	431.65	373.35	489.95	143.88	0.0085	0.1701	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.6
cellclass|ndcg3|dollars|full|xgb|DIP	E7	marquee	1178	778.99	573.54	984.43	259.88	0.1825	0.1959	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	33.1
cell|ndcg3|cellrank|full|xgb|TABPFN	E6	obj_x_target	1152	434.43	381.66	487.2	144.81	0.0174	0.1438	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.4
cell|ndcg3|cellrank|full|xgb|TABPFN	E7	obj_x_target	1179	540.12	476.47	603.77	180.04	0.0263	0.1358	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	31.9
cell|ndcg1|cellrank|full|xgb|TABPFN	E4	obj_x_target	1155	452.89	402.57	503.21	150.96	0.0069	0.2144	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.3
cell|ndcg1|cellrank|full|xgb|TABPFN	E5	obj_x_target	1161	446.85	395.98	497.73	148.95	0.0095	0.2524	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	21.9
cell|ndcg1|cellrank|full|xgb|TABPFN	E6	obj_x_target	1152	434.43	381.66	487.2	144.81	0.0174	0.1438	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.2
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	E3	pop_x_target	1171	503.91	446.86	560.97	167.83	0.0137	0.1985	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	8.8
cell|ndcg1|cellrank|full|xgb|TABPFN	E7	obj_x_target	1179	540.12	476.47	603.77	180.04	0.0263	0.1358	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	31.6
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	E4	pop_x_target	1155	503.21	456.04	550.39	167.74	0.0078	0.2382	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	21.4
cell|ndcg3|cellrank|full|xgb|BASE	E3	obj_x_target	1172	487.76	427.47	548.05	162.31	0.0137	0.1922	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.4
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	E5	pop_x_target	1161	475.65	426.59	524.71	158.55	0.0112	0.2687	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	24.5
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	E6	pop_x_target	1152	424.55	371.63	477.47	141.52	0.0139	0.1406	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	25.3
cell|ndcg3|cellrank|full|xgb|BASE	E4	obj_x_target	1155	454.48	405.92	503.04	151.49	0.0052	0.2152	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	18.8
cell|ndcg3|cellrank|full|xgb|BASE	E5	obj_x_target	1161	465.81	415.04	516.58	155.27	0.0112	0.2631	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	21.9
cell|ndcg1|cellrank|full|xgb|BASE	E3	obj_x_target	1172	487.76	427.47	548.05	162.31	0.0137	0.1922	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 8}	7.6
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	E7	pop_x_target	1179	576.24	506.65	645.82	192.08	0.0229	0.1449	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	36.2
cell|ndcg3|cellrank|full|xgb|BASE	E6	obj_x_target	1152	435.88	379.79	491.97	145.29	0.0191	0.1443	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.4
cell|ndcg1|cellrank|full|xgb|BASE	E4	obj_x_target	1155	454.48	405.92	503.04	151.49	0.0052	0.2152	{"max_depth": 4, "eta": 0.05, "lambdarank_num_pair_per_sample": 8}	19.0
cell|ndcg3|cellrank|full|xgb|BASE	E7	obj_x_target	1179	517.52	455.09	579.96	172.51	0.0237	0.1302	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	31.5
cell|ndcg1|cellrank|full|xgb|BASE	E5	obj_x_target	1161	465.81	415.04	516.58	155.27	0.0112	0.2631	{"max_depth": 4, "eta": 0.1, "lambdarank_num_pair_per_sample": 16}	22.1
cell|ndcg1|cellrank|full|xgb|BASE	E6	obj_x_target	1152	435.88	379.79	491.97	145.29	0.0191	0.1443	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	22.4
cell|ndcg1|cellrank|full|xgb|BASE	E7	obj_x_target	1179	517.52	455.09	579.96	172.51	0.0237	0.1302	{"max_depth": 6, "eta": 0.05, "lambdarank_num_pair_per_sample": 16}	31.4
