# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ONE RE-EVALUATION (fix pass 2).  Every arm on the IDENTICAL schedule: the schedule the M3 HARNESS ITSELF selects per era on its own inner validation block (the (asset,PHASE) CELL at N=1), read out of the committed walk.summary.json, with the D-077-UPDATE veto and the one-position chronological walled phase-close replay.
# The fixed top-3-per-asset-DAY schedule used by the first pass forfeits 63-65% of its takes and is NOT used here (provenance/port_m2/SEQTEST_SCHEDULE_ALERT.md).
# capture_oracle is pooled over E3..E8 with CR1 intervals clustered by DAY; the per-era columns are the same statistic per fold.
# form=primary is the champion head alone; form=composed is m3_walk's rank-sum of the two heads.  A single-head arm (a ranker) has one row.
arm	form	kind	arch	trunk	tokenizer	policy	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	capture_oracle	co_lo	co_hi	capture_day	E3	E4	E5	E6	E7	E8
REF_FORESIGHT	primary					m3_committed (cell/1,cell/2)	2320	3337.16	3233.6	3440.73	1112.55	1.128	1.1056	1.1504	0.9943	1.1698	1.2992	1.4587	1.1148	1.0275	0.986
FORESIGHT_NONCAUSAL	reference	reference				m3_committed	2320	3337.16	3233.6	3440.73	1112.55	1.128	1.1056	1.1504	0.9943	1.1698	1.2992	1.4587	1.1148	1.0275	0.986
LMART_CELL_ALLDATA	primary	rank	lambdamart-cell	NONE		m3_committed (cell/1,cell/2)	2320	935.97	845.11	1026.83	312.95	0.3164	0.2874	0.3454	0.2789	0.022	0.3619	0.3992	0.3977	0.2846	0.4089
LMART_ALLDATA_NOTF	primary	rank	lambdamart-cell	NONE		m3_committed (cell/1,cell/2)	2320	673.74	589.89	757.6	224.39	0.2277	0.2014	0.2541	0.2007	0.0171	0.069	0.2849	0.1222	0.3945	0.3247
LMART_CELL	primary	rank	lambdamart-cell	NONE		m3_committed (cell/1,cell/2)	2320	495.11	412.64	577.57	165.78	0.1674	0.141	0.1937	0.1475	-0.0278	0.0461	0.0277	0.1056	0.2364	0.3797
PROBE_SHARED_FUSED_HG	primary	probe	eventlm-probe-fused	PRE_V_shared_MULTI		m3_committed (cell/1,cell/2)	773	256.77	198.8	314.74	85.15	0.1401	0.1067	0.1735	0.0944	0.1179	0.2253	0.4687	0.1066	0.1249	0.0997
LMART_CELL_NOTF	primary	rank	lambdamart-cell	NONE		m3_committed (cell/1,cell/2)	2320	411.08	335.34	486.82	137.61	0.139	0.1143	0.1636	0.1225	-0.0302	0.111	0.0952	0.1251	0.1748	0.2479
GBT	primary	champion	gbt-m3features			m3_committed (cell/1,cell/2)	2320	323.35	286.49	360.21	107.44	0.1093	0.0964	0.1222	0.0963	0.1502	0.1127	0.1759	0.1026	0.0939	0.0748
GBT_M3FEATURES	primary					m3_committed (cell/1,cell/2)	2320	323.35	286.49	360.21	107.44	0.1093	0.0964	0.1222	0.0963	0.1502	0.1127	0.1759	0.1026	0.0939	0.0748
GBT_MAECAP	primary	champion	gbt-m3features			m3_committed (cell/1,cell/2)	2320	323.35	286.49	360.21	107.44	0.1093	0.0964	0.1222	0.0963	0.1502	0.1127	0.1759	0.1026	0.0939	0.0748
