# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE PAIRED TEST.  Both arms are seated on the SAME sessions under the HARNESS'S OWN per-era policy, so the difference is measured per session and bootstrapped with clusters = DAY (CR1) — not read off two overlapping marginal intervals.
# verdict=BEATS means the 95% interval of the paired difference is entirely above zero.
# The reference arm is the committed champion LMART_CELL_ALLDATA (cell-grouped LambdaMART on the full prior history, $935.97/session pooled, SEQTEST.md §14).
arm_a	arm_b	n_sessions	delta_usd_per_session	lo	hi	p	verdict
FT2_TOP4_ATTN/primary	LMART_HP_NOTF/primary	2320	-876.61	-966.38	-786.83	2.68e-67	LOSES
FT2_RANDOM_TOP4_ATTN/primary	LMART_HP_NOTF/primary	2320	-928.67	-1017.84	-839.49	1.39e-74	LOSES
PROBE2_PRE_V2_shared_MULTI_CPC0_FUSED/primary	LMART_HP_NOTF/primary	2320	-890.32	-983.71	-796.92	9.84e-65	LOSES
PROBE2_CTXONLY/primary	LMART_HP_NOTF/primary	2320	-905.69	-1000.2	-811.18	2.75e-65	LOSES
LMART_CELL_ALLDATA/primary	LMART_HP_NOTF/primary	2320	-238.05	-308.1	-167.99	4.85e-11	LOSES
LMART2_CELL_ALLDATA_MEM/primary	LMART_HP_NOTF/primary	2320	-461.01	-543.85	-378.16	6.22e-26	LOSES
LMART2_CELL_ALLDATA_CRE26/primary	LMART_HP_NOTF/primary	2320	-499.98	-581.06	-418.91	5.16e-31	LOSES
LMART2_CELL_ALLDATA_MEM_CRE26/primary	LMART_HP_NOTF/primary	2320	-387.07	-483.28	-290.87	9.69e-15	LOSES
LMART2_CELL_ALLDATA_HN1/primary	LMART_HP_NOTF/primary	2320	-870.08	-960.29	-779.86	5.75e-66	LOSES
GBT_ALLDATA/primary	LMART_HP_NOTF/primary	2320	-841.55	-933.46	-749.65	1.25e-60	LOSES
GBT_CRE26_ALLDATA/primary	LMART_HP_NOTF/primary	2320	-858.8	-950.16	-767.45	2.79e-63	LOSES
RANK2_CELL_ALLDATA_CTX_HN1/primary	LMART_HP_NOTF/primary	2320	-936.86	-1042.78	-830.93	2.91e-57	LOSES
LMART_CELL_EMB/primary	LMART_HP_NOTF/primary	2320	-380.41	-477.93	-282.89	5.66e-14	LOSES
LMART2_CLASS_ALLDATA/primary	LMART_HP_NOTF/primary	2320	-1162.68	-1263.53	-1061.83	2.1e-87	LOSES
LMART_HP_SHUFFLED/primary	LMART_HP_NOTF/primary	2320	-1328.4	-1432.69	-1224.12	1.39e-101	LOSES
