# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE PRE-REGISTERED LADDER: window length x capacity, every cell a full walk-forward run of six whole-day folds (train E2..Ek -> test E(k+1)).
# Pooled over E3..E8 (E8 = the GATE-2025H1 echo), scored through the identical top-3/asset-day schedule, CIs CR1 clustered by DAY.
# A rung is climbed only while honest capture improves; the whole curve is printed so a weak model and an absent signal are told apart by the shape.
mode	run	arch	rung	seq_len	params	capture_oracle	co_lo	co_hi	capture_day	usd_per_session	ps_lo	ps_hi	mean_auc_winner	mean_inner_rho	train_minutes	wall_minutes
LISTWISE	LMART_CELL	lambdamart-cell	gbt	0		0.0589	0.0395	0.0783	0.0519	174.16	115.82	232.5			0.9	0.0
LISTWISE	LMART_DAY	lambdamart-day	gbt	0		0.0081	-0.0081	0.0243	0.0072	24.01	-23.86	71.88			0.5	0.0
LISTWISE	LMART_M3FEATURES	lambdamart-m3features	gbt	0		-0.0063	-0.0233	0.0108	-0.0055	-18.57	-68.91	31.78			0.5	0.0
LISTWISE	RANK_CTXONLY	listwise-ctx	ctx-only	1024		0.0264	0.0095	0.0433	0.0233	78.09	27.92	128.25			2.7	0.0
LISTWISE	RANK_CELL_CTX	listwise-ctx-cell	ctx-only	1024		0.0084	-0.0071	0.024	0.0074	24.89	-21.08	70.86			2.9	0.0
LISTWISE	RANK_FUSED_MULTI	listwise-fused	40M-frozen	1024		0.0113	-0.0065	0.029	0.0099	33.34	-19.14	85.81			11.5	0.0
LISTWISE	RANK_FUSED_NEXT	listwise-fused	40M-frozen	1024		0.0178	0.0011	0.0344	0.0156	52.51	3.22	101.8			11.7	0.0
LISTWISE	RANK_CELL_FUSED	listwise-fused-cell	40M-frozen	1024		0.0169	0.0004	0.0334	0.0149	50.09	1.26	98.92			8.7	0.0
LISTWISE	RANK_SEQONLY	listwise-seq	40M-frozen	1024		0.0051	-0.0129	0.0231	0.0045	15.15	-38.18	68.49			9.3	0.0
PROBE	PROBE_PRE_V_shared_MULTI_CTX	eventlm-probe-ctx	40M-frozen	1024	404994	0.0234	0.0128	0.0341	0.0207	69.35	38.22	100.48	0.6014	0.44308	0.7	0.0
PROBE	PROBE_NEXTONLY_FUSED	eventlm-probe-fused	40M-frozen	1024	1126658	0.0195	0.0086	0.0304	0.0172	57.67	25.7	89.64	0.6087	0.44285	0.8	0.0
PROBE	PROBE_PRE_V_shared_MULTI_FUSED	eventlm-probe-fused	40M-frozen	1024	1126658	0.019	0.0078	0.0303	0.0168	56.35	23.23	89.46	0.6086	0.44201	0.8	0.0
PROBE	PROBE_RANDOM_FUSED	eventlm-probe-fused	40M-frozen	1024	1126658	0.0171	0.006	0.0283	0.0151	50.63	17.75	83.51	0.6058	0.44444	0.8	0.0
PROBE	PROBE_SHARED_FUSED_HG	eventlm-probe-fused	40M-frozen	1024	1126658	0.0128	-0.0171	0.0427	0.0086	23.47	-31.33	78.28	0.6509	0.4587	0.3	0.0
PROBE	PROBE_SHARED_FUSED_NKD	eventlm-probe-fused	40M-frozen	1024	1126658	0.0015	-0.0192	0.0221	0.0013	4.43	-58.67	67.54	0.585	0.48895	0.2	0.0
PROBE	PROBE_SHARED_FUSED_SI	eventlm-probe-fused	40M-frozen	1024	1126658	0.0046	-0.0118	0.021	0.0046	18.41	-46.79	83.61	0.5891	0.38444	0.4	0.0
PROBE	PROBE_SIONLY_FUSED_SI	eventlm-probe-fused	40M-frozen	1024	1126658	0.0099	-0.0062	0.0261	0.0099	39.63	-24.39	103.64	0.5802	0.38378	0.4	0.0
PROBE	PROBE_PRE_V_shared_MULTI_SEQ	eventlm-probe-seq	40M-frozen	1024	722434	0.0015	-0.0142	0.0171	0.0013	4.39	-41.96	50.73	0.6076	0.03884	1.1	0.0
SHUFFLED_CONTROL	CONTROL_shuffled_cnn_1M_L256	cnn	1M	256	958978	-0.0374	-0.0522	-0.0225	-0.0329	-110.56	-154.41	-66.7	0.5187	0.00754	0.8	0.0
SUPERVISED	LADDER_cnn_1M_L256	cnn	1M	256	958978	-0.0122	-0.029	0.0046	-0.0108	-36.18	-85.67	13.31	0.5852	0.01506	0.9	1.0
SUPERVISED	LADDER_cnn_1M_L1024	cnn	1M	1024	1052034	-0.0182	-0.0335	-0.0028	-0.016	-53.75	-98.94	-8.56	0.5883	0.03207	3.6	3.7
SUPERVISED	LADDER_cnn_1M_L4096	cnn	1M	4096	1116546	-0.0106	-0.0247	0.0034	-0.0094	-31.4	-72.87	10.07	0.5816	0.05091	28.3	28.4
SUPERVISED	LADDER_cnn_10M_L256	cnn	10M	256	10699394	-0.0196	-0.0365	-0.0027	-0.0172	-57.87	-107.63	-8.1	0.5708	0.01614	3.9	3.9
SUPERVISED	LADDER_trf_1M_L256	trf	1M	256	1078066	0.0068	-0.0092	0.0229	0.006	20.22	-27.36	67.79	0.5972	0.02068	5.0	5.1
SUPERVISED	LADDER_trf_1M_L1024	trf	1M	1024	1110978	-0.0203	-0.0348	-0.0058	-0.0179	-60.07	-102.88	-17.26	0.589	0.03092	19.4	19.4
SUPERVISED	LADDER_trf_10M_L256	trf	10M	256	11031634	-0.0278	-0.0431	-0.0125	-0.0245	-82.25	-127.26	-37.25	0.5851	0.01862	14.9	14.9
