# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_FIX2_FT2_RANDOM	E3	HG	390	244	16	0.399000	774.920000	SESS_CLOSE	483.110000	1470.360000	W2400	45.530000	111.830000
CELL1_FIX2_FT2_RANDOM	E3	NKD	390	227	7	0.389800	610.610000	CLOSE	0.000000	1366.290000	W1800	20.380000	56.060000
CELL1_FIX2_FT2_RANDOM	E3	SI	390	220	27	0.387400	919.580000	CLOSE	0.000000	1549.670000	W2400	75.600000	182.520000
CELL1_FIX2_FT2_RANDOM	E4	HG	384	241	10	0.372600	650.050000	CLOSE	0.000000	1381.810000	W600	25.150000	74.760000
CELL1_FIX2_FT2_RANDOM	E4	NKD	387	215	5	0.399400	525.390000	CLOSE	0.000000	1243.990000	W900	0.000000	44.380000
CELL1_FIX2_FT2_RANDOM	E4	SI	384	233	9	0.387900	866.470000	CLOSE	0.000000	1388.710000	W2400	26.950000	57.420000
CELL1_FIX2_FT2_RANDOM	E5	HG	387	225	4	0.394800	486.770000	CLOSE	0.000000	1304.120000	W1200	7.610000	58.670000
CELL1_FIX2_FT2_RANDOM	E5	NKD	387	214	20	0.416300	653.130000	SESS_CLOSE	417.520000	1490.470000	W2400	45.640000	128.200000
CELL1_FIX2_FT2_RANDOM	E5	SI	387	218	12	0.365800	857.660000	SESS_CLOSE	501.070000	1568.100000	W1800	42.340000	96.320000
CELL1_FIX2_FT2_RANDOM	E6	HG	384	205	13	0.373700	620.250000	SESS_CLOSE	395.850000	1392.460000	NO_WALL	24.950000	86.450000
CELL1_FIX2_FT2_RANDOM	E6	NKD	384	216	24	0.374100	785.250000	SESS_CLOSE	450.000000	1449.900000	W1200	45.510000	147.750000
CELL1_FIX2_FT2_RANDOM	E6	SI	384	182	39	0.378300	961.720000	CLOSE	0.000000	1658.690000	W1200	68.980000	242.420000
CELL1_FIX2_FT2_RANDOM	E7	HG	393	260	9	0.400900	625.600000	SESS_CLOSE	412.070000	1392.600000	W600	18.940000	57.920000
CELL1_FIX2_FT2_RANDOM	E7	NKD	393	218	42	0.408300	907.570000	CLOSE	0.000000	1536.150000	W1500	181.530000	352.820000
CELL1_FIX2_FT2_RANDOM	E7	SI	393	216	39	0.355800	1169.940000	SESS_CLOSE	540.710000	1634.410000	W600	91.890000	290.100000
CELL1_FIX2_FT2_RANDOM	E8	HG	381	239	19	0.376100	858.270000	SESS_CLOSE	489.700000	1484.460000	NO_WALL	60.530000	155.170000
CELL1_FIX2_FT2_RANDOM	E8	NKD	381	224	16	0.427400	881.590000	CLOSE	0.000000	1358.440000	W2400	81.120000	155.450000
CELL1_FIX2_FT2_RANDOM	E8	SI	381	227	21	0.398600	1088.680000	SESS_CLOSE	493.350000	1415.240000	W1200	42.130000	164.390000
