# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# the per-session identity: bar - realised = opportunity + recoverable - surplus
judge	session	era	asset	realised_usd	ceiling_usd	bar_usd	recoverable_usd	opportunity_usd	surplus_usd
CELL1_FIX2_FT2_RANDOM	HG|20220701	E3	HG	435.000000	4316.250000	2000.000000	1565.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220704	E3	HG	-252.500000	3153.750000	2000.000000	2252.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220705	E3	HG	128.750000	4666.250000	2000.000000	1871.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220706	E3	HG	2328.750000	5391.250000	2000.000000	0.000000	0.000000	328.750000
CELL1_FIX2_FT2_RANDOM	HG|20220707	E3	HG	1403.750000	4810.000000	2000.000000	596.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220708	E3	HG	597.500000	3628.750000	2000.000000	1402.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220711	E3	HG	1472.500000	2847.500000	2000.000000	527.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220712	E3	HG	928.750000	4866.250000	2000.000000	1071.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220713	E3	HG	2685.000000	4460.000000	2000.000000	0.000000	0.000000	685.000000
CELL1_FIX2_FT2_RANDOM	HG|20220714	E3	HG	2435.000000	3328.750000	2000.000000	0.000000	0.000000	435.000000
CELL1_FIX2_FT2_RANDOM	HG|20220715	E3	HG	-1121.250000	5378.750000	2000.000000	3121.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220718	E3	HG	1478.750000	3791.250000	2000.000000	521.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220719	E3	HG	1078.750000	2278.750000	2000.000000	921.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220720	E3	HG	772.500000	2428.750000	2000.000000	1227.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220721	E3	HG	535.000000	2316.250000	2000.000000	1465.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220722	E3	HG	-290.000000	3110.000000	2000.000000	2290.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220725	E3	HG	-196.250000	2128.750000	2000.000000	2196.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220726	E3	HG	441.250000	3653.750000	2000.000000	1558.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220727	E3	HG	-315.000000	3453.750000	2000.000000	2315.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220728	E3	HG	385.000000	2928.750000	2000.000000	1615.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220729	E3	HG	-183.750000	3766.250000	2000.000000	2183.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220801	E3	HG	672.500000	2416.250000	2000.000000	1327.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220802	E3	HG	-21.250000	4103.750000	2000.000000	2021.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220803	E3	HG	503.750000	2116.250000	2000.000000	1496.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220804	E3	HG	297.500000	3503.750000	2000.000000	1702.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220805	E3	HG	-227.500000	3635.000000	2000.000000	2227.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220808	E3	HG	516.250000	2491.250000	2000.000000	1483.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220809	E3	HG	728.750000	1816.250000	2000.000000	1087.500000	183.750000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220810	E3	HG	472.500000	2478.750000	2000.000000	1527.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220811	E3	HG	47.500000	1597.500000	2000.000000	1550.000000	402.500000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220812	E3	HG	835.000000	2247.500000	2000.000000	1165.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220815	E3	HG	535.000000	4153.750000	2000.000000	1465.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220816	E3	HG	772.500000	1897.500000	2000.000000	1125.000000	102.500000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220817	E3	HG	953.750000	1597.500000	2000.000000	643.750000	402.500000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220818	E3	HG	-508.750000	3710.000000	2000.000000	2508.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220819	E3	HG	-315.000000	2535.000000	2000.000000	2315.000000	0.000000	0.000000
