# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-1551.250000	-1969.830000	130	-15.150000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	19683.190000	14156.500000	130	108.900000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	12562.500000	8505.920000	130	65.430000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	337.500000	224.180000	130	1.720000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	5675.000000	3918.470000	130	30.140000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	2125.000000	995.260000	130	7.660000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	17810.060000	11795.370000	130	90.730000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	7772.500000	6381.870000	130	49.090000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	168.750000	115.010000	130	0.880000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	6418.750000	3839.970000	130	29.540000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-6176.250000	-3947.860000	130	-30.370000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	25536.890000	17018.470000	130	130.910000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	23590.000000	14836.520000	130	114.130000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	368.750000	231.330000	130	1.780000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	6450.000000	4441.500000	130	34.170000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-4938.750000	-3003.590000	130	-23.100000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	19765.380000	13403.760000	130	103.110000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	8713.750000	5515.480000	130	42.430000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	168.750000	99.020000	130	0.760000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	2750.000000	1780.870000	130	13.700000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-3183.750000	-3084.130000	130	-23.720000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	18532.800000	12305.160000	130	94.660000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	7007.500000	4874.620000	130	37.500000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	262.500000	206.790000	130	1.590000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	4468.750000	2854.510000	130	21.960000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-2071.250000	-582.650000	130	-4.480000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	25631.000000	16961.740000	130	130.470000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	27011.250000	18086.830000	130	139.130000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	687.500000	501.030000	130	3.850000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	5081.250000	4071.350000	130	31.320000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-9782.500000	-4762.550000	130	-36.630000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	22050.860000	10780.040000	130	82.920000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	15058.750000	6896.160000	130	53.050000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	637.500000	470.340000	130	3.620000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	6475.000000	3892.280000	130	29.940000
CELL1_FIX2_FT2_TOP4_ATTN	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-128.750000	-1014.440000	130	-7.800000
