# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	390	207	92	0.469700	893.290000	CLOSE	0.000000	1719.010000	W300	338.220000	541.120000
CELL1_FIX2_LMART_MEM_CRE26	E3	NKD	390	198	61	0.462900	726.410000	CLOSE	0.000000	1639.880000	W1200	111.630000	393.850000
CELL1_FIX2_LMART_MEM_CRE26	E3	SI	390	190	118	0.449900	1160.960000	CLOSE	0.000000	1809.830000	W450	329.730000	672.020000
CELL1_FIX2_LMART_MEM_CRE26	E4	HG	384	239	45	0.432200	865.640000	SESS_CLOSE	432.450000	1403.530000	W450	164.360000	300.440000
CELL1_FIX2_LMART_MEM_CRE26	E4	NKD	387	225	36	0.467600	654.750000	CLOSE	0.000000	1292.870000	W1500	76.980000	232.890000
CELL1_FIX2_LMART_MEM_CRE26	E4	SI	384	221	63	0.430400	1151.460000	CLOSE	0.000000	1366.780000	W2400	188.050000	395.680000
CELL1_FIX2_LMART_MEM_CRE26	E5	HG	387	262	13	0.461800	581.750000	SESS_CLOSE	268.670000	1126.440000	W600	32.560000	104.310000
CELL1_FIX2_LMART_MEM_CRE26	E5	NKD	387	277	26	0.515800	702.100000	SESS_CLOSE	221.400000	879.280000	W2400	49.630000	144.030000
CELL1_FIX2_LMART_MEM_CRE26	E5	SI	387	241	41	0.446600	1040.960000	CLOSE	0.000000	1228.590000	W1200	74.220000	270.580000
CELL1_FIX2_LMART_MEM_CRE26	E6	HG	384	258	33	0.481100	751.790000	SESS_CLOSE	280.120000	1142.970000	NO_WALL	98.040000	210.240000
CELL1_FIX2_LMART_MEM_CRE26	E6	NKD	384	239	54	0.483400	904.430000	SESS_CLOSE	256.050000	1227.290000	NO_WALL	93.400000	309.530000
CELL1_FIX2_LMART_MEM_CRE26	E6	SI	384	240	55	0.452800	1235.320000	SESS_CLOSE	312.930000	1060.100000	W1800	143.200000	319.410000
CELL1_FIX2_LMART_MEM_CRE26	E7	HG	393	289	23	0.482500	742.530000	SESS_CLOSE	200.730000	1024.520000	W450	75.380000	141.840000
CELL1_FIX2_LMART_MEM_CRE26	E7	NKD	393	251	82	0.491400	1190.710000	SESS_CLOSE	130.650000	1099.710000	NO_WALL	218.240000	446.150000
CELL1_FIX2_LMART_MEM_CRE26	E7	SI	393	268	72	0.462200	1333.430000	CLOSE	0.000000	981.150000	NO_WALL	193.530000	382.020000
CELL1_FIX2_LMART_MEM_CRE26	E8	HG	381	243	67	0.473100	1088.830000	SESS_CLOSE	353.590000	1224.190000	W600	131.290000	356.360000
CELL1_FIX2_LMART_MEM_CRE26	E8	NKD	381	246	81	0.473200	1131.690000	SESS_CLOSE	183.230000	1259.170000	NO_WALL	318.130000	562.500000
CELL1_FIX2_LMART_MEM_CRE26	E8	SI	381	207	108	0.457800	1390.390000	CLOSE	0.000000	1422.640000	NO_WALL	276.020000	600.750000
