# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-2333.750000	-2834.390000	130	-21.800000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	17555.280000	12415.400000	130	95.500000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	5542.500000	4753.960000	130	36.570000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	937.500000	382.180000	130	2.940000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	10843.750000	7741.220000	130	59.550000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	646.250000	53.920000	130	0.410000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	15464.290000	10172.610000	130	78.250000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	3786.250000	3438.680000	130	26.450000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	1037.500000	843.540000	130	6.490000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	10118.750000	7477.930000	130	57.520000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-2302.500000	-1397.310000	130	-10.750000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	20345.120000	13569.970000	130	104.380000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	25075.000000	16866.850000	130	129.740000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	506.250000	355.430000	130	2.730000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	15737.500000	10015.480000	130	77.040000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-8563.750000	-5966.160000	130	-45.890000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	17835.940000	12256.410000	130	94.280000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	4250.000000	4437.990000	130	34.140000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	887.500000	677.870000	130	5.210000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	6868.750000	5593.440000	130	43.030000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-3492.500000	-2941.520000	130	-22.630000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	16543.050000	10592.450000	130	81.480000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	4711.250000	2827.420000	130	21.750000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	1531.250000	1153.990000	130	8.880000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	9112.500000	7826.810000	130	60.210000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-3708.750000	-2160.290000	130	-16.620000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	26306.040000	17795.430000	130	136.890000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	32107.500000	20619.670000	130	158.610000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	1342.500000	1013.090000	130	7.790000
CELL1_FIX2_LMART_MEM_CRE26	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	9412.500000	7566.170000	130	58.200000
