# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_FIX2_PROBE2_V2	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-1067.500000	-1714.940000	130	-13.190000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	19810.660000	13191.500000	130	101.470000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	12267.500000	7862.700000	130	60.480000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	112.500000	75.900000	130	0.580000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	2387.500000	1887.290000	130	14.520000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	937.500000	-113.980000	130	-0.880000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	18993.880000	11942.250000	130	91.860000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	4087.500000	4522.650000	130	34.790000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	143.750000	110.390000	130	0.850000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	5793.750000	3563.000000	130	27.410000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-7436.250000	-4598.980000	130	-35.380000
CELL1_FIX2_PROBE2_V2	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	27793.310000	17026.490000	130	130.970000
