# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_GBT_M3FEATURES	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-215.000000	-777.460000	130	-5.980000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	16987.780000	12201.010000	130	93.850000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	12725.000000	8417.940000	130	64.750000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	106.250000	68.040000	130	0.520000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	2987.500000	1580.040000	130	12.150000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1738.750000	1022.090000	130	7.860000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	19070.360000	11605.170000	130	89.270000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	9150.000000	6782.320000	130	52.170000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	62.500000	39.320000	130	0.300000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	2506.250000	1393.430000	130	10.720000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-3506.250000	-1927.810000	130	-14.830000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	24903.190000	15764.850000	130	121.270000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	26328.750000	16919.600000	130	130.150000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	331.250000	259.100000	130	1.990000
CELL1_GBT_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	2412.500000	1387.920000	130	10.680000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-9266.250000	-5048.560000	130	-38.840000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	22164.940000	13535.410000	130	104.120000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	5070.000000	4300.130000	130	33.080000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	112.500000	70.620000	130	0.540000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	1618.750000	1216.840000	130	9.360000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-2880.000000	-2627.820000	130	-20.210000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	17240.790000	11793.370000	130	90.720000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	8752.500000	5957.990000	130	45.830000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	406.250000	320.600000	130	2.470000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	3068.750000	1797.680000	130	13.830000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-3033.750000	-1269.620000	130	-9.770000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	28062.250000	16655.300000	130	128.120000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	17323.750000	10390.420000	130	79.930000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	200.000000	108.140000	130	0.830000
CELL1_GBT_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	2050.000000	1213.900000	130	9.340000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-4498.750000	-1891.350000	130	-14.550000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	20745.060000	10221.140000	130	78.620000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	16950.000000	8991.830000	130	69.170000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	-176.250000	-89.670000	130	-0.690000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	6037.500000	2897.380000	130	22.290000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-1372.500000	-1197.850000	130	-9.210000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	20394.120000	10692.660000	130	82.250000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	8065.000000	3940.620000	130	30.310000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	1725.000000	779.200000	130	5.990000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	1018.750000	398.870000	130	3.070000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-2141.250000	-1605.480000	130	-12.350000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	27631.510000	14667.910000	130	112.830000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	32461.250000	17256.050000	130	132.740000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	93.750000	63.070000	130	0.490000
CELL1_GBT_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	1375.000000	795.700000	130	6.120000
