# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_LADDER_trf_1M_L256	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-4793.750000	-4634.470000	130	-35.650000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	21000.220000	15747.350000	130	121.130000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	17751.250000	14445.560000	130	111.120000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	400.000000	365.560000	130	2.810000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	2962.500000	2086.040000	130	16.050000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	3130.000000	1592.660000	130	12.250000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	17228.440000	11196.680000	130	86.130000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	10662.500000	8184.900000	130	62.960000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	1175.000000	866.530000	130	6.670000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	5243.750000	2466.100000	130	18.970000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-6078.750000	-3822.750000	130	-29.410000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	29274.240000	20093.230000	130	154.560000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	37436.250000	25717.170000	130	197.820000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	475.000000	362.970000	130	2.790000
CELL1_LADDER_trf_1M_L256	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	3981.250000	2951.950000	130	22.710000
CELL1_LADDER_trf_1M_L256	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-4247.500000	-3065.900000	130	-23.580000
CELL1_LADDER_trf_1M_L256	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	20092.200000	13816.450000	130	106.280000
CELL1_LADDER_trf_1M_L256	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	11558.750000	9560.910000	130	73.550000
CELL1_LADDER_trf_1M_L256	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	918.750000	688.690000	130	5.300000
CELL1_LADDER_trf_1M_L256	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	2456.250000	2046.670000	130	15.740000
