# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# the per-session identity: bar - realised = opportunity + recoverable - surplus
judge	session	era	asset	realised_usd	ceiling_usd	bar_usd	recoverable_usd	opportunity_usd	surplus_usd
CELL1_LADDER_trf_1M_L256	HG|20220701	E3	HG	-1271.250000	4316.250000	2000.000000	3271.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220704	E3	HG	1491.250000	3153.750000	2000.000000	508.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220705	E3	HG	-2790.000000	4666.250000	2000.000000	4790.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220706	E3	HG	-2790.000000	5391.250000	2000.000000	4790.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220707	E3	HG	-1752.500000	4810.000000	2000.000000	3752.500000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220708	E3	HG	-308.750000	3628.750000	2000.000000	2308.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220711	E3	HG	116.250000	2847.500000	2000.000000	1883.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220712	E3	HG	-1571.250000	4866.250000	2000.000000	3571.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220713	E3	HG	528.750000	4460.000000	2000.000000	1471.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220714	E3	HG	-1752.500000	3328.750000	2000.000000	3752.500000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220715	E3	HG	-1033.750000	5378.750000	2000.000000	3033.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220718	E3	HG	-1358.750000	3791.250000	2000.000000	3358.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220719	E3	HG	-708.750000	2278.750000	2000.000000	2708.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220720	E3	HG	460.000000	2428.750000	2000.000000	1540.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220721	E3	HG	-396.250000	2316.250000	2000.000000	2396.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220722	E3	HG	-1515.000000	3110.000000	2000.000000	3515.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220725	E3	HG	-58.750000	2128.750000	2000.000000	2058.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220726	E3	HG	110.000000	3653.750000	2000.000000	1890.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220727	E3	HG	-1640.000000	3453.750000	2000.000000	3640.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220728	E3	HG	1016.250000	2928.750000	2000.000000	983.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220729	E3	HG	-1071.250000	3766.250000	2000.000000	3071.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220801	E3	HG	1997.500000	2416.250000	2000.000000	2.500000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220802	E3	HG	-202.500000	4103.750000	2000.000000	2202.500000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220803	E3	HG	-846.250000	2116.250000	2000.000000	2846.250000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220804	E3	HG	-1083.750000	3503.750000	2000.000000	3083.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220805	E3	HG	1741.250000	3635.000000	2000.000000	258.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220808	E3	HG	-1458.750000	2491.250000	2000.000000	3458.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220809	E3	HG	-383.750000	1816.250000	2000.000000	2200.000000	183.750000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220810	E3	HG	16.250000	2478.750000	2000.000000	1983.750000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220811	E3	HG	1041.250000	1597.500000	2000.000000	556.250000	402.500000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220812	E3	HG	347.500000	2247.500000	2000.000000	1652.500000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220815	E3	HG	-2790.000000	4153.750000	2000.000000	4790.000000	0.000000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220816	E3	HG	-190.000000	1897.500000	2000.000000	2087.500000	102.500000	0.000000
CELL1_LADDER_trf_1M_L256	HG|20220817	E3	HG	141.250000	1597.500000	2000.000000	1456.250000	402.500000	0.000000
