# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_LMART_CELL	E3	HG	390	176	98	0.468300	945.340000	H60	490.910000	1841.400000	W900	0.000000	547.270000
CELL1_LMART_CELL	E3	NKD	390	178	80	0.444700	805.350000	H30	536.250000	1817.580000	W1800	189.520000	515.290000
CELL1_LMART_CELL	E3	SI	390	165	136	0.462100	1146.150000	CLOSE	0.000000	2090.900000	W300	485.710000	772.440000
CELL1_LMART_CELL	E4	HG	384	193	61	0.439800	856.270000	H120	424.210000	1682.430000	NO_WALL	100.040000	384.900000
CELL1_LMART_CELL	E4	NKD	387	166	67	0.470200	736.630000	H30	428.680000	1733.700000	W450	205.810000	415.310000
CELL1_LMART_CELL	E4	SI	384	191	80	0.449300	1084.410000	CLOSE	0.000000	1659.510000	W1200	105.310000	477.990000
CELL1_LMART_CELL	E5	HG	387	193	32	0.446100	650.500000	SESS_CLOSE	412.140000	1597.410000	W300	187.690000	246.410000
CELL1_LMART_CELL	E5	NKD	387	190	89	0.487300	842.890000	SESS_CLOSE	415.000000	1667.660000	NO_WALL	130.540000	494.650000
CELL1_LMART_CELL	E5	SI	387	187	76	0.400200	1143.150000	SESS_CLOSE	605.780000	1824.320000	W450	269.090000	491.860000
CELL1_LMART_CELL	E6	HG	383	215	54	0.489600	776.750000	SESS_CLOSE	268.570000	1353.730000	NO_WALL	131.870000	309.980000
CELL1_LMART_CELL	E6	NKD	384	190	104	0.482900	947.950000	SESS_CLOSE	314.650000	1699.790000	W600	203.520000	565.290000
CELL1_LMART_CELL	E6	SI	383	185	104	0.464300	1231.100000	SESS_CLOSE	331.040000	1703.050000	NO_WALL	273.870000	638.550000
CELL1_LMART_CELL	E7	HG	393	269	31	0.493900	755.470000	CLOSE	0.000000	1074.730000	W900	0.000000	166.720000
CELL1_LMART_CELL	E7	NKD	393	222	105	0.484600	1119.050000	SESS_CLOSE	206.390000	1331.050000	W2400	285.110000	574.830000
CELL1_LMART_CELL	E7	SI	393	230	115	0.450200	1368.730000	SESS_CLOSE	123.610000	1345.570000	NO_WALL	285.520000	615.730000
CELL1_LMART_CELL	E8	HG	381	275	25	0.455200	1109.100000	SESS_CLOSE	123.580000	820.900000	NO_WALL	85.940000	158.440000
CELL1_LMART_CELL	E8	NKD	381	278	46	0.474600	1022.210000	CLOSE	0.000000	880.930000	NO_WALL	155.240000	317.090000
CELL1_LMART_CELL	E8	SI	381	267	61	0.492900	1343.210000	SESS_CLOSE	41.180000	885.160000	W2400	246.870000	386.630000
