# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_LMART_CELL_ALLDATA	E3	HG	390	177	98	0.462000	959.390000	H120	491.820000	1842.970000	W900	0.000000	566.710000
CELL1_LMART_CELL_ALLDATA	E3	NKD	390	181	62	0.466900	752.210000	CLOSE	0.000000	1603.940000	W900	0.000000	345.870000
CELL1_LMART_CELL_ALLDATA	E3	SI	390	178	120	0.451600	1217.400000	SESS_CLOSE	420.670000	1854.730000	W450	320.790000	651.920000
CELL1_LMART_CELL_ALLDATA	E4	HG	384	233	30	0.449900	832.240000	CLOSE	0.000000	1332.030000	NO_WALL	40.870000	215.720000
CELL1_LMART_CELL_ALLDATA	E4	NKD	387	278	26	0.496300	663.180000	SESS_CLOSE	259.840000	1003.640000	W1500	52.330000	164.570000
CELL1_LMART_CELL_ALLDATA	E4	SI	384	221	61	0.461700	1096.220000	CLOSE	0.000000	1362.380000	W1800	165.310000	404.630000
CELL1_LMART_CELL_ALLDATA	E5	HG	387	248	14	0.469300	605.020000	CLOSE	0.000000	1157.740000	W600	34.590000	119.670000
CELL1_LMART_CELL_ALLDATA	E5	NKD	387	253	47	0.518000	735.400000	CLOSE	0.000000	1192.640000	W2400	88.900000	282.930000
CELL1_LMART_CELL_ALLDATA	E5	SI	387	244	43	0.438900	1076.970000	SESS_CLOSE	331.710000	1230.020000	W2400	119.710000	291.740000
CELL1_LMART_CELL_ALLDATA	E6	HG	384	266	27	0.488000	742.040000	SESS_CLOSE	210.100000	1013.740000	W1500	28.650000	158.900000
CELL1_LMART_CELL_ALLDATA	E6	NKD	384	273	37	0.495100	888.960000	SESS_CLOSE	155.960000	886.480000	NO_WALL	74.040000	207.460000
CELL1_LMART_CELL_ALLDATA	E6	SI	384	240	60	0.471100	1228.840000	SESS_CLOSE	183.050000	1082.560000	NO_WALL	214.490000	384.980000
CELL1_LMART_CELL_ALLDATA	E7	HG	393	272	31	0.478200	777.180000	SESS_CLOSE	294.000000	1169.660000	W450	87.090000	186.440000
CELL1_LMART_CELL_ALLDATA	E7	NKD	393	251	89	0.477700	1170.010000	SESS_CLOSE	160.590000	1163.420000	W2400	205.340000	467.100000
CELL1_LMART_CELL_ALLDATA	E7	SI	393	241	96	0.461200	1373.000000	SESS_CLOSE	123.950000	1181.790000	NO_WALL	311.280000	552.860000
CELL1_LMART_CELL_ALLDATA	E8	HG	381	284	25	0.461400	1110.150000	SESS_CLOSE	126.280000	757.260000	W2400	65.560000	151.670000
CELL1_LMART_CELL_ALLDATA	E8	NKD	381	276	47	0.491300	990.390000	CLOSE	0.000000	857.890000	NO_WALL	217.260000	328.680000
CELL1_LMART_CELL_ALLDATA	E8	SI	381	271	63	0.492600	1295.050000	SESS_CLOSE	34.550000	873.780000	NO_WALL	274.650000	388.560000
