# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_LMART_CELL_ALLDATA	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-1826.250000	-2452.890000	130	-18.870000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	16695.870000	12135.920000	130	93.350000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	9625.000000	7342.390000	130	56.480000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	831.250000	154.940000	130	1.190000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	6306.250000	4380.260000	130	33.690000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1167.500000	0.520000	130	0.000000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	14000.650000	10429.980000	130	80.230000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	2697.500000	2814.900000	130	21.650000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	850.000000	523.930000	130	4.030000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	19968.750000	13720.050000	130	105.540000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-4065.000000	-3204.880000	130	-24.650000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	21129.310000	13674.690000	130	105.190000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	18157.500000	14565.820000	130	112.040000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1500.000000	915.090000	130	7.040000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	12037.500000	9266.710000	130	71.280000
CELL1_LMART_CELL_ALLDATA	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-2535.000000	-2314.050000	130	-17.800000
