# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# the per-session identity: bar - realised = opportunity + recoverable - surplus
judge	session	era	asset	realised_usd	ceiling_usd	bar_usd	recoverable_usd	opportunity_usd	surplus_usd
CELL1_LMART_CELL_ALLDATA	HG|20220701	E3	HG	-683.750000	4316.250000	2000.000000	2683.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220704	E3	HG	-1758.750000	3153.750000	2000.000000	3758.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220705	E3	HG	1385.000000	4666.250000	2000.000000	615.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220706	E3	HG	-2790.000000	5391.250000	2000.000000	4790.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220707	E3	HG	3347.500000	4810.000000	2000.000000	0.000000	0.000000	1347.500000
CELL1_LMART_CELL_ALLDATA	HG|20220708	E3	HG	941.250000	3628.750000	2000.000000	1058.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220711	E3	HG	-246.250000	2847.500000	2000.000000	2246.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220712	E3	HG	-2452.500000	4866.250000	2000.000000	4452.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220713	E3	HG	-240.000000	4460.000000	2000.000000	2240.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220714	E3	HG	-1827.500000	3328.750000	2000.000000	3827.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220715	E3	HG	-1921.250000	5378.750000	2000.000000	3921.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220718	E3	HG	666.250000	3791.250000	2000.000000	1333.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220719	E3	HG	-1408.750000	2278.750000	2000.000000	3408.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220720	E3	HG	-8.750000	2428.750000	2000.000000	2008.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220721	E3	HG	-1915.000000	2316.250000	2000.000000	3915.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220722	E3	HG	447.500000	3110.000000	2000.000000	1552.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220725	E3	HG	903.750000	2128.750000	2000.000000	1096.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220726	E3	HG	-1621.250000	3653.750000	2000.000000	3621.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220727	E3	HG	360.000000	3453.750000	2000.000000	1640.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220728	E3	HG	1303.750000	2928.750000	2000.000000	696.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220729	E3	HG	2310.000000	3766.250000	2000.000000	0.000000	0.000000	310.000000
CELL1_LMART_CELL_ALLDATA	HG|20220801	E3	HG	360.000000	2416.250000	2000.000000	1640.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220802	E3	HG	-2052.500000	4103.750000	2000.000000	4052.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220803	E3	HG	-308.750000	2116.250000	2000.000000	2308.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220804	E3	HG	378.750000	3503.750000	2000.000000	1621.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220805	E3	HG	-402.500000	3635.000000	2000.000000	2402.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220808	E3	HG	-896.250000	2491.250000	2000.000000	2896.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220809	E3	HG	841.250000	1816.250000	2000.000000	975.000000	183.750000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220810	E3	HG	-1371.250000	2478.750000	2000.000000	3371.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220811	E3	HG	791.250000	1597.500000	2000.000000	806.250000	402.500000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220812	E3	HG	566.250000	2247.500000	2000.000000	1433.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220815	E3	HG	-2115.000000	4153.750000	2000.000000	4115.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220816	E3	HG	953.750000	1897.500000	2000.000000	943.750000	102.500000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220817	E3	HG	91.250000	1597.500000	2000.000000	1506.250000	402.500000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220818	E3	HG	-1621.250000	3710.000000	2000.000000	3621.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220819	E3	HG	672.500000	2535.000000	2000.000000	1327.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220822	E3	HG	678.750000	2516.250000	2000.000000	1321.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220823	E3	HG	-1027.500000	2128.750000	2000.000000	3027.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220824	E3	HG	1253.750000	2010.000000	2000.000000	746.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220825	E3	HG	885.000000	1747.500000	2000.000000	862.500000	252.500000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220826	E3	HG	2153.750000	4278.750000	2000.000000	0.000000	0.000000	153.750000
CELL1_LMART_CELL_ALLDATA	HG|20220829	E3	HG	2203.750000	3116.250000	2000.000000	0.000000	0.000000	203.750000
CELL1_LMART_CELL_ALLDATA	HG|20220830	E3	HG	-790.000000	2478.750000	2000.000000	2790.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220831	E3	HG	60.000000	4922.500000	2000.000000	1940.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220901	E3	HG	-2340.000000	2885.000000	2000.000000	4340.000000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220902	E3	HG	-52.500000	1935.000000	2000.000000	1987.500000	65.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220905	E3	HG	-1446.250000	2947.500000	2000.000000	3446.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220906	E3	HG	472.500000	2622.500000	2000.000000	1527.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220907	E3	HG	-1346.250000	2253.750000	2000.000000	3346.250000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220908	E3	HG	-2027.500000	3528.750000	2000.000000	4027.500000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220909	E3	HG	441.250000	3110.000000	2000.000000	1558.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220912	E3	HG	41.250000	2835.000000	2000.000000	1958.750000	0.000000	0.000000
CELL1_LMART_CELL_ALLDATA	HG|20220913	E3	HG	3835.000000	5241.250000	2000.000000	0.000000	0.000000	1835.000000
CELL1_LMART_CELL_ALLDATA	HG|20220914	E3	HG	-271.250000	1103.750000	2000.000000	1375.000000	896.250000	0.000000
