# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_LMART_CELL_COMPOSED	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-3807.500000	-3867.110000	130	-29.750000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18324.660000	13868.410000	130	106.680000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	18217.500000	14578.070000	130	112.140000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	543.750000	407.200000	130	3.130000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	7368.750000	5281.830000	130	40.630000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1925.000000	753.390000	130	5.800000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	16573.290000	10792.970000	130	83.020000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	4682.500000	4382.050000	130	33.710000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	1475.000000	1075.680000	130	8.270000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	7318.750000	4742.140000	130	36.480000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-2103.750000	-981.900000	130	-7.550000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	23858.340000	15704.680000	130	120.810000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	20482.500000	14207.780000	130	109.290000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1012.500000	655.260000	130	5.040000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	15725.000000	10138.080000	130	77.990000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-7256.250000	-4826.990000	130	-37.130000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	17776.330000	12502.340000	130	96.170000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	9333.750000	7562.290000	130	58.170000
CELL1_LMART_CELL_COMPOSED	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	637.500000	435.770000	130	3.350000
