# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_LMART_CELL_HP	E3	HG	390	204	75	0.460800	951.910000	H120	416.290000	1648.610000	NO_WALL	166.490000	469.010000
CELL1_LMART_CELL_HP	E3	NKD	390	196	56	0.436600	821.090000	SESS_CLOSE	370.440000	1659.630000	W1500	119.420000	364.040000
CELL1_LMART_CELL_HP	E3	SI	390	218	100	0.445300	1154.200000	SESS_CLOSE	498.730000	1705.400000	W450	292.250000	540.650000
CELL1_LMART_CELL_HP	E4	HG	384	242	36	0.448400	831.660000	SESS_CLOSE	395.560000	1324.140000	W1200	62.840000	255.320000
CELL1_LMART_CELL_HP	E4	NKD	387	224	32	0.457200	658.720000	CLOSE	0.000000	1281.720000	W1200	41.860000	198.470000
CELL1_LMART_CELL_HP	E4	SI	384	238	44	0.432600	1159.730000	SESS_CLOSE	341.070000	1224.880000	W2400	148.110000	317.850000
CELL1_LMART_CELL_HP	E5	HG	387	246	15	0.466300	615.160000	SESS_CLOSE	341.220000	1280.320000	W450	83.190000	147.190000
CELL1_LMART_CELL_HP	E5	NKD	387	237	41	0.478700	783.910000	SESS_CLOSE	341.940000	1297.030000	W2400	99.150000	286.740000
CELL1_LMART_CELL_HP	E5	SI	387	255	30	0.437100	1044.930000	SESS_CLOSE	367.170000	1131.050000	W1800	115.970000	235.540000
CELL1_LMART_CELL_HP	E6	HG	384	257	28	0.462900	771.870000	SESS_CLOSE	308.320000	1153.820000	W1200	38.010000	164.440000
CELL1_LMART_CELL_HP	E6	NKD	384	225	68	0.440100	980.180000	SESS_CLOSE	372.560000	1550.660000	NO_WALL	163.440000	404.630000
CELL1_LMART_CELL_HP	E6	SI	384	237	60	0.439000	1225.420000	CLOSE	0.000000	1183.590000	W1200	70.740000	385.040000
CELL1_LMART_CELL_HP	E7	HG	393	322	5	0.482400	702.130000	CLOSE	0.000000	794.320000	W900	0.000000	44.370000
CELL1_LMART_CELL_HP	E7	NKD	393	301	39	0.489400	1163.010000	SESS_CLOSE	77.670000	669.580000	NO_WALL	108.970000	189.660000
CELL1_LMART_CELL_HP	E7	SI	393	292	56	0.454600	1409.960000	SESS_CLOSE	57.790000	804.270000	NO_WALL	199.560000	310.990000
CELL1_LMART_CELL_HP	E8	HG	381	296	16	0.453600	1142.360000	SESS_CLOSE	89.700000	659.710000	W1800	16.700000	77.180000
CELL1_LMART_CELL_HP	E8	NKD	381	299	24	0.494800	1069.420000	CLOSE	0.000000	635.550000	NO_WALL	69.040000	139.310000
CELL1_LMART_CELL_HP	E8	SI	381	300	37	0.496200	1311.580000	SESS_CLOSE	40.020000	587.890000	NO_WALL	145.850000	219.760000
