# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_LMART_CELL_HP	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-2118.750000	-2269.830000	130	-17.460000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	17591.550000	12135.050000	130	93.350000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	10216.250000	7847.410000	130	60.360000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	1300.000000	382.500000	130	2.940000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	9350.000000	6904.200000	130	53.110000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-812.500000	-610.300000	130	-4.690000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	15251.100000	10219.620000	130	78.610000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	807.500000	1657.690000	130	12.750000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	1031.250000	632.820000	130	4.870000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	13806.250000	8640.530000	130	66.470000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-4400.000000	-2649.420000	130	-20.380000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	24226.880000	15549.730000	130	119.610000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	27598.750000	17919.050000	130	137.840000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	600.000000	455.760000	130	3.510000
CELL1_LMART_CELL_HP	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	8718.750000	7688.560000	130	59.140000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-5636.250000	-3190.600000	130	-24.540000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	16616.630000	11354.290000	130	87.340000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	7830.000000	6783.920000	130	52.180000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	1087.500000	660.690000	130	5.080000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	7343.750000	4816.740000	130	37.050000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-5331.250000	-4189.060000	130	-32.220000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	16111.250000	11033.930000	130	84.880000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	2386.250000	3026.650000	130	23.280000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	818.750000	567.040000	130	4.360000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	13856.250000	6862.460000	130	52.790000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	446.250000	472.180000	130	3.630000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	22267.080000	14893.940000	130	114.570000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	19285.000000	11288.120000	130	86.830000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	1605.000000	1041.850000	130	8.010000
CELL1_LMART_CELL_HP	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	5725.000000	2855.170000	130	21.960000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-7636.250000	-5760.850000	130	-44.310000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	20203.190000	10785.110000	130	82.960000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	10053.750000	6497.470000	130	49.980000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	2387.500000	1409.070000	130	10.840000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	10418.750000	6830.790000	130	52.540000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	62.500000	-569.790000	130	-4.380000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	17800.160000	9463.040000	130	72.790000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	-2558.750000	127.270000	130	0.980000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	2956.250000	2003.300000	130	15.410000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	5793.750000	3726.450000	130	28.670000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-1493.750000	-1955.920000	130	-15.050000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	25250.910000	14259.580000	130	109.690000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	36390.000000	20900.270000	130	160.770000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1887.500000	1481.000000	130	11.390000
CELL1_LMART_CELL_HP	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	10837.500000	6316.270000	130	48.590000
CELL1_LMART_CELL_HP	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	-145.000000	-458.780000	130	-3.530000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18985.050000	15840.570000	130	121.850000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	11112.500000	10428.620000	130	80.220000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	2087.500000	1867.650000	130	14.370000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	22250.000000	18464.020000	130	142.030000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-985.000000	-939.560000	130	-7.230000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	8942.610000	7803.780000	130	60.030000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	987.500000	1300.300000	130	10.000000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph1	SEL_WRONG_MOMENT	A	moment	512.500000	450.600000	130	3.470000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph1	SEL_WRONG_SIDE	A	validity	3537.500000	3051.010000	130	23.470000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph2	PARTICIPATION	A	throughput/abstention	-497.500000	-349.700000	130	-2.690000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	16545.430000	14098.250000	130	108.450000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	28560.000000	24060.870000	130	185.080000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph2	SEL_WRONG_MOMENT	A	moment	550.000000	451.460000	130	3.470000
CELL1_LMART_CELL_HP	E3	NKD	rg0|ph2	SEL_WRONG_SIDE	A	validity	11375.000000	9682.710000	130	74.480000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph0	PARTICIPATION	A	throughput/abstention	-5205.000000	-3862.100000	130	-29.710000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	16027.930000	12414.540000	130	95.500000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	11530.000000	9524.010000	130	73.260000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph0	SEL_WRONG_MOMENT	A	moment	1250.000000	1056.840000	130	8.130000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph0	SEL_WRONG_SIDE	A	validity	9387.500000	6764.280000	130	52.030000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph1	PARTICIPATION	A	throughput/abstention	-2707.500000	-1980.390000	130	-15.230000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	8540.840000	6297.140000	130	48.440000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	-922.500000	-545.800000	130	-4.200000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph1	SEL_WRONG_MOMENT	A	moment	1237.500000	1062.650000	130	8.170000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph1	SEL_WRONG_SIDE	A	validity	5675.000000	4330.830000	130	33.310000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph2	PARTICIPATION	A	throughput/abstention	-265.000000	-257.410000	130	-1.980000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	19030.330000	13216.530000	130	101.670000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	18257.500000	15162.150000	130	116.630000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph2	SEL_WRONG_MOMENT	A	moment	312.500000	200.480000	130	1.540000
CELL1_LMART_CELL_HP	E3	NKD	rg1|ph2	SEL_WRONG_SIDE	A	validity	5975.000000	4641.720000	130	35.710000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph0	PARTICIPATION	A	throughput/abstention	-4080.000000	-3210.170000	130	-24.690000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	14426.510000	10028.270000	130	77.140000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	8187.500000	5635.600000	130	43.350000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph0	SEL_WRONG_MOMENT	A	moment	412.500000	307.730000	130	2.370000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph0	SEL_WRONG_SIDE	A	validity	12050.000000	5349.570000	130	41.150000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph1	PARTICIPATION	A	throughput/abstention	-527.500000	-642.920000	130	-4.950000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	6381.830000	4791.660000	130	36.860000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	-1510.000000	-1009.800000	130	-7.770000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph1	SEL_WRONG_MOMENT	A	moment	612.500000	349.540000	130	2.690000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph1	SEL_WRONG_SIDE	A	validity	4287.500000	2989.730000	130	23.000000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph2	PARTICIPATION	A	throughput/abstention	-1252.500000	-984.090000	130	-7.570000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	14956.950000	11561.750000	130	88.940000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	23075.000000	16842.500000	130	129.560000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1212.500000	918.230000	130	7.060000
CELL1_LMART_CELL_HP	E3	NKD	rg2|ph2	SEL_WRONG_SIDE	A	validity	3350.000000	2245.120000	130	17.270000
CELL1_LMART_CELL_HP	E3	SI	ALL	OPPORTUNITY	A	generation/coverage	2945.000000	2945.000000	130	22.650000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph0	PARTICIPATION	A	throughput/abstention	400.000000	676.770000	130	5.210000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	6724.230000	3530.010000	130	27.150000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	4957.500000	2460.200000	130	18.920000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph0	SEL_WRONG_MOMENT	A	moment	312.500000	96.320000	130	0.740000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph0	SEL_WRONG_SIDE	A	validity	4825.000000	2704.050000	130	20.800000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph1	PARTICIPATION	A	throughput/abstention	367.500000	-322.530000	130	-2.480000
CELL1_LMART_CELL_HP	E3	SI	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	8501.170000	4779.430000	130	36.760000
