# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-1143.750000	-1924.190000	130	-14.800000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18421.910000	12976.940000	130	99.820000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	7500.000000	6383.780000	130	49.110000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	475.000000	330.800000	130	2.540000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	6900.000000	4249.520000	130	32.690000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1522.500000	490.120000	130	3.770000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	17790.430000	11486.760000	130	88.360000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	6836.250000	5694.080000	130	43.800000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	111.250000	83.150000	130	0.640000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	4688.750000	3543.270000	130	27.260000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-7662.500000	-4689.130000	130	-36.070000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	28013.960000	17841.300000	130	137.240000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	29940.000000	16888.760000	130	129.910000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	218.750000	189.410000	130	1.460000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	1793.750000	1651.790000	130	12.710000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-6488.750000	-3007.120000	130	-23.130000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	20498.500000	13090.830000	130	100.700000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	7271.250000	5500.020000	130	42.310000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	150.000000	138.300000	130	1.060000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	2737.500000	2377.380000	130	18.290000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-3498.750000	-2271.770000	130	-17.480000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	17729.460000	11613.740000	130	89.340000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	5743.750000	3618.460000	130	27.830000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	243.750000	178.690000	130	1.370000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	5325.000000	3047.600000	130	23.440000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1535.000000	-801.680000	130	-6.170000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	26896.570000	17059.290000	130	131.230000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	26503.750000	16193.300000	130	124.560000
CELL1_PROBE_PRE_V_shared_MULTI_CTX	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	356.250000	283.020000	130	2.180000
