# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	389	249	22	0.465700	744.570000	CLOSE	0.000000	1369.190000	NO_WALL	51.060000	156.990000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	390	235	8	0.408200	644.130000	SESS_CLOSE	404.600000	1394.540000	W1200	12.500000	74.900000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	SI	388	236	32	0.451600	846.910000	CLOSE	0.000000	1422.080000	W900	0.000000	209.350000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E4	HG	384	235	11	0.379900	670.690000	CLOSE	0.000000	1405.950000	W1800	15.190000	86.720000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E4	NKD	387	220	5	0.410700	497.510000	CLOSE	0.000000	1198.970000	W1500	48.550000	56.100000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E4	SI	384	223	21	0.395900	912.080000	CLOSE	0.000000	1453.710000	W900	0.000000	130.370000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E5	HG	387	240	3	0.397000	474.060000	SESS_CLOSE	363.910000	1252.590000	W1200	9.350000	27.030000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E5	NKD	387	228	3	0.408900	605.680000	SESS_CLOSE	464.070000	1373.930000	W1800	5.330000	26.840000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E5	SI	387	220	4	0.358800	848.220000	SESS_CLOSE	470.760000	1510.410000	W900	0.000000	32.950000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E6	HG	384	219	16	0.413700	634.180000	SESS_CLOSE	365.980000	1366.310000	NO_WALL	44.920000	118.800000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E6	NKD	384	220	18	0.412100	733.790000	CLOSE	0.000000	1314.610000	W900	0.000000	109.770000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E6	SI	384	200	37	0.398800	975.070000	CLOSE	0.000000	1526.950000	W2400	57.030000	204.790000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E7	HG	393	254	13	0.401500	643.610000	SESS_CLOSE	385.950000	1404.660000	W600	32.350000	85.830000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E7	NKD	393	221	46	0.433900	907.630000	CLOSE	0.000000	1481.870000	W600	97.040000	292.840000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E7	SI	393	211	63	0.365500	1146.530000	SESS_CLOSE	620.650000	1723.930000	W300	264.710000	365.690000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E8	HG	381	224	36	0.349100	869.850000	CLOSE	0.000000	1608.350000	W1800	97.810000	216.460000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E8	NKD	381	193	56	0.442300	909.020000	CLOSE	0.000000	1553.430000	W900	0.000000	344.370000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E8	SI	381	202	52	0.393300	1081.960000	CLOSE	0.000000	1535.940000	W450	169.410000	353.230000
