# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-290.000000	-1035.910000	130	-7.970000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18897.880000	12170.820000	130	93.620000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	11056.250000	6609.920000	130	50.850000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	131.250000	94.270000	130	0.730000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	2925.000000	2197.610000	130	16.900000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	2096.250000	263.590000	130	2.030000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	17511.910000	10694.240000	130	82.260000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	712.500000	2184.540000	130	16.800000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	100.000000	83.750000	130	0.640000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	10287.500000	6842.880000	130	52.640000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-5410.000000	-3592.360000	130	-27.630000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	27305.950000	17182.750000	130	132.180000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	26118.750000	13114.180000	130	100.880000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	350.000000	310.330000	130	2.390000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	3106.250000	2259.150000	130	17.380000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-8676.250000	-4226.570000	130	-32.510000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	20523.710000	13192.480000	130	101.480000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	5047.500000	5259.720000	130	40.460000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	112.500000	80.150000	130	0.620000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	2193.750000	869.060000	130	6.690000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-2178.750000	-1368.860000	130	-10.530000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	15593.180000	9775.200000	130	75.190000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	1101.250000	1138.490000	130	8.760000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	481.250000	325.650000	130	2.510000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	9731.250000	6673.920000	130	51.340000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-3172.500000	-1939.170000	130	-14.920000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	26313.210000	15709.760000	130	120.840000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	21250.000000	12458.730000	130	95.840000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	2732.500000	2270.830000	130	17.470000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	1231.250000	949.820000	130	7.310000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-11098.750000	-5422.050000	130	-41.710000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	22863.760000	11795.460000	130	90.730000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	16015.000000	8184.290000	130	62.960000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	300.000000	211.550000	130	1.630000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	5837.500000	3724.890000	130	28.650000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-1702.500000	-1219.530000	130	-9.380000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	20536.470000	11308.770000	130	86.990000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	3198.750000	3261.350000	130	25.090000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	281.250000	138.130000	130	1.060000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	8412.500000	5030.890000	130	38.700000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-143.750000	-494.480000	130	-3.800000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	26560.180000	13965.480000	130	107.430000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	35832.500000	18929.870000	130	145.610000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	231.250000	102.140000	130	0.790000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	1825.000000	986.770000	130	7.590000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	-417.500000	-432.160000	130	-3.320000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	22736.310000	19170.430000	130	147.460000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	19180.000000	17165.950000	130	132.050000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	312.500000	221.260000	130	1.700000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	7587.500000	5223.260000	130	40.180000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-3872.500000	-3292.260000	130	-25.330000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	9559.140000	8353.180000	130	64.260000
CELL1_PROBE_PRE_V_shared_MULTI_FUSED	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	772.500000	1081.880000	130	8.320000
