# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_RANK_CELL_CTX	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-4025.000000	-3071.940000	130	-23.630000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18057.040000	13210.000000	130	101.620000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	15685.000000	13012.790000	130	100.100000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	100.000000	81.530000	130	0.630000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	4493.750000	2720.880000	130	20.930000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	393.750000	-1105.490000	130	-8.500000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	14447.300000	9975.780000	130	76.740000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	5735.000000	3882.570000	130	29.870000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	731.250000	521.760000	130	4.010000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	11331.250000	5941.700000	130	45.710000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-856.250000	-607.250000	130	-4.670000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	22495.520000	15103.370000	130	116.180000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	11515.000000	9099.500000	130	70.000000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1112.500000	676.860000	130	5.210000
CELL1_RANK_CELL_CTX	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	19375.000000	14694.840000	130	113.040000
CELL1_RANK_CELL_CTX	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-1642.500000	-1293.260000	130	-9.950000
CELL1_RANK_CELL_CTX	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	14775.860000	9782.520000	130	75.250000
