# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_RANK_CELL_FUSED	E3	HG	390	191	111	0.496300	919.360000	CLOSE	0.000000	1774.680000	W1500	183.690000	618.420000
CELL1_RANK_CELL_FUSED	E3	NKD	390	171	79	0.404500	845.930000	H60	543.270000	1847.670000	W300	312.980000	488.100000
CELL1_RANK_CELL_FUSED	E3	SI	390	183	133	0.459100	1203.370000	CLOSE	0.000000	1838.730000	W1800	271.020000	762.710000
CELL1_RANK_CELL_FUSED	E4	HG	384	175	81	0.468500	830.320000	H120	365.740000	1771.040000	NO_WALL	149.920000	504.730000
CELL1_RANK_CELL_FUSED	E4	NKD	387	173	83	0.501200	694.700000	CLOSE	0.000000	1699.860000	NO_WALL	204.220000	521.670000
CELL1_RANK_CELL_FUSED	E4	SI	384	179	101	0.449600	1047.200000	CLOSE	0.000000	1930.100000	NO_WALL	296.460000	692.290000
CELL1_RANK_CELL_FUSED	E5	HG	387	235	7	0.392100	534.210000	CLOSE	0.000000	1306.550000	W450	32.030000	56.200000
CELL1_RANK_CELL_FUSED	E5	NKD	387	221	27	0.478500	679.200000	CLOSE	0.000000	1371.840000	W2400	56.590000	204.070000
CELL1_RANK_CELL_FUSED	E5	SI	387	198	52	0.402000	1013.280000	CLOSE	0.000000	1673.820000	W1200	97.600000	339.750000
CELL1_RANK_CELL_FUSED	E6	HG	384	215	37	0.356100	749.980000	CLOSE	0.000000	1514.550000	W900	0.000000	204.290000
CELL1_RANK_CELL_FUSED	E6	NKD	384	178	106	0.460900	926.300000	CLOSE	0.000000	1752.010000	NO_WALL	242.660000	585.020000
CELL1_RANK_CELL_FUSED	E6	SI	384	168	109	0.366900	1288.510000	SESS_CLOSE	290.470000	1882.460000	NO_WALL	452.320000	785.100000
CELL1_RANK_CELL_FUSED	E7	HG	393	197	78	0.474500	795.050000	CLOSE	0.000000	1625.300000	W600	150.620000	453.780000
CELL1_RANK_CELL_FUSED	E7	NKD	393	168	175	0.483800	1179.520000	CLOSE	0.000000	2016.280000	W300	549.370000	923.680000
CELL1_RANK_CELL_FUSED	E7	SI	393	182	149	0.431100	1394.970000	SESS_CLOSE	295.360000	1851.720000	W900	0.000000	874.050000
CELL1_RANK_CELL_FUSED	E8	HG	381	181	116	0.431500	1104.900000	SESS_CLOSE	346.420000	1885.320000	NO_WALL	282.640000	734.250000
CELL1_RANK_CELL_FUSED	E8	NKD	381	172	149	0.449900	1152.660000	H120	561.590000	2049.800000	NO_WALL	555.160000	1055.890000
CELL1_RANK_CELL_FUSED	E8	SI	381	168	159	0.444400	1399.080000	SESS_CLOSE	307.660000	1917.220000	NO_WALL	421.280000	929.410000
