# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
CELL1_RANK_CELL_FUSED	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-4536.250000	-4168.290000	130	-32.060000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18251.070000	13236.100000	130	101.820000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	15172.500000	13521.190000	130	104.010000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	1425.000000	973.740000	130	7.490000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	3218.750000	1439.870000	130	11.080000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-1248.750000	-1574.430000	130	-12.110000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	14729.620000	9548.600000	130	73.450000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	3171.250000	4038.400000	130	31.060000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	1201.250000	833.290000	130	6.410000
CELL1_RANK_CELL_FUSED	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	6881.250000	5589.490000	130	43.000000
