# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
CELL1_REF_FORESIGHT	E3	HG	390	390	0	0.594100	755.030000	CLOSE	0.000000	53.080000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E3	NKD	390	390	0	0.567100	637.400000	SESS_CLOSE	64.120000	180.980000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E3	SI	390	390	0	0.564100	1075.260000	SESS_CLOSE	10.940000	22.650000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E4	HG	384	384	0	0.574900	676.600000	CLOSE	0.000000	94.960000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E4	NKD	387	386	0	0.591600	582.070000	SESS_CLOSE	58.990000	229.520000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E4	SI	384	384	0	0.557600	992.090000	CLOSE	0.000000	35.840000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E5	HG	387	387	0	0.601900	473.420000	CLOSE	0.000000	274.390000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E5	NKD	387	387	0	0.632200	594.410000	CLOSE	0.000000	80.350000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E5	SI	387	387	0	0.557600	856.360000	CLOSE	0.000000	75.390000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E6	HG	384	384	0	0.599600	690.040000	SESS_CLOSE	60.170000	194.060000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E6	NKD	384	384	0	0.585100	814.940000	SESS_CLOSE	8.320000	35.660000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E6	SI	384	384	0	0.555100	1221.780000	SESS_CLOSE	4.820000	36.950000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E7	HG	393	393	0	0.597900	676.530000	CLOSE	0.000000	110.290000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E7	NKD	393	393	0	0.585000	1255.980000	SESS_CLOSE	0.100000	11.740000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E7	SI	393	393	0	0.551500	1425.250000	SESS_CLOSE	0.000000	8.650000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E8	HG	381	381	0	0.592500	1003.480000	SESS_CLOSE	5.420000	17.520000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E8	NKD	381	381	0	0.571900	1046.230000	CLOSE	0.000000	38.960000	W900	0.000000	0.000000
CELL1_REF_FORESIGHT	E8	SI	381	381	0	0.570900	1402.130000	SESS_CLOSE	0.000000	2.800000	W900	0.000000	0.000000
