# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# the per-session identity: bar - realised = opportunity + recoverable - surplus
judge	session	era	asset	realised_usd	ceiling_usd	bar_usd	recoverable_usd	opportunity_usd	surplus_usd
CELL1_REF_FORESIGHT	HG|20220701	E3	HG	4316.250000	4316.250000	2000.000000	0.000000	0.000000	2316.250000
CELL1_REF_FORESIGHT	HG|20220704	E3	HG	3153.750000	3153.750000	2000.000000	0.000000	0.000000	1153.750000
CELL1_REF_FORESIGHT	HG|20220705	E3	HG	4666.250000	4666.250000	2000.000000	0.000000	0.000000	2666.250000
CELL1_REF_FORESIGHT	HG|20220706	E3	HG	5391.250000	5391.250000	2000.000000	0.000000	0.000000	3391.250000
CELL1_REF_FORESIGHT	HG|20220707	E3	HG	4810.000000	4810.000000	2000.000000	0.000000	0.000000	2810.000000
CELL1_REF_FORESIGHT	HG|20220708	E3	HG	3628.750000	3628.750000	2000.000000	0.000000	0.000000	1628.750000
CELL1_REF_FORESIGHT	HG|20220711	E3	HG	2847.500000	2847.500000	2000.000000	0.000000	0.000000	847.500000
CELL1_REF_FORESIGHT	HG|20220712	E3	HG	4866.250000	4866.250000	2000.000000	0.000000	0.000000	2866.250000
CELL1_REF_FORESIGHT	HG|20220713	E3	HG	4460.000000	4460.000000	2000.000000	0.000000	0.000000	2460.000000
CELL1_REF_FORESIGHT	HG|20220714	E3	HG	3278.750000	3328.750000	2000.000000	0.000000	0.000000	1278.750000
CELL1_REF_FORESIGHT	HG|20220715	E3	HG	5378.750000	5378.750000	2000.000000	0.000000	0.000000	3378.750000
CELL1_REF_FORESIGHT	HG|20220718	E3	HG	3791.250000	3791.250000	2000.000000	0.000000	0.000000	1791.250000
CELL1_REF_FORESIGHT	HG|20220719	E3	HG	2278.750000	2278.750000	2000.000000	0.000000	0.000000	278.750000
CELL1_REF_FORESIGHT	HG|20220720	E3	HG	2428.750000	2428.750000	2000.000000	0.000000	0.000000	428.750000
CELL1_REF_FORESIGHT	HG|20220721	E3	HG	2316.250000	2316.250000	2000.000000	0.000000	0.000000	316.250000
CELL1_REF_FORESIGHT	HG|20220722	E3	HG	3110.000000	3110.000000	2000.000000	0.000000	0.000000	1110.000000
CELL1_REF_FORESIGHT	HG|20220725	E3	HG	2128.750000	2128.750000	2000.000000	0.000000	0.000000	128.750000
CELL1_REF_FORESIGHT	HG|20220726	E3	HG	3653.750000	3653.750000	2000.000000	0.000000	0.000000	1653.750000
CELL1_REF_FORESIGHT	HG|20220727	E3	HG	3453.750000	3453.750000	2000.000000	0.000000	0.000000	1453.750000
CELL1_REF_FORESIGHT	HG|20220728	E3	HG	2928.750000	2928.750000	2000.000000	0.000000	0.000000	928.750000
CELL1_REF_FORESIGHT	HG|20220729	E3	HG	3766.250000	3766.250000	2000.000000	0.000000	0.000000	1766.250000
CELL1_REF_FORESIGHT	HG|20220801	E3	HG	2416.250000	2416.250000	2000.000000	0.000000	0.000000	416.250000
CELL1_REF_FORESIGHT	HG|20220802	E3	HG	4103.750000	4103.750000	2000.000000	0.000000	0.000000	2103.750000
CELL1_REF_FORESIGHT	HG|20220803	E3	HG	2116.250000	2116.250000	2000.000000	0.000000	0.000000	116.250000
CELL1_REF_FORESIGHT	HG|20220804	E3	HG	3503.750000	3503.750000	2000.000000	0.000000	0.000000	1503.750000
CELL1_REF_FORESIGHT	HG|20220805	E3	HG	3635.000000	3635.000000	2000.000000	0.000000	0.000000	1635.000000
CELL1_REF_FORESIGHT	HG|20220808	E3	HG	2491.250000	2491.250000	2000.000000	0.000000	0.000000	491.250000
CELL1_REF_FORESIGHT	HG|20220809	E3	HG	1816.250000	1816.250000	2000.000000	0.000000	183.750000	0.000000
CELL1_REF_FORESIGHT	HG|20220810	E3	HG	2478.750000	2478.750000	2000.000000	0.000000	0.000000	478.750000
CELL1_REF_FORESIGHT	HG|20220811	E3	HG	1597.500000	1597.500000	2000.000000	0.000000	402.500000	0.000000
CELL1_REF_FORESIGHT	HG|20220812	E3	HG	2247.500000	2247.500000	2000.000000	0.000000	0.000000	247.500000
CELL1_REF_FORESIGHT	HG|20220815	E3	HG	4153.750000	4153.750000	2000.000000	0.000000	0.000000	2153.750000
CELL1_REF_FORESIGHT	HG|20220816	E3	HG	1897.500000	1897.500000	2000.000000	0.000000	102.500000	0.000000
CELL1_REF_FORESIGHT	HG|20220817	E3	HG	1597.500000	1597.500000	2000.000000	0.000000	402.500000	0.000000
CELL1_REF_FORESIGHT	HG|20220818	E3	HG	3710.000000	3710.000000	2000.000000	0.000000	0.000000	1710.000000
CELL1_REF_FORESIGHT	HG|20220819	E3	HG	2535.000000	2535.000000	2000.000000	0.000000	0.000000	535.000000
CELL1_REF_FORESIGHT	HG|20220822	E3	HG	2516.250000	2516.250000	2000.000000	0.000000	0.000000	516.250000
CELL1_REF_FORESIGHT	HG|20220823	E3	HG	2128.750000	2128.750000	2000.000000	0.000000	0.000000	128.750000
CELL1_REF_FORESIGHT	HG|20220824	E3	HG	2010.000000	2010.000000	2000.000000	0.000000	0.000000	10.000000
CELL1_REF_FORESIGHT	HG|20220825	E3	HG	1747.500000	1747.500000	2000.000000	0.000000	252.500000	0.000000
CELL1_REF_FORESIGHT	HG|20220826	E3	HG	4278.750000	4278.750000	2000.000000	0.000000	0.000000	2278.750000
CELL1_REF_FORESIGHT	HG|20220829	E3	HG	3116.250000	3116.250000	2000.000000	0.000000	0.000000	1116.250000
CELL1_REF_FORESIGHT	HG|20220830	E3	HG	2478.750000	2478.750000	2000.000000	0.000000	0.000000	478.750000
CELL1_REF_FORESIGHT	HG|20220831	E3	HG	4922.500000	4922.500000	2000.000000	0.000000	0.000000	2922.500000
CELL1_REF_FORESIGHT	HG|20220901	E3	HG	2885.000000	2885.000000	2000.000000	0.000000	0.000000	885.000000
CELL1_REF_FORESIGHT	HG|20220902	E3	HG	1935.000000	1935.000000	2000.000000	0.000000	65.000000	0.000000
CELL1_REF_FORESIGHT	HG|20220905	E3	HG	2947.500000	2947.500000	2000.000000	0.000000	0.000000	947.500000
CELL1_REF_FORESIGHT	HG|20220906	E3	HG	2622.500000	2622.500000	2000.000000	0.000000	0.000000	622.500000
CELL1_REF_FORESIGHT	HG|20220907	E3	HG	2253.750000	2253.750000	2000.000000	0.000000	0.000000	253.750000
CELL1_REF_FORESIGHT	HG|20220908	E3	HG	3528.750000	3528.750000	2000.000000	0.000000	0.000000	1528.750000
CELL1_REF_FORESIGHT	HG|20220909	E3	HG	3110.000000	3110.000000	2000.000000	0.000000	0.000000	1110.000000
CELL1_REF_FORESIGHT	HG|20220912	E3	HG	2835.000000	2835.000000	2000.000000	0.000000	0.000000	835.000000
CELL1_REF_FORESIGHT	HG|20220913	E3	HG	5078.750000	5241.250000	2000.000000	0.000000	0.000000	3078.750000
CELL1_REF_FORESIGHT	HG|20220914	E3	HG	1103.750000	1103.750000	2000.000000	0.000000	896.250000	0.000000
CELL1_REF_FORESIGHT	HG|20220915	E3	HG	2935.000000	2935.000000	2000.000000	0.000000	0.000000	935.000000
CELL1_REF_FORESIGHT	HG|20220916	E3	HG	3385.000000	3385.000000	2000.000000	0.000000	0.000000	1385.000000
CELL1_REF_FORESIGHT	HG|20220919	E3	HG	2872.500000	2872.500000	2000.000000	0.000000	0.000000	872.500000
CELL1_REF_FORESIGHT	HG|20220920	E3	HG	2010.000000	2010.000000	2000.000000	0.000000	0.000000	10.000000
CELL1_REF_FORESIGHT	HG|20220921	E3	HG	2116.250000	2116.250000	2000.000000	0.000000	0.000000	116.250000
CELL1_REF_FORESIGHT	HG|20220922	E3	HG	3210.000000	3210.000000	2000.000000	0.000000	0.000000	1210.000000
CELL1_REF_FORESIGHT	HG|20220923	E3	HG	3878.750000	3878.750000	2000.000000	0.000000	0.000000	1878.750000
CELL1_REF_FORESIGHT	HG|20220926	E3	HG	4272.500000	4272.500000	2000.000000	0.000000	0.000000	2272.500000
CELL1_REF_FORESIGHT	HG|20220927	E3	HG	2447.500000	2447.500000	2000.000000	0.000000	0.000000	447.500000
CELL1_REF_FORESIGHT	HG|20220928	E3	HG	4753.750000	4753.750000	2000.000000	0.000000	0.000000	2753.750000
CELL1_REF_FORESIGHT	HG|20220929	E3	HG	4978.750000	4978.750000	2000.000000	0.000000	0.000000	2978.750000
CELL1_REF_FORESIGHT	HG|20220930	E3	HG	2810.000000	2810.000000	2000.000000	0.000000	0.000000	810.000000
CELL1_REF_FORESIGHT	HG|20221003	E3	HG	2297.500000	2297.500000	2000.000000	0.000000	0.000000	297.500000
CELL1_REF_FORESIGHT	HG|20221004	E3	HG	5435.000000	5435.000000	2000.000000	0.000000	0.000000	3435.000000
CELL1_REF_FORESIGHT	HG|20221005	E3	HG	4435.000000	4503.750000	2000.000000	0.000000	0.000000	2435.000000
CELL1_REF_FORESIGHT	HG|20221006	E3	HG	4328.750000	4328.750000	2000.000000	0.000000	0.000000	2328.750000
CELL1_REF_FORESIGHT	HG|20221007	E3	HG	1885.000000	1885.000000	2000.000000	0.000000	115.000000	0.000000
CELL1_REF_FORESIGHT	HG|20221010	E3	HG	2091.250000	2091.250000	2000.000000	0.000000	0.000000	91.250000
CELL1_REF_FORESIGHT	HG|20221011	E3	HG	2153.750000	2153.750000	2000.000000	0.000000	0.000000	153.750000
CELL1_REF_FORESIGHT	HG|20221012	E3	HG	2172.500000	2172.500000	2000.000000	0.000000	0.000000	172.500000
CELL1_REF_FORESIGHT	HG|20221013	E3	HG	4210.000000	4210.000000	2000.000000	0.000000	0.000000	2210.000000
CELL1_REF_FORESIGHT	HG|20221014	E3	HG	3541.250000	3541.250000	2000.000000	0.000000	0.000000	1541.250000
CELL1_REF_FORESIGHT	HG|20221017	E3	HG	2722.500000	2722.500000	2000.000000	0.000000	0.000000	722.500000
CELL1_REF_FORESIGHT	HG|20221018	E3	HG	2347.500000	2347.500000	2000.000000	0.000000	0.000000	347.500000
CELL1_REF_FORESIGHT	HG|20221019	E3	HG	2291.250000	2291.250000	2000.000000	0.000000	0.000000	291.250000
CELL1_REF_FORESIGHT	HG|20221020	E3	HG	2985.000000	2985.000000	2000.000000	0.000000	0.000000	985.000000
CELL1_REF_FORESIGHT	HG|20221021	E3	HG	4385.000000	4385.000000	2000.000000	0.000000	0.000000	2385.000000
CELL1_REF_FORESIGHT	HG|20221024	E3	HG	2410.000000	2410.000000	2000.000000	0.000000	0.000000	410.000000
CELL1_REF_FORESIGHT	HG|20221025	E3	HG	2422.500000	2422.500000	2000.000000	0.000000	0.000000	422.500000
CELL1_REF_FORESIGHT	HG|20221026	E3	HG	3753.750000	3753.750000	2000.000000	0.000000	0.000000	1753.750000
CELL1_REF_FORESIGHT	HG|20221027	E3	HG	2053.750000	2053.750000	2000.000000	0.000000	0.000000	53.750000
CELL1_REF_FORESIGHT	HG|20221028	E3	HG	2547.500000	2547.500000	2000.000000	0.000000	0.000000	547.500000
CELL1_REF_FORESIGHT	HG|20221031	E3	HG	1835.000000	1835.000000	2000.000000	0.000000	165.000000	0.000000
CELL1_REF_FORESIGHT	HG|20221101	E3	HG	3241.250000	3241.250000	2000.000000	0.000000	0.000000	1241.250000
CELL1_REF_FORESIGHT	HG|20221102	E3	HG	2803.750000	3128.750000	2000.000000	0.000000	0.000000	803.750000
CELL1_REF_FORESIGHT	HG|20221103	E3	HG	2460.000000	2460.000000	2000.000000	0.000000	0.000000	460.000000
CELL1_REF_FORESIGHT	HG|20221104	E3	HG	7622.500000	7622.500000	2000.000000	0.000000	0.000000	5622.500000
CELL1_REF_FORESIGHT	HG|20221107	E3	HG	2072.500000	2072.500000	2000.000000	0.000000	0.000000	72.500000
CELL1_REF_FORESIGHT	HG|20221108	E3	HG	2735.000000	2735.000000	2000.000000	0.000000	0.000000	735.000000
CELL1_REF_FORESIGHT	HG|20221109	E3	HG	3241.250000	3241.250000	2000.000000	0.000000	0.000000	1241.250000
CELL1_REF_FORESIGHT	HG|20221110	E3	HG	4847.500000	4847.500000	2000.000000	0.000000	0.000000	2847.500000
CELL1_REF_FORESIGHT	HG|20221111	E3	HG	4610.000000	4610.000000	2000.000000	0.000000	0.000000	2610.000000
CELL1_REF_FORESIGHT	HG|20221114	E3	HG	4522.500000	4522.500000	2000.000000	0.000000	0.000000	2522.500000
CELL1_REF_FORESIGHT	HG|20221115	E3	HG	3091.250000	3091.250000	2000.000000	0.000000	0.000000	1091.250000
CELL1_REF_FORESIGHT	HG|20221116	E3	HG	1803.750000	1803.750000	2000.000000	0.000000	196.250000	0.000000
CELL1_REF_FORESIGHT	HG|20221117	E3	HG	3491.250000	3491.250000	2000.000000	0.000000	0.000000	1491.250000
CELL1_REF_FORESIGHT	HG|20221118	E3	HG	2047.500000	2047.500000	2000.000000	0.000000	0.000000	47.500000
CELL1_REF_FORESIGHT	HG|20221121	E3	HG	2091.250000	2091.250000	2000.000000	0.000000	0.000000	91.250000
CELL1_REF_FORESIGHT	HG|20221122	E3	HG	3316.250000	3316.250000	2000.000000	0.000000	0.000000	1316.250000
CELL1_REF_FORESIGHT	HG|20221123	E3	HG	2672.500000	2672.500000	2000.000000	0.000000	0.000000	672.500000
CELL1_REF_FORESIGHT	HG|20221124	E3	HG	1028.750000	1028.750000	2000.000000	0.000000	971.250000	0.000000
CELL1_REF_FORESIGHT	HG|20221125	E3	HG	2810.000000	2810.000000	2000.000000	0.000000	0.000000	810.000000
CELL1_REF_FORESIGHT	HG|20221128	E3	HG	2503.750000	2503.750000	2000.000000	0.000000	0.000000	503.750000
CELL1_REF_FORESIGHT	HG|20221129	E3	HG	2522.500000	2522.500000	2000.000000	0.000000	0.000000	522.500000
CELL1_REF_FORESIGHT	HG|20221130	E3	HG	3735.000000	3735.000000	2000.000000	0.000000	0.000000	1735.000000
CELL1_REF_FORESIGHT	HG|20221201	E3	HG	2591.250000	2591.250000	2000.000000	0.000000	0.000000	591.250000
CELL1_REF_FORESIGHT	HG|20221202	E3	HG	4328.750000	4447.500000	2000.000000	0.000000	0.000000	2328.750000
CELL1_REF_FORESIGHT	HG|20221205	E3	HG	3110.000000	3110.000000	2000.000000	0.000000	0.000000	1110.000000
CELL1_REF_FORESIGHT	HG|20221206	E3	HG	1616.250000	1616.250000	2000.000000	0.000000	383.750000	0.000000
CELL1_REF_FORESIGHT	HG|20221207	E3	HG	2622.500000	2622.500000	2000.000000	0.000000	0.000000	622.500000
CELL1_REF_FORESIGHT	HG|20221208	E3	HG	1410.000000	1410.000000	2000.000000	0.000000	590.000000	0.000000
CELL1_REF_FORESIGHT	HG|20221209	E3	HG	2710.000000	2710.000000	2000.000000	0.000000	0.000000	710.000000
CELL1_REF_FORESIGHT	HG|20221212	E3	HG	1703.750000	1703.750000	2000.000000	0.000000	296.250000	0.000000
CELL1_REF_FORESIGHT	HG|20221213	E3	HG	2903.750000	2903.750000	2000.000000	0.000000	0.000000	903.750000
CELL1_REF_FORESIGHT	HG|20221214	E3	HG	1860.000000	1860.000000	2000.000000	0.000000	140.000000	0.000000
CELL1_REF_FORESIGHT	HG|20221215	E3	HG	2741.250000	2741.250000	2000.000000	0.000000	0.000000	741.250000
CELL1_REF_FORESIGHT	HG|20221216	E3	HG	2010.000000	2010.000000	2000.000000	0.000000	0.000000	10.000000
CELL1_REF_FORESIGHT	HG|20221219	E3	HG	2753.750000	2753.750000	2000.000000	0.000000	0.000000	753.750000
CELL1_REF_FORESIGHT	HG|20221220	E3	HG	2441.250000	2441.250000	2000.000000	0.000000	0.000000	441.250000
CELL1_REF_FORESIGHT	HG|20221221	E3	HG	1297.500000	1297.500000	2000.000000	0.000000	702.500000	0.000000
CELL1_REF_FORESIGHT	HG|20221222	E3	HG	1972.500000	1972.500000	2000.000000	0.000000	27.500000	0.000000
CELL1_REF_FORESIGHT	HG|20221223	E3	HG	2003.750000	2003.750000	2000.000000	0.000000	0.000000	3.750000
CELL1_REF_FORESIGHT	HG|20221227	E3	HG	4116.250000	4116.250000	2000.000000	0.000000	0.000000	2116.250000
CELL1_REF_FORESIGHT	HG|20221228	E3	HG	1466.250000	1466.250000	2000.000000	0.000000	533.750000	0.000000
CELL1_REF_FORESIGHT	HG|20221229	E3	HG	1735.000000	1735.000000	2000.000000	0.000000	265.000000	0.000000
CELL1_REF_FORESIGHT	HG|20221230	E3	HG	1791.250000	1791.250000	2000.000000	0.000000	208.750000	0.000000
CELL1_REF_FORESIGHT	HG|20230103	E4	HG	3422.500000	3422.500000	2000.000000	0.000000	0.000000	1422.500000
CELL1_REF_FORESIGHT	HG|20230104	E4	HG	2022.500000	2022.500000	2000.000000	0.000000	0.000000	22.500000
CELL1_REF_FORESIGHT	HG|20230105	E4	HG	3135.000000	3135.000000	2000.000000	0.000000	0.000000	1135.000000
CELL1_REF_FORESIGHT	HG|20230106	E4	HG	3997.500000	3997.500000	2000.000000	0.000000	0.000000	1997.500000
CELL1_REF_FORESIGHT	HG|20230109	E4	HG	2216.250000	2216.250000	2000.000000	0.000000	0.000000	216.250000
CELL1_REF_FORESIGHT	HG|20230110	E4	HG	2541.250000	2541.250000	2000.000000	0.000000	0.000000	541.250000
CELL1_REF_FORESIGHT	HG|20230111	E4	HG	3122.500000	3122.500000	2000.000000	0.000000	0.000000	1122.500000
