# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
E3E7_F1_NDCG1	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
E3E7_F1_NDCG1	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	1202.500000	-147.570000	130	-1.140000
E3E7_F1_NDCG1	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	16764.100000	10780.560000	130	82.930000
E3E7_F1_NDCG1	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	3493.750000	1039.730000	130	8.000000
E3E7_F1_NDCG1	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	68.750000	59.760000	130	0.460000
E3E7_F1_NDCG1	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	3875.000000	2407.120000	130	18.520000
E3E7_F1_NDCG1	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1738.750000	437.920000	130	3.370000
E3E7_F1_NDCG1	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	11687.100000	7450.070000	130	57.310000
E3E7_F1_NDCG1	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	5661.250000	5222.000000	130	40.170000
E3E7_F1_NDCG1	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	293.750000	247.040000	130	1.900000
E3E7_F1_NDCG1	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	2837.500000	2530.280000	130	19.460000
E3E7_F1_NDCG1	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-4398.750000	-2594.570000	130	-19.960000
E3E7_F1_NDCG1	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	20085.410000	11402.180000	130	87.710000
E3E7_F1_NDCG1	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	26072.500000	16780.060000	130	129.080000
E3E7_F1_NDCG1	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	475.000000	239.140000	130	1.840000
E3E7_F1_NDCG1	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	5681.250000	2258.670000	130	17.370000
E3E7_F1_NDCG1	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-3193.750000	-1572.800000	130	-12.100000
E3E7_F1_NDCG1	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	12750.090000	7352.520000	130	56.560000
E3E7_F1_NDCG1	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	-3883.750000	-2082.960000	130	-16.020000
E3E7_F1_NDCG1	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	387.500000	260.790000	130	2.010000
E3E7_F1_NDCG1	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	2081.250000	1863.330000	130	14.330000
E3E7_F1_NDCG1	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-4856.250000	-2752.910000	130	-21.180000
E3E7_F1_NDCG1	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	15191.340000	9543.100000	130	73.410000
E3E7_F1_NDCG1	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	7805.000000	5294.740000	130	40.730000
E3E7_F1_NDCG1	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	606.250000	405.460000	130	3.120000
E3E7_F1_NDCG1	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	4462.500000	2633.170000	130	20.260000
E3E7_F1_NDCG1	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1790.000000	-1083.590000	130	-8.340000
E3E7_F1_NDCG1	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	18910.320000	10389.070000	130	79.920000
E3E7_F1_NDCG1	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	9136.250000	7590.960000	130	58.390000
E3E7_F1_NDCG1	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	562.500000	256.260000	130	1.970000
E3E7_F1_NDCG1	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	1768.750000	1346.670000	130	10.360000
E3E7_F1_NDCG1	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-5577.500000	-3301.560000	130	-25.400000
E3E7_F1_NDCG1	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	18349.390000	8455.490000	130	65.040000
E3E7_F1_NDCG1	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	2997.500000	520.940000	130	4.010000
E3E7_F1_NDCG1	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	275.000000	183.250000	130	1.410000
E3E7_F1_NDCG1	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	10968.750000	4303.240000	130	33.100000
E3E7_F1_NDCG1	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	1367.500000	224.130000	130	1.720000
