# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
E3E7_LMART_SIDEVETO	E3	HG	390	142	110	0.445800	866.570000	H30	549.810000	2025.800000	W300	486.270000	624.820000
E3E7_LMART_SIDEVETO	E3	NKD	390	128	74	0.396200	813.080000	SESS_CLOSE	319.370000	1908.650000	W300	338.270000	454.250000
E3E7_LMART_SIDEVETO	E3	SI	389	153	130	0.405700	1166.420000	SESS_CLOSE	380.120000	2049.080000	W300	512.210000	729.920000
E3E7_LMART_SIDEVETO	E4	HG	384	176	60	0.430600	760.480000	CLOSE	0.000000	1670.160000	W300	295.650000	361.960000
E3E7_LMART_SIDEVETO	E4	NKD	387	167	68	0.503600	660.660000	SESS_CLOSE	298.430000	1581.200000	W300	329.770000	424.150000
E3E7_LMART_SIDEVETO	E4	SI	384	157	91	0.441300	1015.560000	SESS_CLOSE	303.750000	1772.770000	W300	392.850000	535.940000
E3E7_LMART_SIDEVETO	E5	HG	387	190	37	0.454900	574.740000	CLOSE	0.000000	1481.080000	W300	206.780000	261.050000
E3E7_LMART_SIDEVETO	E5	NKD	387	181	78	0.450400	778.230000	SESS_CLOSE	423.330000	1763.020000	W300	343.310000	486.550000
E3E7_LMART_SIDEVETO	E5	SI	387	176	71	0.416400	967.540000	SESS_CLOSE	419.840000	1744.650000	W300	304.840000	442.540000
E3E7_LMART_SIDEVETO	E6	HG	384	212	50	0.481500	788.170000	SESS_CLOSE	341.260000	1445.760000	W300	222.480000	306.920000
E3E7_LMART_SIDEVETO	E6	NKD	384	181	98	0.490700	951.300000	SESS_CLOSE	262.970000	1649.800000	W450	285.680000	557.210000
E3E7_LMART_SIDEVETO	E6	SI	384	190	108	0.430100	1236.490000	SESS_CLOSE	410.570000	1840.350000	W600	206.970000	648.010000
E3E7_LMART_SIDEVETO	E7	HG	392	249	57	0.448100	846.220000	SESS_CLOSE	421.990000	1461.970000	W1500	105.490000	329.630000
E3E7_LMART_SIDEVETO	E7	NKD	393	176	142	0.436800	1165.360000	SESS_CLOSE	285.420000	1913.590000	W300	481.770000	880.860000
E3E7_LMART_SIDEVETO	E7	SI	393	197	118	0.426000	1421.530000	SESS_CLOSE	302.880000	1640.310000	W600	221.390000	672.860000
