# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
FIX2_GBT_CRE26_COMPOSED	E3	HG	139	69	36	0.568200	726.440000	SESS_CLOSE	20.420000	751.350000	W2400	99.420000	236.250000
FIX2_GBT_CRE26_COMPOSED	E3	NKD	151	85	17	0.552000	608.770000	CLOSE	0.000000	668.290000	W600	42.020000	116.830000
FIX2_GBT_CRE26_COMPOSED	E3	SI	134	67	51	0.642800	901.030000	CLOSE	0.000000	868.440000	W900	0.000000	286.670000
FIX2_GBT_CRE26_COMPOSED	E4	HG	129	65	26	0.598400	625.340000	SESS_CLOSE	3.910000	613.080000	NO_WALL	64.210000	161.620000
FIX2_GBT_CRE26_COMPOSED	E4	NKD	136	69	15	0.609300	519.030000	CLOSE	0.000000	533.910000	W1800	17.730000	110.850000
FIX2_GBT_CRE26_COMPOSED	E4	SI	131	76	34	0.585000	869.660000	CLOSE	0.000000	843.610000	W900	0.000000	190.330000
FIX2_GBT_CRE26_COMPOSED	E5	HG	139	75	8	0.601000	433.230000	H120	144.330000	458.650000	W600	26.210000	82.410000
FIX2_GBT_CRE26_COMPOSED	E5	NKD	156	65	51	0.567700	882.130000	H30	392.540000	954.530000	W300	253.950000	311.800000
FIX2_GBT_CRE26_COMPOSED	E5	SI	130	70	29	0.550300	761.150000	H60	293.990000	764.920000	W1500	91.470000	195.540000
FIX2_GBT_CRE26_COMPOSED	E6	HG	138	62	21	0.535300	702.400000	H60	313.720000	686.440000	W900	0.000000	135.400000
FIX2_GBT_CRE26_COMPOSED	E6	NKD	157	61	62	0.500000	1051.190000	H30	459.670000	1158.480000	W300	300.780000	357.360000
FIX2_GBT_CRE26_COMPOSED	E6	SI	143	59	68	0.623100	1062.760000	H60	420.450000	1097.930000	W450	234.380000	399.610000
FIX2_GBT_CRE26_COMPOSED	E7	HG	136	77	21	0.573800	563.420000	H120	193.800000	586.670000	W900	0.000000	114.790000
FIX2_GBT_CRE26_COMPOSED	E7	NKD	158	62	75	0.590400	983.310000	CLOSE	0.000000	1092.600000	NO_WALL	244.450000	456.260000
FIX2_GBT_CRE26_COMPOSED	E7	SI	148	63	72	0.604200	1062.580000	SESS_CLOSE	14.980000	1102.080000	W300	314.580000	441.030000
FIX2_GBT_CRE26_COMPOSED	E8	HG	134	68	34	0.655600	789.880000	CLOSE	0.000000	759.480000	W1200	58.020000	209.450000
FIX2_GBT_CRE26_COMPOSED	E8	NKD	148	69	58	0.537700	1074.750000	H60	426.910000	1041.280000	NO_WALL	207.200000	388.600000
FIX2_GBT_CRE26_COMPOSED	E8	SI	139	69	56	0.650000	1009.710000	CLOSE	0.000000	1009.570000	NO_WALL	224.630000	390.180000
