# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
FIX2_GBT_CRE26_PRIMARY	E3	HG	157	103	2	0.515200	503.740000	SESS_CLOSE	146.180000	527.190000	W1200	1.200000	22.160000
FIX2_GBT_CRE26_PRIMARY	E3	NKD	140	81	2	0.536900	317.320000	SESS_CLOSE	50.960000	341.150000	W900	0.000000	18.170000
FIX2_GBT_CRE26_PRIMARY	E3	SI	163	88	15	0.490200	758.740000	SESS_CLOSE	202.670000	779.520000	W1800	29.900000	94.710000
FIX2_GBT_CRE26_PRIMARY	E4	HG	152	85	11	0.495500	560.440000	SESS_CLOSE	175.990000	613.210000	W1200	13.280000	73.100000
FIX2_GBT_CRE26_PRIMARY	E4	NKD	165	94	1	0.480000	365.830000	CLOSE	0.000000	438.660000	W1200	2.420000	7.850000
FIX2_GBT_CRE26_PRIMARY	E4	SI	154	85	15	0.495700	699.760000	SESS_CLOSE	177.700000	731.560000	W900	0.000000	92.360000
FIX2_GBT_CRE26_PRIMARY	E5	HG	149	89	0	0.497000	329.320000	SESS_CLOSE	123.380000	380.120000	W900	0.000000	4.990000
FIX2_GBT_CRE26_PRIMARY	E5	NKD	157	75	6	0.450300	542.360000	SESS_CLOSE	237.090000	617.210000	W1800	28.860000	60.060000
FIX2_GBT_CRE26_PRIMARY	E5	SI	153	86	9	0.488100	627.120000	SESS_CLOSE	147.620000	618.640000	W1200	13.660000	56.590000
FIX2_GBT_CRE26_PRIMARY	E6	HG	151	79	11	0.559000	404.300000	CLOSE	0.000000	461.800000	W450	39.650000	73.140000
FIX2_GBT_CRE26_PRIMARY	E6	NKD	154	81	4	0.480900	545.540000	CLOSE	0.000000	602.230000	W900	0.000000	44.920000
FIX2_GBT_CRE26_PRIMARY	E6	SI	156	78	19	0.542600	684.130000	CLOSE	0.000000	699.300000	W1500	42.290000	119.730000
FIX2_GBT_CRE26_PRIMARY	E7	HG	154	99	7	0.561700	375.160000	CLOSE	0.000000	395.810000	W600	17.410000	51.810000
FIX2_GBT_CRE26_PRIMARY	E7	NKD	181	94	25	0.455100	763.880000	CLOSE	0.000000	871.640000	W1800	72.420000	154.770000
FIX2_GBT_CRE26_PRIMARY	E7	SI	183	99	28	0.440300	929.370000	CLOSE	0.000000	917.270000	NO_WALL	92.180000	191.320000
FIX2_GBT_CRE26_PRIMARY	E8	HG	145	75	15	0.517700	601.900000	SESS_CLOSE	81.920000	607.030000	NO_WALL	31.280000	98.800000
FIX2_GBT_CRE26_PRIMARY	E8	NKD	143	78	21	0.562600	636.800000	SESS_CLOSE	62.850000	627.090000	W900	0.000000	142.500000
FIX2_GBT_CRE26_PRIMARY	E8	SI	159	84	20	0.551500	736.870000	CLOSE	0.000000	701.540000	NO_WALL	62.990000	138.580000
