# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
FIX2_LMART_DAY	E3	HG	181	81	66	0.560700	945.340000	CLOSE	0.000000	1136.580000	W450	220.960000	373.590000
FIX2_LMART_DAY	E3	NKD	180	73	60	0.541100	843.540000	H120	387.400000	1064.330000	W600	136.250000	338.940000
FIX2_LMART_DAY	E3	SI	163	72	66	0.592400	1117.480000	CLOSE	0.000000	1038.940000	W2400	239.150000	436.080000
FIX2_LMART_DAY	E4	HG	172	73	65	0.553900	898.800000	H120	439.500000	1109.420000	W300	308.110000	337.430000
FIX2_LMART_DAY	E4	NKD	174	88	41	0.498100	849.640000	SESS_CLOSE	201.360000	1002.310000	W2400	110.930000	263.840000
FIX2_LMART_DAY	E4	SI	173	80	67	0.530900	1053.830000	SESS_CLOSE	132.300000	1133.320000	W1800	205.390000	436.020000
FIX2_LMART_DAY	E5	HG	154	78	22	0.564800	596.140000	CLOSE	0.000000	684.150000	W450	92.540000	143.460000
FIX2_LMART_DAY	E5	NKD	154	75	57	0.541300	943.100000	SESS_CLOSE	157.690000	962.340000	W2400	135.560000	341.470000
FIX2_LMART_DAY	E5	SI	142	67	50	0.617100	852.990000	H120	326.880000	945.970000	W1200	138.290000	313.290000
FIX2_LMART_DAY	E6	HG	154	76	37	0.600400	691.760000	CLOSE	0.000000	731.010000	W1800	99.610000	232.080000
FIX2_LMART_DAY	E6	NKD	152	70	60	0.529900	1162.090000	SESS_CLOSE	196.090000	1099.670000	W1200	111.620000	377.750000
FIX2_LMART_DAY	E6	SI	159	61	79	0.609800	1132.470000	H60	539.610000	1204.220000	W300	353.200000	466.580000
FIX2_LMART_DAY	E7	HG	150	69	48	0.509500	845.790000	H120	307.300000	880.430000	W450	168.850000	264.930000
FIX2_LMART_DAY	E7	NKD	169	67	97	0.541200	1307.770000	SESS_CLOSE	97.690000	1302.630000	W1500	399.330000	744.430000
FIX2_LMART_DAY	E7	SI	178	65	97	0.529800	1343.470000	SESS_CLOSE	72.040000	1294.290000	W450	321.930000	619.450000
FIX2_LMART_DAY	E8	HG	158	73	65	0.570700	1167.370000	H120	456.700000	1080.330000	W1800	128.020000	387.470000
FIX2_LMART_DAY	E8	NKD	163	55	95	0.521300	1239.190000	H120	465.280000	1295.390000	NO_WALL	429.740000	706.120000
FIX2_LMART_DAY	E8	SI	164	56	96	0.643300	1337.120000	H60	640.390000	1402.400000	W2400	341.990000	634.000000
