# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
FIX2_LMART_DAY	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
FIX2_LMART_DAY	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-3741.250000	-4354.350000	130	-33.490000
FIX2_LMART_DAY	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	20287.120000	13832.370000	130	106.400000
FIX2_LMART_DAY	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	11968.750000	10216.750000	130	78.590000
FIX2_LMART_DAY	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	475.000000	330.620000	130	2.540000
FIX2_LMART_DAY	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	1100.000000	953.500000	130	7.330000
FIX2_LMART_DAY	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-211.250000	396.450000	130	3.050000
FIX2_LMART_DAY	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	19835.870000	12270.250000	130	94.390000
FIX2_LMART_DAY	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	10105.000000	8077.230000	130	62.130000
FIX2_LMART_DAY	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	256.250000	126.090000	130	0.970000
FIX2_LMART_DAY	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	743.750000	656.120000	130	5.050000
FIX2_LMART_DAY	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-2300.000000	-1062.320000	130	-8.170000
FIX2_LMART_DAY	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	29823.800000	18344.060000	130	141.110000
FIX2_LMART_DAY	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	28648.750000	19898.350000	130	153.060000
FIX2_LMART_DAY	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	662.500000	523.470000	130	4.030000
FIX2_LMART_DAY	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	11387.500000	7924.410000	130	60.960000
FIX2_LMART_DAY	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-5222.500000	-1869.640000	130	-14.380000
FIX2_LMART_DAY	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	20118.060000	12338.800000	130	94.910000
FIX2_LMART_DAY	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	8243.750000	6054.770000	130	46.580000
FIX2_LMART_DAY	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	368.750000	282.230000	130	2.170000
FIX2_LMART_DAY	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	5400.000000	4361.780000	130	33.550000
FIX2_LMART_DAY	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-4958.750000	-3972.730000	130	-30.560000
FIX2_LMART_DAY	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	17499.650000	11152.550000	130	85.790000
FIX2_LMART_DAY	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	11906.250000	6930.010000	130	53.310000
FIX2_LMART_DAY	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	175.000000	0.000000	130	0.000000
FIX2_LMART_DAY	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	1425.000000	1357.390000	130	10.440000
FIX2_LMART_DAY	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-672.500000	110.210000	130	0.850000
FIX2_LMART_DAY	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	26092.980000	17008.320000	130	130.830000
FIX2_LMART_DAY	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	28235.000000	21851.600000	130	168.090000
FIX2_LMART_DAY	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	437.500000	273.680000	130	2.110000
FIX2_LMART_DAY	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	6905.000000	5397.220000	130	41.520000
FIX2_LMART_DAY	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-11307.500000	-7863.930000	130	-60.490000
FIX2_LMART_DAY	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	24757.820000	14390.490000	130	110.700000
FIX2_LMART_DAY	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	25195.000000	14925.780000	130	114.810000
FIX2_LMART_DAY	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	2156.250000	1892.830000	130	14.560000
FIX2_LMART_DAY	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	1818.750000	599.640000	130	4.610000
FIX2_LMART_DAY	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-1793.750000	-1217.850000	130	-9.370000
FIX2_LMART_DAY	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	21867.500000	13803.420000	130	106.180000
FIX2_LMART_DAY	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	11962.500000	7309.460000	130	56.230000
FIX2_LMART_DAY	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	331.250000	193.640000	130	1.490000
FIX2_LMART_DAY	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	3281.250000	2197.170000	130	16.900000
FIX2_LMART_DAY	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-618.750000	-1479.450000	130	-11.380000
FIX2_LMART_DAY	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	30069.700000	18003.800000	130	138.490000
FIX2_LMART_DAY	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	28452.500000	18417.960000	130	141.680000
FIX2_LMART_DAY	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1143.750000	687.830000	130	5.290000
FIX2_LMART_DAY	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	11468.750000	7661.260000	130	58.930000
FIX2_LMART_DAY	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
FIX2_LMART_DAY	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	-3697.500000	-2366.260000	130	-18.200000
FIX2_LMART_DAY	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	27781.710000	23356.230000	130	179.660000
FIX2_LMART_DAY	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	10552.500000	9446.430000	130	72.660000
FIX2_LMART_DAY	E3	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	1000.000000	891.550000	130	6.860000
FIX2_LMART_DAY	E3	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	17137.500000	13686.810000	130	105.280000
FIX2_LMART_DAY	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-3440.000000	-2760.510000	130	-21.230000
FIX2_LMART_DAY	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	13521.060000	11869.410000	130	91.300000
FIX2_LMART_DAY	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	2867.500000	2630.580000	130	20.240000
FIX2_LMART_DAY	E3	NKD	rg0|ph1	SEL_WRONG_MOMENT	A	moment	-47.500000	-47.500000	130	-0.370000
FIX2_LMART_DAY	E3	NKD	rg0|ph2	PARTICIPATION	A	throughput/abstention	-1455.000000	-1264.220000	130	-9.720000
FIX2_LMART_DAY	E3	NKD	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	25021.160000	21699.570000	130	166.920000
FIX2_LMART_DAY	E3	NKD	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	22802.500000	19950.580000	130	153.470000
FIX2_LMART_DAY	E3	NKD	rg0|ph2	SEL_WRONG_MOMENT	A	moment	187.500000	177.000000	130	1.360000
FIX2_LMART_DAY	E3	NKD	rg0|ph2	SEL_WRONG_SIDE	A	validity	7462.500000	4725.560000	130	36.350000
FIX2_LMART_DAY	E3	NKD	rg1|ph0	PARTICIPATION	A	throughput/abstention	-7422.500000	-6523.920000	130	-50.180000
FIX2_LMART_DAY	E3	NKD	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	23220.950000	18527.480000	130	142.520000
FIX2_LMART_DAY	E3	NKD	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	10540.000000	9196.960000	130	70.750000
FIX2_LMART_DAY	E3	NKD	rg1|ph0	SEL_WRONG_MOMENT	A	moment	1287.500000	1074.620000	130	8.270000
FIX2_LMART_DAY	E3	NKD	rg1|ph0	SEL_WRONG_SIDE	A	validity	3425.000000	2876.480000	130	22.130000
FIX2_LMART_DAY	E3	NKD	rg1|ph1	PARTICIPATION	A	throughput/abstention	-737.500000	-794.750000	130	-6.110000
FIX2_LMART_DAY	E3	NKD	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	9903.810000	7601.530000	130	58.470000
FIX2_LMART_DAY	E3	NKD	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	2935.000000	2188.630000	130	16.840000
FIX2_LMART_DAY	E3	NKD	rg1|ph1	SEL_WRONG_MOMENT	A	moment	87.500000	63.690000	130	0.490000
FIX2_LMART_DAY	E3	NKD	rg1|ph1	SEL_WRONG_SIDE	A	validity	1325.000000	1325.000000	130	10.190000
FIX2_LMART_DAY	E3	NKD	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1025.000000	-1518.130000	130	-11.680000
FIX2_LMART_DAY	E3	NKD	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	25918.530000	19411.480000	130	149.320000
FIX2_LMART_DAY	E3	NKD	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	35437.500000	28104.780000	130	216.190000
FIX2_LMART_DAY	E3	NKD	rg1|ph2	SEL_WRONG_MOMENT	A	moment	712.500000	698.560000	130	5.370000
FIX2_LMART_DAY	E3	NKD	rg1|ph2	SEL_WRONG_SIDE	A	validity	3150.000000	2643.880000	130	20.340000
FIX2_LMART_DAY	E3	NKD	rg2|ph0	PARTICIPATION	A	throughput/abstention	-6030.000000	-5270.770000	130	-40.540000
FIX2_LMART_DAY	E3	NKD	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	18833.310000	13184.110000	130	101.420000
FIX2_LMART_DAY	E3	NKD	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	6502.500000	4678.400000	130	35.990000
FIX2_LMART_DAY	E3	NKD	rg2|ph0	SEL_WRONG_MOMENT	A	moment	650.000000	562.450000	130	4.330000
FIX2_LMART_DAY	E3	NKD	rg2|ph0	SEL_WRONG_SIDE	A	validity	16375.000000	11425.940000	130	87.890000
FIX2_LMART_DAY	E3	NKD	rg2|ph1	PARTICIPATION	A	throughput/abstention	-827.500000	-301.620000	130	-2.320000
FIX2_LMART_DAY	E3	NKD	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	9439.960000	6965.830000	130	53.580000
FIX2_LMART_DAY	E3	NKD	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	3892.500000	2639.530000	130	20.300000
FIX2_LMART_DAY	E3	NKD	rg2|ph1	SEL_WRONG_MOMENT	A	moment	-92.500000	-84.280000	130	-0.650000
FIX2_LMART_DAY	E3	NKD	rg2|ph2	PARTICIPATION	A	throughput/abstention	-2967.500000	-1434.560000	130	-11.040000
FIX2_LMART_DAY	E3	NKD	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	22279.510000	15974.840000	130	122.880000
FIX2_LMART_DAY	E3	NKD	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	22100.000000	16352.380000	130	125.790000
FIX2_LMART_DAY	E3	NKD	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1055.000000	946.590000	130	7.280000
FIX2_LMART_DAY	E3	NKD	rg2|ph2	SEL_WRONG_SIDE	A	validity	6787.500000	3854.650000	130	29.650000
FIX2_LMART_DAY	E3	SI	ALL	OPPORTUNITY	A	generation/coverage	2945.000000	2945.000000	130	22.650000
FIX2_LMART_DAY	E3	SI	rg0|ph0	PARTICIPATION	A	throughput/abstention	-302.500000	548.550000	130	4.220000
FIX2_LMART_DAY	E3	SI	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	6193.650000	2693.040000	130	20.720000
FIX2_LMART_DAY	E3	SI	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	735.000000	560.620000	130	4.310000
