# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
LMART_M3FEATURES	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
LMART_M3FEATURES	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-2407.500000	-2338.370000	130	-17.990000
LMART_M3FEATURES	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18861.250000	13807.050000	130	106.210000
LMART_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	14692.500000	11313.550000	130	87.030000
LMART_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	512.500000	344.310000	130	2.650000
LMART_M3FEATURES	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	5468.750000	3527.210000	130	27.130000
LMART_M3FEATURES	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-2356.250000	-1751.920000	130	-13.480000
LMART_M3FEATURES	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	19804.010000	12974.100000	130	99.800000
LMART_M3FEATURES	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	14455.000000	11298.860000	130	86.910000
LMART_M3FEATURES	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	7.500000	5.300000	130	0.040000
LMART_M3FEATURES	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-8063.750000	-5775.750000	130	-44.430000
LMART_M3FEATURES	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	30491.950000	17213.900000	130	132.410000
LMART_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	26017.500000	19360.000000	130	148.920000
LMART_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	3675.000000	2305.140000	130	17.730000
LMART_M3FEATURES	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	4687.500000	3778.150000	130	29.060000
LMART_M3FEATURES	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-5685.000000	-1893.860000	130	-14.570000
LMART_M3FEATURES	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	22236.330000	14523.870000	130	111.720000
LMART_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	10390.000000	7213.050000	130	55.480000
LMART_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	37.500000	33.230000	130	0.260000
LMART_M3FEATURES	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	1818.750000	1611.690000	130	12.400000
LMART_M3FEATURES	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-1743.750000	-541.810000	130	-4.170000
LMART_M3FEATURES	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	19850.170000	13234.200000	130	101.800000
LMART_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	14857.500000	10096.380000	130	77.660000
LMART_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	12.500000	7.820000	130	0.060000
LMART_M3FEATURES	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	3062.500000	1867.460000	130	14.370000
LMART_M3FEATURES	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	68.750000	-11.190000	130	-0.090000
LMART_M3FEATURES	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	27523.750000	19483.340000	130	149.870000
LMART_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	28620.000000	19698.610000	130	151.530000
LMART_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	1598.750000	1127.430000	130	8.670000
LMART_M3FEATURES	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	6617.500000	5189.350000	130	39.920000
LMART_M3FEATURES	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-10468.750000	-6973.340000	130	-53.640000
LMART_M3FEATURES	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	23150.060000	14753.060000	130	113.490000
LMART_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	28142.500000	15903.350000	130	122.330000
LMART_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	2431.250000	1354.530000	130	10.420000
LMART_M3FEATURES	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	337.500000	194.580000	130	1.500000
LMART_M3FEATURES	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	2578.750000	-1164.970000	130	-8.960000
LMART_M3FEATURES	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	20723.560000	13038.990000	130	100.300000
LMART_M3FEATURES	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	10022.500000	7005.920000	130	53.890000
LMART_M3FEATURES	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	668.750000	367.560000	130	2.830000
LMART_M3FEATURES	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-6877.500000	-5603.870000	130	-43.110000
LMART_M3FEATURES	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	30490.150000	18973.170000	130	145.950000
LMART_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	33877.500000	25191.760000	130	193.780000
LMART_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	868.750000	181.710000	130	1.400000
LMART_M3FEATURES	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	8431.250000	4783.950000	130	36.800000
