# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
PROBE_FUSED_MULTI	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
PROBE_FUSED_MULTI	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	18070.400000	13183.340000	130	101.410000
PROBE_FUSED_MULTI	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	19527.500000	14352.850000	130	110.410000
PROBE_FUSED_MULTI	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	18956.620000	12752.190000	130	98.090000
PROBE_FUSED_MULTI	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	14211.250000	11052.940000	130	85.020000
PROBE_FUSED_MULTI	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-5526.250000	-3299.030000	130	-25.380000
PROBE_FUSED_MULTI	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	26497.560000	17848.390000	130	137.300000
PROBE_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	30492.500000	18864.470000	130	145.110000
PROBE_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	737.500000	563.200000	130	4.330000
PROBE_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	5523.750000	3832.680000	130	29.480000
PROBE_FUSED_MULTI	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-743.750000	-316.260000	130	-2.430000
PROBE_FUSED_MULTI	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	19181.980000	12688.460000	130	97.600000
PROBE_FUSED_MULTI	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	11526.250000	8472.360000	130	65.170000
PROBE_FUSED_MULTI	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	17201.740000	11752.420000	130	90.400000
PROBE_FUSED_MULTI	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	17823.750000	11134.710000	130	85.650000
PROBE_FUSED_MULTI	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-14552.500000	-9053.900000	130	-69.650000
PROBE_FUSED_MULTI	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	28380.140000	18941.260000	130	145.700000
PROBE_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	25967.500000	17491.550000	130	134.550000
PROBE_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	1368.750000	978.040000	130	7.520000
PROBE_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	1262.500000	845.440000	130	6.500000
PROBE_FUSED_MULTI	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	1465.000000	652.840000	130	5.020000
PROBE_FUSED_MULTI	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	23003.580000	13470.720000	130	103.620000
PROBE_FUSED_MULTI	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	24800.000000	13747.810000	130	105.750000
PROBE_FUSED_MULTI	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	19419.170000	11661.440000	130	89.700000
PROBE_FUSED_MULTI	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	12887.500000	7892.630000	130	60.710000
PROBE_FUSED_MULTI	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-1467.500000	-1802.410000	130	-13.860000
PROBE_FUSED_MULTI	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	26841.320000	16336.780000	130	125.670000
PROBE_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	37892.500000	21872.230000	130	168.250000
PROBE_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	300.000000	241.810000	130	1.860000
PROBE_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	5698.750000	4082.290000	130	31.400000
PROBE_FUSED_MULTI	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	137.500000	148.850000	130	1.140000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	22793.760000	19423.580000	130	149.410000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	29992.500000	25224.280000	130	194.030000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-432.500000	-520.040000	130	-4.000000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	9363.670000	8481.480000	130	65.240000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	3442.500000	3027.690000	130	23.290000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph1	SEL_WRONG_MOMENT	A	moment	-55.000000	-55.000000	130	-0.420000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph2	PARTICIPATION	A	throughput/abstention	-1572.500000	-1764.410000	130	-13.570000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	19849.880000	17028.510000	130	130.990000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	22312.500000	19479.990000	130	149.850000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph2	SEL_WRONG_MOMENT	A	moment	875.000000	825.270000	130	6.350000
PROBE_FUSED_MULTI	E3	NKD	rg0|ph2	SEL_WRONG_SIDE	A	validity	12387.500000	10404.800000	130	80.040000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph0	PARTICIPATION	A	throughput/abstention	-922.500000	-922.500000	130	-7.100000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	15902.400000	12975.140000	130	99.810000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	19010.000000	14935.240000	130	114.890000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph0	SEL_WRONG_MOMENT	A	moment	62.500000	62.500000	130	0.480000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph1	PARTICIPATION	A	throughput/abstention	-325.000000	-336.370000	130	-2.590000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	8918.750000	6618.850000	130	50.910000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	1185.000000	1113.320000	130	8.560000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1430.000000	-469.420000	130	-3.610000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	20479.940000	15212.650000	130	117.020000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	32875.000000	26654.470000	130	205.030000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph2	SEL_WRONG_MOMENT	A	moment	450.000000	249.590000	130	1.920000
PROBE_FUSED_MULTI	E3	NKD	rg1|ph2	SEL_WRONG_SIDE	A	validity	9325.000000	6289.610000	130	48.380000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph0	PARTICIPATION	A	throughput/abstention	-1397.500000	-778.860000	130	-5.990000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	16575.100000	10907.010000	130	83.900000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	20380.000000	12698.940000	130	97.680000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph1	PARTICIPATION	A	throughput/abstention	-2020.000000	-1610.970000	130	-12.390000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	8573.970000	6205.200000	130	47.730000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	3222.500000	2061.350000	130	15.860000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph1	SEL_WRONG_MOMENT	A	moment	150.000000	150.000000	130	1.150000
PROBE_FUSED_MULTI	E3	NKD	rg2|ph1	SEL_WRONG_SIDE	A	validity	962.500000	962.500000	130	7.400000
