# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
RANK_CTXONLY	E3	HG	152	71	58	0.570100	901.070000	H60	382.400000	917.410000	W450	194.760000	321.350000
RANK_CTXONLY	E3	NKD	164	81	41	0.515500	778.200000	H120	338.790000	864.380000	W1200	61.350000	246.630000
RANK_CTXONLY	E3	SI	168	64	87	0.574400	1040.630000	CLOSE	0.000000	1177.480000	W600	192.980000	573.790000
RANK_CTXONLY	E4	HG	152	93	11	0.431700	697.490000	SESS_CLOSE	249.030000	775.620000	W2400	24.170000	72.660000
RANK_CTXONLY	E4	NKD	172	102	24	0.517800	641.860000	SESS_CLOSE	188.550000	763.160000	W1500	57.270000	152.130000
RANK_CTXONLY	E4	SI	171	99	26	0.410100	1043.930000	SESS_CLOSE	290.160000	1054.040000	W450	85.450000	167.810000
RANK_CTXONLY	E5	HG	149	71	27	0.595700	587.500000	CLOSE	0.000000	666.480000	W450	98.890000	165.310000
RANK_CTXONLY	E5	NKD	157	69	63	0.563600	944.350000	SESS_CLOSE	96.490000	1011.760000	W450	212.020000	385.950000
RANK_CTXONLY	E5	SI	141	63	68	0.629500	872.340000	H120	344.300000	939.750000	W300	308.620000	431.450000
RANK_CTXONLY	E6	HG	145	67	46	0.506400	962.800000	SESS_CLOSE	123.470000	863.670000	W300	223.490000	257.030000
RANK_CTXONLY	E6	NKD	164	76	69	0.564700	1114.330000	SESS_CLOSE	136.110000	1127.380000	W1800	185.800000	425.940000
RANK_CTXONLY	E6	SI	145	57	78	0.601400	1172.760000	H30	572.460000	1135.200000	W1800	261.290000	563.950000
RANK_CTXONLY	E7	HG	157	87	33	0.531500	782.520000	SESS_CLOSE	92.660000	744.060000	W2400	95.660000	211.550000
RANK_CTXONLY	E7	NKD	183	80	81	0.559400	1245.010000	SESS_CLOSE	53.720000	1205.550000	W450	259.330000	506.530000
RANK_CTXONLY	E7	SI	160	67	76	0.589600	1258.750000	SESS_CLOSE	14.980000	1179.690000	W600	171.370000	451.320000
RANK_CTXONLY	E8	HG	146	58	69	0.651800	1070.800000	SESS_CLOSE	54.130000	971.560000	NO_WALL	176.120000	402.160000
RANK_CTXONLY	E8	NKD	151	52	80	0.568100	1160.760000	H120	469.110000	1154.060000	NO_WALL	424.250000	639.090000
RANK_CTXONLY	E8	SI	151	61	83	0.574500	1331.290000	CLOSE	0.000000	1249.840000	NO_WALL	298.190000	547.010000
