# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
RANK_FUSED_MULTI	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
RANK_FUSED_MULTI	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-4293.750000	-4787.510000	130	-36.830000
RANK_FUSED_MULTI	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	23788.110000	16688.350000	130	128.370000
RANK_FUSED_MULTI	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	13256.250000	10642.450000	130	81.870000
RANK_FUSED_MULTI	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	468.750000	183.330000	130	1.410000
RANK_FUSED_MULTI	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	2725.000000	1570.540000	130	12.080000
RANK_FUSED_MULTI	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	3428.750000	1905.350000	130	14.660000
RANK_FUSED_MULTI	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	16789.910000	12028.270000	130	92.530000
RANK_FUSED_MULTI	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	15576.250000	12509.490000	130	96.230000
RANK_FUSED_MULTI	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	7.500000	5.010000	130	0.040000
RANK_FUSED_MULTI	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-7427.500000	-4605.500000	130	-35.430000
RANK_FUSED_MULTI	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	28953.930000	19468.500000	130	149.760000
RANK_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	27493.750000	18887.480000	130	145.290000
RANK_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1231.250000	951.550000	130	7.320000
RANK_FUSED_MULTI	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	13456.250000	9519.060000	130	73.220000
RANK_FUSED_MULTI	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-2307.500000	-1525.490000	130	-11.730000
RANK_FUSED_MULTI	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	19075.520000	12874.380000	130	99.030000
RANK_FUSED_MULTI	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	11643.750000	7514.830000	130	57.810000
RANK_FUSED_MULTI	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	318.750000	286.250000	130	2.200000
RANK_FUSED_MULTI	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	462.500000	401.420000	130	3.090000
RANK_FUSED_MULTI	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-6010.000000	-3743.380000	130	-28.800000
RANK_FUSED_MULTI	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	19505.720000	12609.200000	130	96.990000
RANK_FUSED_MULTI	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	14996.250000	9454.220000	130	72.720000
RANK_FUSED_MULTI	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	256.250000	105.590000	130	0.810000
RANK_FUSED_MULTI	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-2226.250000	-872.850000	130	-6.710000
RANK_FUSED_MULTI	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	26030.510000	17958.510000	130	138.140000
RANK_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	26663.750000	19859.670000	130	152.770000
RANK_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	706.250000	442.580000	130	3.400000
RANK_FUSED_MULTI	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	12025.000000	10211.040000	130	78.550000
RANK_FUSED_MULTI	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-15057.500000	-8288.740000	130	-63.760000
RANK_FUSED_MULTI	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	24682.010000	13613.900000	130	104.720000
RANK_FUSED_MULTI	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	24855.000000	13111.530000	130	100.860000
RANK_FUSED_MULTI	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	293.750000	111.090000	130	0.850000
RANK_FUSED_MULTI	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	462.500000	253.690000	130	1.950000
RANK_FUSED_MULTI	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-471.250000	-1446.600000	130	-11.130000
RANK_FUSED_MULTI	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	21871.930000	13161.780000	130	101.240000
RANK_FUSED_MULTI	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	10005.000000	5847.090000	130	44.980000
RANK_FUSED_MULTI	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	331.250000	209.280000	130	1.610000
RANK_FUSED_MULTI	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	5512.500000	3273.990000	130	25.180000
RANK_FUSED_MULTI	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-3257.500000	-2637.210000	130	-20.290000
RANK_FUSED_MULTI	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	30378.610000	17443.120000	130	134.180000
RANK_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	28876.250000	18668.800000	130	143.610000
RANK_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1875.000000	1307.480000	130	10.060000
RANK_FUSED_MULTI	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	10525.000000	6572.210000	130	50.560000
RANK_FUSED_MULTI	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
RANK_FUSED_MULTI	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	1935.000000	1478.990000	130	11.380000
RANK_FUSED_MULTI	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	22890.760000	18676.670000	130	143.670000
RANK_FUSED_MULTI	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	20005.000000	17424.700000	130	134.040000
RANK_FUSED_MULTI	E3	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	2112.500000	1949.950000	130	15.000000
RANK_FUSED_MULTI	E3	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	212.500000	161.700000	130	1.240000
RANK_FUSED_MULTI	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-3660.000000	-3245.650000	130	-24.970000
RANK_FUSED_MULTI	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	10427.270000	9448.160000	130	72.680000
RANK_FUSED_MULTI	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	3707.500000	3170.390000	130	24.390000
RANK_FUSED_MULTI	E3	NKD	rg0|ph1	SEL_WRONG_MOMENT	A	moment	70.000000	67.610000	130	0.520000
