# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
RANK_FUSED_NEXT	E3	HG	164	76	60	0.546700	920.160000	CLOSE	0.000000	1019.400000	W1200	100.340000	358.940000
RANK_FUSED_NEXT	E3	NKD	173	80	49	0.491700	832.880000	H120	337.790000	1033.690000	W300	250.290000	294.520000
RANK_FUSED_NEXT	E3	SI	165	69	75	0.528200	1130.080000	SESS_CLOSE	91.520000	1148.830000	W600	165.870000	471.370000
RANK_FUSED_NEXT	E4	HG	160	98	17	0.454400	668.200000	SESS_CLOSE	179.970000	721.380000	W1800	54.810000	115.170000
RANK_FUSED_NEXT	E4	NKD	183	114	20	0.585200	565.850000	CLOSE	0.000000	712.130000	W1200	42.930000	131.100000
RANK_FUSED_NEXT	E4	SI	171	93	39	0.462300	976.320000	CLOSE	0.000000	1014.080000	W1200	91.450000	250.610000
RANK_FUSED_NEXT	E5	HG	140	71	22	0.624300	546.210000	H120	214.530000	583.250000	W900	0.000000	132.700000
RANK_FUSED_NEXT	E5	NKD	158	69	59	0.564800	938.130000	SESS_CLOSE	132.480000	1003.600000	W300	276.840000	356.200000
RANK_FUSED_NEXT	E5	SI	139	58	66	0.631100	968.350000	H120	369.550000	994.710000	W300	311.430000	446.100000
RANK_FUSED_NEXT	E6	HG	143	63	38	0.537800	790.120000	SESS_CLOSE	78.140000	779.160000	W600	86.720000	211.520000
RANK_FUSED_NEXT	E6	NKD	153	68	67	0.608000	1106.050000	SESS_CLOSE	106.230000	1097.620000	W600	151.370000	398.050000
RANK_FUSED_NEXT	E6	SI	143	55	75	0.657700	1177.800000	H60	523.710000	1130.900000	W1200	145.140000	504.140000
RANK_FUSED_NEXT	E7	HG	145	70	49	0.570000	765.650000	SESS_CLOSE	48.060000	775.300000	W600	112.400000	245.540000
RANK_FUSED_NEXT	E7	NKD	170	53	98	0.554300	1295.370000	SESS_CLOSE	100.420000	1334.220000	W300	417.250000	575.130000
RANK_FUSED_NEXT	E7	SI	167	64	90	0.558500	1285.330000	SESS_CLOSE	53.820000	1297.810000	W450	283.490000	578.840000
RANK_FUSED_NEXT	E8	HG	146	62	65	0.620300	1068.790000	SESS_CLOSE	47.410000	959.000000	NO_WALL	185.700000	411.240000
RANK_FUSED_NEXT	E8	NKD	155	62	79	0.557700	1176.130000	H120	507.600000	1148.170000	NO_WALL	425.940000	617.950000
RANK_FUSED_NEXT	E8	SI	159	52	93	0.582400	1477.520000	SESS_CLOSE	76.040000	1391.540000	W450	311.120000	604.430000
