# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
RANK_FUSED_NEXT	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
RANK_FUSED_NEXT	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-5246.250000	-4658.060000	130	-35.830000
RANK_FUSED_NEXT	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	22331.330000	15201.260000	130	116.930000
RANK_FUSED_NEXT	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	11308.750000	9550.430000	130	73.460000
RANK_FUSED_NEXT	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	393.750000	250.330000	130	1.930000
RANK_FUSED_NEXT	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	4018.750000	1693.460000	130	13.030000
RANK_FUSED_NEXT	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	1362.500000	-57.770000	130	-0.440000
RANK_FUSED_NEXT	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	16935.170000	10666.560000	130	82.050000
RANK_FUSED_NEXT	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	10827.500000	7960.230000	130	61.230000
RANK_FUSED_NEXT	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	326.250000	249.160000	130	1.920000
RANK_FUSED_NEXT	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	1887.500000	1623.180000	130	12.490000
RANK_FUSED_NEXT	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-5846.250000	-2845.160000	130	-21.890000
RANK_FUSED_NEXT	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	30147.540000	19873.500000	130	152.870000
RANK_FUSED_NEXT	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	27600.000000	18501.920000	130	142.320000
RANK_FUSED_NEXT	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	631.250000	542.500000	130	4.170000
RANK_FUSED_NEXT	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	8406.250000	6331.280000	130	48.700000
RANK_FUSED_NEXT	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-3687.500000	-2652.900000	130	-20.410000
RANK_FUSED_NEXT	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	19340.990000	13035.150000	130	100.270000
RANK_FUSED_NEXT	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	9150.000000	6128.990000	130	47.150000
RANK_FUSED_NEXT	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	412.500000	352.980000	130	2.720000
RANK_FUSED_NEXT	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	3968.750000	3544.820000	130	27.270000
RANK_FUSED_NEXT	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-6300.000000	-3941.250000	130	-30.320000
RANK_FUSED_NEXT	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	20116.040000	13284.940000	130	102.190000
RANK_FUSED_NEXT	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	11853.750000	7739.290000	130	59.530000
RANK_FUSED_NEXT	E3	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	68.750000	46.280000	130	0.360000
RANK_FUSED_NEXT	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1893.750000	-130.800000	130	-1.010000
RANK_FUSED_NEXT	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	27787.550000	18088.500000	130	139.140000
RANK_FUSED_NEXT	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	30255.000000	21358.090000	130	164.290000
RANK_FUSED_NEXT	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	468.750000	311.330000	130	2.390000
RANK_FUSED_NEXT	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	4325.000000	3670.330000	130	28.230000
RANK_FUSED_NEXT	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-14655.000000	-7893.880000	130	-60.720000
RANK_FUSED_NEXT	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	27689.790000	14753.810000	130	113.490000
RANK_FUSED_NEXT	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	23221.250000	13458.670000	130	103.530000
RANK_FUSED_NEXT	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	200.000000	185.340000	130	1.430000
RANK_FUSED_NEXT	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	6368.750000	3401.250000	130	26.160000
RANK_FUSED_NEXT	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-2765.000000	-1773.820000	130	-13.640000
RANK_FUSED_NEXT	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	21526.690000	13203.130000	130	101.560000
RANK_FUSED_NEXT	E3	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	10865.000000	7561.860000	130	58.170000
RANK_FUSED_NEXT	E3	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	331.250000	134.770000	130	1.040000
RANK_FUSED_NEXT	E3	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	937.500000	734.460000	130	5.650000
RANK_FUSED_NEXT	E3	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-2732.500000	-2301.040000	130	-17.700000
RANK_FUSED_NEXT	E3	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	28756.150000	16546.060000	130	127.280000
RANK_FUSED_NEXT	E3	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	32363.750000	18933.510000	130	145.640000
RANK_FUSED_NEXT	E3	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	3850.000000	2634.030000	130	20.260000
RANK_FUSED_NEXT	E3	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	12231.250000	9999.550000	130	76.920000
RANK_FUSED_NEXT	E3	NKD	ALL	OPPORTUNITY	A	generation/coverage	26192.500000	26192.500000	130	201.480000
RANK_FUSED_NEXT	E3	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	-1262.500000	-1896.830000	130	-14.590000
RANK_FUSED_NEXT	E3	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	26166.930000	21662.800000	130	166.640000
RANK_FUSED_NEXT	E3	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	15557.500000	13772.110000	130	105.940000
RANK_FUSED_NEXT	E3	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	1725.000000	1691.980000	130	13.020000
RANK_FUSED_NEXT	E3	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	9412.500000	8107.770000	130	62.370000
RANK_FUSED_NEXT	E3	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	-3915.000000	-3606.890000	130	-27.750000
RANK_FUSED_NEXT	E3	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	11672.890000	10654.970000	130	81.960000
RANK_FUSED_NEXT	E3	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	2742.500000	2479.110000	130	19.070000
RANK_FUSED_NEXT	E3	NKD	rg0|ph2	PARTICIPATION	A	throughput/abstention	-947.500000	-1206.660000	130	-9.280000
RANK_FUSED_NEXT	E3	NKD	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	23812.360000	20944.070000	130	161.110000
RANK_FUSED_NEXT	E3	NKD	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	22907.500000	19653.710000	130	151.180000
RANK_FUSED_NEXT	E3	NKD	rg0|ph2	SEL_WRONG_MOMENT	A	moment	362.500000	322.230000	130	2.480000
RANK_FUSED_NEXT	E3	NKD	rg0|ph2	SEL_WRONG_SIDE	A	validity	10637.500000	8815.690000	130	67.810000
RANK_FUSED_NEXT	E3	NKD	rg1|ph0	PARTICIPATION	A	throughput/abstention	-8457.500000	-6729.080000	130	-51.760000
RANK_FUSED_NEXT	E3	NKD	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	21288.970000	17195.470000	130	132.270000
RANK_FUSED_NEXT	E3	NKD	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	11955.000000	9010.960000	130	69.320000
RANK_FUSED_NEXT	E3	NKD	rg1|ph0	SEL_WRONG_MOMENT	A	moment	1300.000000	1119.890000	130	8.610000
RANK_FUSED_NEXT	E3	NKD	rg1|ph0	SEL_WRONG_SIDE	A	validity	6537.500000	6010.090000	130	46.230000
RANK_FUSED_NEXT	E3	NKD	rg1|ph1	PARTICIPATION	A	throughput/abstention	-3835.000000	-2282.240000	130	-17.560000
RANK_FUSED_NEXT	E3	NKD	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	11403.650000	8790.690000	130	67.620000
