# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
RANK_SEQONLY	E3	HG	223	110	53	0.457300	851.490000	CLOSE	0.000000	1200.010000	NO_WALL	121.200000	314.180000
RANK_SEQONLY	E3	NKD	180	70	43	0.436300	742.150000	CLOSE	0.000000	1017.020000	W450	141.830000	231.630000
RANK_SEQONLY	E3	SI	172	80	70	0.556200	896.950000	CLOSE	0.000000	1102.630000	W2400	229.170000	451.630000
RANK_SEQONLY	E4	HG	203	117	16	0.448800	684.450000	CLOSE	0.000000	942.480000	W900	0.000000	116.160000
RANK_SEQONLY	E4	NKD	155	82	16	0.602800	496.130000	CLOSE	0.000000	558.820000	W1800	40.500000	113.860000
RANK_SEQONLY	E4	SI	211	85	73	0.455100	1015.940000	SESS_CLOSE	162.790000	1398.300000	W1200	155.550000	496.540000
RANK_SEQONLY	E5	HG	191	99	25	0.495500	581.810000	H120	232.170000	817.300000	W450	103.730000	159.590000
RANK_SEQONLY	E5	NKD	141	62	40	0.440600	1028.990000	SESS_CLOSE	315.520000	1011.920000	W300	194.480000	239.440000
RANK_SEQONLY	E5	SI	168	79	49	0.546800	888.990000	CLOSE	0.000000	1029.650000	W2400	198.530000	372.460000
RANK_SEQONLY	E6	HG	165	73	38	0.589200	775.800000	SESS_CLOSE	80.140000	749.190000	W2400	131.880000	262.140000
RANK_SEQONLY	E6	NKD	206	86	91	0.535200	1014.260000	H30	459.320000	1414.880000	W300	373.810000	539.980000
RANK_SEQONLY	E6	SI	168	62	88	0.652200	1029.170000	H30	552.830000	1272.620000	NO_WALL	364.200000	692.010000
RANK_SEQONLY	E7	HG	181	83	46	0.495600	767.400000	SESS_CLOSE	181.000000	982.770000	NO_WALL	100.860000	256.390000
RANK_SEQONLY	E7	NKD	209	85	85	0.542100	1159.390000	CLOSE	0.000000	1321.560000	NO_WALL	289.920000	600.950000
RANK_SEQONLY	E7	SI	174	77	84	0.554600	1239.440000	SESS_CLOSE	45.000000	1239.540000	NO_WALL	248.890000	502.790000
RANK_SEQONLY	E8	HG	217	109	61	0.445700	1091.220000	SESS_CLOSE	277.320000	1283.300000	W1200	98.410000	367.630000
RANK_SEQONLY	E8	NKD	203	71	81	0.503000	1079.500000	CLOSE	0.000000	1403.150000	NO_WALL	307.260000	553.920000
RANK_SEQONLY	E8	SI	173	64	83	0.572000	1191.550000	SESS_CLOSE	70.750000	1313.920000	W450	276.670000	567.930000
