# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
RANK_SEQONLY	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
RANK_SEQONLY	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-3090.000000	-2887.430000	130	-22.210000
RANK_SEQONLY	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	22206.200000	17073.080000	130	131.330000
RANK_SEQONLY	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	19711.250000	14619.530000	130	112.460000
RANK_SEQONLY	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	156.250000	112.630000	130	0.870000
RANK_SEQONLY	E3	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	1475.000000	1105.010000	130	8.500000
RANK_SEQONLY	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-2708.750000	-1437.950000	130	-11.060000
RANK_SEQONLY	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	17318.140000	10879.600000	130	83.690000
RANK_SEQONLY	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	13537.500000	12299.390000	130	94.610000
RANK_SEQONLY	E3	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	462.500000	310.260000	130	2.390000
RANK_SEQONLY	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	1856.250000	1856.250000	130	14.280000
