# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
SEQ_TRF1M_L256	E3	HG	171	84	44	0.572000	668.640000	H120	242.960000	813.000000	NO_WALL	104.310000	264.690000
SEQ_TRF1M_L256	E3	NKD	181	77	49	0.492800	791.020000	SESS_CLOSE	174.370000	1032.100000	NO_WALL	118.270000	305.580000
SEQ_TRF1M_L256	E3	SI	189	90	64	0.583900	846.430000	CLOSE	0.000000	1113.000000	W1800	221.170000	440.770000
SEQ_TRF1M_L256	E4	HG	158	69	30	0.552500	593.240000	H30	295.410000	708.440000	W450	120.610000	192.190000
SEQ_TRF1M_L256	E4	NKD	189	83	37	0.524000	668.120000	SESS_CLOSE	184.460000	921.670000	W1800	82.660000	236.720000
SEQ_TRF1M_L256	E4	SI	191	83	55	0.548800	834.550000	H60	380.210000	1136.540000	NO_WALL	179.650000	369.000000
SEQ_TRF1M_L256	E5	HG	188	100	12	0.537800	485.800000	CLOSE	0.000000	666.820000	W1200	14.390000	105.280000
SEQ_TRF1M_L256	E5	NKD	192	95	43	0.567100	706.250000	CLOSE	0.000000	964.900000	W600	98.450000	242.830000
SEQ_TRF1M_L256	E5	SI	211	87	68	0.487600	914.510000	H60	379.260000	1321.530000	W300	308.040000	417.420000
SEQ_TRF1M_L256	E6	HG	170	76	31	0.568500	592.460000	H30	270.510000	751.560000	W1200	50.440000	199.460000
SEQ_TRF1M_L256	E6	NKD	193	73	79	0.521700	990.740000	SESS_CLOSE	212.150000	1285.760000	W450	257.710000	454.080000
SEQ_TRF1M_L256	E6	SI	183	85	58	0.614400	811.680000	H120	290.160000	912.400000	NO_WALL	211.760000	403.950000
SEQ_TRF1M_L256	E7	HG	216	114	25	0.449600	796.610000	SESS_CLOSE	319.440000	1077.710000	W900	0.000000	171.280000
SEQ_TRF1M_L256	E7	NKD	205	91	63	0.620900	878.540000	SESS_CLOSE	113.210000	1073.740000	W1200	99.030000	392.710000
SEQ_TRF1M_L256	E7	SI	235	99	98	0.454300	1171.650000	SESS_CLOSE	201.430000	1558.910000	W900	0.000000	558.230000
SEQ_TRF1M_L256	E8	HG	194	79	68	0.517600	979.510000	SESS_CLOSE	198.530000	1264.720000	W300	299.050000	403.220000
SEQ_TRF1M_L256	E8	NKD	186	95	56	0.559100	909.680000	CLOSE	0.000000	1107.580000	NO_WALL	148.720000	349.800000
SEQ_TRF1M_L256	E8	SI	217	104	80	0.498500	1232.550000	SESS_CLOSE	181.360000	1419.190000	NO_WALL	242.580000	500.890000
