# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
SEQ_TRF1M_L256	E3	HG	ALL	OPPORTUNITY	A	generation/coverage	6900.000000	6900.000000	130	53.080000
SEQ_TRF1M_L256	E3	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	-3253.750000	-2193.510000	130	-16.870000
SEQ_TRF1M_L256	E3	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	21159.370000	14136.710000	130	108.740000
SEQ_TRF1M_L256	E3	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	17392.500000	13452.850000	130	103.480000
SEQ_TRF1M_L256	E3	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	568.750000	366.140000	130	2.820000
SEQ_TRF1M_L256	E3	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	-3150.000000	-2549.650000	130	-19.610000
SEQ_TRF1M_L256	E3	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	19245.890000	12309.630000	130	94.690000
SEQ_TRF1M_L256	E3	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	14317.500000	10911.610000	130	83.940000
SEQ_TRF1M_L256	E3	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	850.000000	453.020000	130	3.480000
SEQ_TRF1M_L256	E3	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	-4247.500000	-2981.600000	130	-22.940000
SEQ_TRF1M_L256	E3	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	27367.920000	17989.870000	130	138.380000
SEQ_TRF1M_L256	E3	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	18300.000000	10724.330000	130	82.490000
SEQ_TRF1M_L256	E3	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1462.500000	931.290000	130	7.160000
SEQ_TRF1M_L256	E3	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	15698.750000	11672.600000	130	89.790000
SEQ_TRF1M_L256	E3	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-7587.500000	-4026.720000	130	-30.970000
SEQ_TRF1M_L256	E3	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	19945.110000	12719.780000	130	97.840000
SEQ_TRF1M_L256	E3	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	10527.500000	8524.160000	130	65.570000
SEQ_TRF1M_L256	E3	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	181.250000	150.020000	130	1.150000
SEQ_TRF1M_L256	E3	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	443.750000	367.300000	130	2.830000
SEQ_TRF1M_L256	E3	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-5545.000000	-3889.960000	130	-29.920000
SEQ_TRF1M_L256	E3	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	17844.730000	12177.140000	130	93.670000
SEQ_TRF1M_L256	E3	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	14388.750000	9783.770000	130	75.260000
SEQ_TRF1M_L256	E3	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	1481.250000	1224.680000	130	9.420000
SEQ_TRF1M_L256	E3	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-1297.500000	333.530000	130	2.570000
SEQ_TRF1M_L256	E3	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	25788.010000	15920.230000	130	122.460000
SEQ_TRF1M_L256	E3	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	17213.750000	12771.420000	130	98.240000
SEQ_TRF1M_L256	E3	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	4286.250000	2622.640000	130	20.170000
SEQ_TRF1M_L256	E3	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	9295.000000	6431.990000	130	49.480000
SEQ_TRF1M_L256	E3	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-3433.750000	-2713.710000	130	-20.870000
SEQ_TRF1M_L256	E3	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	22744.440000	12435.820000	130	95.660000
SEQ_TRF1M_L256	E3	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	23976.250000	14627.570000	130	112.520000
SEQ_TRF1M_L256	E3	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	325.000000	137.430000	130	1.060000
SEQ_TRF1M_L256	E3	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	2775.000000	1287.130000	130	9.900000
SEQ_TRF1M_L256	E3	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-2267.500000	-1828.430000	130	-14.060000
SEQ_TRF1M_L256	E3	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	20794.920000	11375.270000	130	87.500000
