# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 1/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	782.71	479.58	1085.85	256.3	0.1436	3722.88	0.2102	0	0	1648.0	0.2154
E3	HG	130	877.2	642.53	1111.87	289.43	0.1447	2996.97	0.2927	0	0	930.0	0.0615
E3	NKD	130	838.73	651.0	1026.46	277.44	0.1018	2338.27	0.3587	0	0	955.0	0.0462
E4	SI	128	1358.34	1101.69	1614.99	452.78	0.1641	3428.16	0.3962	0	0	930.0	0.0703
E4	HG	128	961.61	773.52	1149.7	320.54	0.138	2491.79	0.3859	0	0	921.25	0.0547
E4	NKD	129	1160.68	993.5	1327.86	386.89	0.1318	2350.64	0.4938	0	0	930.0	0.031
E5	SI	129	1052.54	818.69	1286.39	350.85	0.1447	2968.0	0.3546	0	0	930.0	0.062
E5	HG	129	721.34	578.45	864.22	240.45	0.0646	1936.26	0.3725	0	0	627.5	0.0233
E5	NKD	129	979.38	779.11	1179.65	326.46	0.1525	2869.79	0.3413	0	0	955.0	0.062
E6	SI	128	1047.21	717.85	1376.56	349.07	0.2031	4209.1	0.2488	0	0	1374.0	0.1797
E6	HG	128	690.13	466.3	913.96	230.04	0.1042	2528.87	0.2729	0	0	1061.25	0.1094
E6	NKD	128	906.78	630.26	1183.3	302.26	0.2031	3404.63	0.2663	0	0	1232.25	0.1562
E7	SI	131	619.73	283.61	955.85	206.58	0.1908	4731.79	0.131	0	0	1860.0	0.374
E7	HG	131	636.19	428.46	843.92	212.06	0.1094	2614.9	0.2433	0	0	1103.75	0.1145
E7	NKD	131	1696.16	1238.71	2153.61	565.39	0.2824	4958.0	0.3421	0	1	1310.0	0.1908
