# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 0/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	-109.31	-430.62	212.0	-35.79	0.1411	3722.88	-0.0294	0	0	2170.0	0.4538
E3	HG	130	-99.47	-342.56	143.62	-32.74	0.1038	2996.97	-0.0332	0	0	1940.62	0.3846
E3	NKD	130	-132.5	-328.88	63.88	-44.17	0.0615	2338.27	-0.0567	0	0	1555.0	0.3615
E4	SI	128	-40.88	-298.31	216.55	-13.63	0.099	3428.16	-0.0119	0	0	1860.0	0.3906
E4	HG	128	-205.97	-422.65	10.72	-68.66	0.0573	2491.79	-0.0827	0	0	1842.5	0.4297
E4	NKD	129	-50.47	-260.29	159.36	-16.82	0.062	2350.64	-0.0215	0	0	1587.5	0.2946
E5	SI	129	-122.56	-348.1	102.98	-40.85	0.0594	2968.0	-0.0413	0	0	1860.0	0.3411
E5	HG	129	-19.55	-185.25	146.14	-6.52	0.0491	1936.26	-0.0101	0	0	1348.75	0.2016
E5	NKD	129	-10.45	-240.08	219.19	-3.48	0.0956	2869.79	-0.0036	0	0	1676.0	0.4264
E6	SI	128	-134.63	-449.34	180.08	-44.88	0.1224	4209.1	-0.032	0	0	2253.75	0.4844
E6	HG	128	-57.68	-283.09	167.74	-19.23	0.0859	2528.87	-0.0228	0	0	1645.38	0.2734
E6	NKD	128	-23.59	-287.18	239.99	-7.86	0.125	3404.63	-0.0069	0	0	1911.5	0.4219
E7	SI	131	-48.4	-355.52	258.73	-16.13	0.1705	4731.79	-0.0102	0	0	1965.0	0.5344
E7	HG	131	-49.22	-237.86	139.43	-16.45	0.0689	2614.9	-0.0188	0	0	1583.75	0.2672
E7	NKD	131	-111.95	-469.14	245.25	-37.32	0.1603	4958.0	-0.0226	0	0	2865.0	0.542
