# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
LMART_HP_NOTF	cell	1	5817	5817	0.0	1005.22	0.3741	0.343	0.4051
LMART_HP_NOTF	cell	2	11634	5932	49.0	847.43	0.3154	0.2847	0.346
LMART_HP_NOTF	cell	3	17451	6037	65.4	717.83	0.2671	0.237	0.2973
LMART_HP_NOTF	cell	5	29084	6272	78.4	498.44	0.1855	0.156	0.2149
LMART_HP_NOTF	cell	8	46523	6624	85.8	221.44	0.0824	0.0523	0.1125
LMART_HP_NOTF	session	1	1939	1939	0.0	300.85	0.112	0.0948	0.1291
LMART_HP_NOTF	session	2	3878	2348	39.5	313.82	0.1168	0.0974	0.1361
LMART_HP_NOTF	session	3	5817	2646	54.5	305.44	0.1137	0.0932	0.1341
LMART_HP_NOTF	session	5	9695	3142	67.6	305.11	0.1135	0.0909	0.1362
LMART_HP_NOTF	session	8	15512	3804	75.5	298.2	0.111	0.086	0.1359
F1_NDCG1	cell	1	5817	5817	0.0	982.99	0.3658	0.3354	0.3962
F1_NDCG1	cell	2	11634	5932	49.0	817.23	0.3041	0.2737	0.3346
F1_NDCG1	cell	3	17451	6055	65.3	693.04	0.2579	0.2278	0.288
F1_NDCG1	cell	5	29084	6292	78.4	475.34	0.1769	0.147	0.2068
F1_NDCG1	cell	8	46523	6645	85.7	204.72	0.0762	0.0461	0.1063
F1_NDCG1	session	1	1939	1939	0.0	273.43	0.1018	0.0845	0.119
F1_NDCG1	session	2	3878	2337	39.7	267.08	0.0994	0.08	0.1188
F1_NDCG1	session	3	5817	2664	54.2	286.38	0.1066	0.0853	0.1279
F1_NDCG1	session	5	9695	3177	67.2	271.67	0.1011	0.0784	0.1238
F1_NDCG1	session	8	15512	3813	75.4	265.31	0.0987	0.0734	0.1241
F1_NDCG1_SHUF	cell	1	5817	5815	0.0	-126.02	-0.0469	-0.0673	-0.0265
F1_NDCG1_SHUF	cell	2	11634	6144	47.2	-131.57	-0.049	-0.0706	-0.0274
F1_NDCG1_SHUF	cell	3	17451	6392	63.4	-138.8	-0.0517	-0.0747	-0.0286
F1_NDCG1_SHUF	cell	5	29084	6767	76.7	-167.38	-0.0623	-0.0867	-0.0378
F1_NDCG1_SHUF	cell	8	46523	7122	84.7	-210.38	-0.0783	-0.104	-0.0526
F1_NDCG1_SHUF	session	1	1939	1939	0.0	-26.24	-0.0098	-0.0242	0.0047
F1_NDCG1_SHUF	session	2	3878	2551	34.2	-51.48	-0.0192	-0.0356	-0.0027
F1_NDCG1_SHUF	session	3	5817	3003	48.4	-48.99	-0.0182	-0.0358	-0.0007
F1_NDCG1_SHUF	session	5	9695	3637	62.5	-101.66	-0.0378	-0.0573	-0.0184
F1_NDCG1_SHUF	session	8	15512	4249	72.6	-105.79	-0.0394	-0.0595	-0.0192
