# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
H_TOP1	cell	1	5817	5816	0.0	-73.1	-0.0272	-0.05	-0.0044
H_TOP1	cell	2	11634	6067	47.9	-148.31	-0.0552	-0.0807	-0.0297
H_TOP1	cell	3	17451	6378	63.5	-155.69	-0.0579	-0.0849	-0.0309
H_TOP1	cell	5	29084	6801	76.6	-87.62	-0.0326	-0.0614	-0.0038
H_TOP1	cell	8	46523	7267	84.4	-91.42	-0.034	-0.0648	-0.0033
H_TOP1	session	1	1939	1939	0.0	-27.41	-0.0102	-0.0258	0.0054
H_TOP1	session	2	3878	2606	32.8	-54.71	-0.0204	-0.0389	-0.0018
H_TOP1	session	3	5817	3140	46.0	-67.26	-0.025	-0.0447	-0.0053
H_TOP1	session	5	9695	3953	59.2	-65.51	-0.0244	-0.0465	-0.0023
H_TOP1	session	8	15512	4860	68.7	-61.19	-0.0228	-0.0484	0.0028
H_TOP1_SHUF	cell	1	5817	5817	0.0	-85.37	-0.0318	-0.0523	-0.0113
H_TOP1_SHUF	cell	2	11634	6281	46.0	-77.26	-0.0287	-0.0519	-0.0056
H_TOP1_SHUF	cell	3	17451	6602	62.2	-103.59	-0.0385	-0.0622	-0.0149
H_TOP1_SHUF	cell	5	29084	6970	76.0	-117.04	-0.0436	-0.0692	-0.0179
H_TOP1_SHUF	cell	8	46523	7336	84.2	-102.02	-0.038	-0.0659	-0.01
H_TOP1_SHUF	session	1	1939	1939	0.0	-52.31	-0.0195	-0.0316	-0.0073
H_TOP1_SHUF	session	2	3878	2725	29.7	-53.99	-0.0201	-0.0361	-0.0041
H_TOP1_SHUF	session	3	5817	3270	43.8	-42.74	-0.0159	-0.0339	0.0021
H_TOP1_SHUF	session	5	9695	4068	58.0	-55.98	-0.0208	-0.0409	-0.0008
H_TOP1_SHUF	session	8	15512	4802	69.0	-63.91	-0.0238	-0.0467	-0.0008
LMART_HP_NOTF	cell	1	5817	5817	0.0	1005.22	0.3741	0.343	0.4051
LMART_HP_NOTF	cell	2	11634	5932	49.0	847.43	0.3154	0.2847	0.346
LMART_HP_NOTF	cell	3	17451	6037	65.4	717.83	0.2671	0.237	0.2973
LMART_HP_NOTF	cell	5	29084	6272	78.4	498.44	0.1855	0.156	0.2149
LMART_HP_NOTF	cell	8	46523	6624	85.8	221.44	0.0824	0.0523	0.1125
LMART_HP_NOTF	session	1	1939	1939	0.0	300.85	0.112	0.0948	0.1291
LMART_HP_NOTF	session	2	3878	2348	39.5	313.82	0.1168	0.0974	0.1361
LMART_HP_NOTF	session	3	5817	2646	54.5	305.44	0.1137	0.0932	0.1341
LMART_HP_NOTF	session	5	9695	3142	67.6	305.11	0.1135	0.0909	0.1362
LMART_HP_NOTF	session	8	15512	3804	75.5	298.2	0.111	0.086	0.1359
