# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# Per-fold training ledger.  `fit_secs` is the wall time of the fold (inner-selection run + full-block refit + scoring) on the RTX PRO 6000.
config	era	params	n_train	n_inner_train	n_inner_val	n_eval	train_days	eval_days	inner_rho	best_epoch	eval_auc_winner	fit_secs
SHUF_cnn_1M_L256	E3	958978	61394	50728	10666	158282	128	130	0.02131	9	0.5135	6.1
SHUF_cnn_1M_L256	E4	958978	117692	95485	22207	154742	258	129	0.01435	4	0.54	5.3
SHUF_cnn_1M_L256	E5	958978	174406	139959	34447	159055	386	129	0.00202	3	0.5366	6.3
SHUF_cnn_1M_L256	E6	958978	230351	184075	46276	169326	515	128	0.00413	2	0.5226	6.6
SHUF_cnn_1M_L256	E7	958978	299540	229992	69548	163374	643	131	0.0004	5	0.5029	15.7
SHUF_cnn_1M_L256	E8	958978	365852	288428	77424	177106	774	127	0.00303	1	0.4966	7.4
SUP_cnn_10M_L256	E3	10699394	61394	50728	10666	158282	128	130	0.02323	1	0.5129	6.2
SUP_cnn_10M_L256	E4	10699394	117692	95485	22207	154742	258	129	0.00938	5	0.6353	27.0
SUP_cnn_10M_L256	E5	10699394	174406	139959	34447	159055	386	129	0.02697	8	0.5946	55.0
SUP_cnn_10M_L256	E6	10699394	230351	184075	46276	169326	515	128	0.01314	1	0.5408	20.2
SUP_cnn_10M_L256	E7	10699394	299540	229992	69548	163374	643	131	0.00721	5	0.587	66.4
SUP_cnn_10M_L256	E8	10699394	365852	288428	77424	177106	774	127	0.01689	3	0.5544	56.6
SUP_cnn_1M_L1024	E3	1052034	61394	50728	10666	158282	128	130	0.057	3	0.5742	11.9
SUP_cnn_1M_L1024	E4	1052034	117692	95485	22207	154742	258	129	0.03088	3	0.6254	18.8
SUP_cnn_1M_L1024	E5	1052034	174406	139959	34447	159055	386	129	0.04615	8	0.6166	47.6
SUP_cnn_1M_L1024	E6	1052034	230351	184075	46276	169326	515	128	0.01068	6	0.5894	53.0
SUP_cnn_1M_L1024	E7	1052034	299540	229992	69548	163374	643	131	0.02208	5	0.5748	55.6
SUP_cnn_1M_L1024	E8	1052034	365852	288428	77424	177106	774	127	0.02561	2	0.5494	32.1
SUP_cnn_1M_L256	E3	958978	61394	50728	10666	158282	128	130	0.0163	1	0.5577	2.4
SUP_cnn_1M_L256	E4	958978	117692	95485	22207	154742	258	129	0.01976	6	0.612	7.4
SUP_cnn_1M_L256	E5	958978	174406	139959	34447	159055	386	129	0.01531	5	0.6151	9.3
SUP_cnn_1M_L256	E6	958978	230351	184075	46276	169326	515	128	0.01491	5	0.5906	12.0
SUP_cnn_1M_L256	E7	958978	299540	229992	69548	163374	643	131	0.01051	5	0.5908	15.6
SUP_cnn_1M_L256	E8	958978	365852	288428	77424	177106	774	127	0.01353	2	0.5453	10.3
SUP_cnn_1M_L4096	E3	1116546	61394	50728	10666	158282	128	130	0.05995	2	0.5765	118.2
