# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
META_GATE	cell	1	5817	5817	0.0	1002.2	0.3729	0.3419	0.404
META_GATE	cell	2	11634	5932	49.0	845.21	0.3145	0.2839	0.3452
META_GATE	cell	3	17451	6035	65.4	713.84	0.2656	0.2355	0.2958
META_GATE	cell	5	29084	6273	78.4	496.58	0.1848	0.1553	0.2142
META_GATE	cell	8	46523	6623	85.8	220.46	0.082	0.0519	0.1122
META_GATE	session	1	1939	1939	0.0	300.07	0.1117	0.0945	0.1288
META_GATE	session	2	3878	2346	39.5	314.91	0.1172	0.0978	0.1366
META_GATE	session	3	5817	2646	54.5	309.93	0.1153	0.0947	0.136
META_GATE	session	5	9695	3138	67.6	303.5	0.1129	0.0903	0.1356
META_GATE	session	8	15512	3799	75.5	296.88	0.1105	0.0855	0.1354
META_GATE_SHUF	cell	1	5817	5817	0.0	-168.21	-0.0626	-0.0815	-0.0437
META_GATE_SHUF	cell	2	11634	6361	45.3	-152.24	-0.0567	-0.0782	-0.0351
META_GATE_SHUF	cell	3	17451	6668	61.8	-156.83	-0.0584	-0.0817	-0.035
META_GATE_SHUF	cell	5	29082	7098	75.6	-161.13	-0.06	-0.0852	-0.0348
META_GATE_SHUF	cell	8	46516	7473	83.9	-189.38	-0.0705	-0.0983	-0.0426
META_GATE_SHUF	session	1	1939	1939	0.0	-59.85	-0.0223	-0.0355	-0.0091
META_GATE_SHUF	session	2	3878	2574	33.6	-75.77	-0.0282	-0.0437	-0.0127
META_GATE_SHUF	session	3	5817	3004	48.4	-65.69	-0.0244	-0.0413	-0.0075
META_GATE_SHUF	session	5	9695	3693	61.9	-105.42	-0.0392	-0.0586	-0.0199
META_GATE_SHUF	session	8	15512	4445	71.3	-108.94	-0.0405	-0.0618	-0.0193
LMART_HP_NOTF	cell	1	5817	5817	0.0	1005.22	0.3741	0.343	0.4051
LMART_HP_NOTF	cell	2	11634	5932	49.0	847.43	0.3154	0.2847	0.346
LMART_HP_NOTF	cell	3	17451	6037	65.4	717.83	0.2671	0.237	0.2973
LMART_HP_NOTF	cell	5	29084	6272	78.4	498.44	0.1855	0.156	0.2149
LMART_HP_NOTF	cell	8	46523	6624	85.8	221.44	0.0824	0.0523	0.1125
LMART_HP_NOTF	session	1	1939	1939	0.0	300.85	0.112	0.0948	0.1291
LMART_HP_NOTF	session	2	3878	2348	39.5	313.82	0.1168	0.0974	0.1361
LMART_HP_NOTF	session	3	5817	2646	54.5	305.44	0.1137	0.0932	0.1341
LMART_HP_NOTF	session	5	9695	3142	67.6	305.11	0.1135	0.0909	0.1362
LMART_HP_NOTF	session	8	15512	3804	75.5	298.2	0.111	0.086	0.1359
