# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE MOMENT LAYER ISOLATED: episode FIXED (the frozen `ep`), the only choice is which SECOND inside it — the model's argmax vs the EARLIEST actable member, which is what the reader takes and what BASE_EARLIEST replays.
# Multi-candidate episodes only, D-077 veto applied, CIs CR1 clustered by DAY.
arm	era	n_episodes	earliest_usd_per_ep	model_usd_per_ep	gain_usd_per_ep	gain_lo	gain_hi	gain_p	d_frac_ge_1000	dfg_lo	dfg_hi
SEQ_COMPOSED	E3	31020	-24.39	-31.72	-7.33	-9.09	-5.58	1.418e-13	-0.0018	-0.0026	-0.0009
SEQ_PRIMARY	E3	31020	-24.39	-30.38	-5.98	-7.76	-4.21	6.964e-10	-0.0016	-0.0024	-0.0009
GBT_COMPOSED	E3	31020	-24.39	-1.93	22.46	20.51	24.41	4.612e-47	0.0032	0.0023	0.0041
FORESIGHT_NONCAUSAL	E3	31020	-24.39	8.55	32.94	30.6	35.27	1.891e-56	0.0054	0.0043	0.0064
SEQ_COMPOSED	E4	30105	-23.72	-31.66	-7.95	-9.46	-6.43	1.18e-18	-0.0016	-0.0025	-0.0007
SEQ_PRIMARY	E4	30105	-23.72	-31.05	-7.33	-8.67	-5.99	7.748e-20	-0.0018	-0.0026	-0.001
GBT_COMPOSED	E4	30105	-23.72	-2.24	21.47	19.58	23.36	2.991e-46	0.0033	0.0025	0.0041
FORESIGHT_NONCAUSAL	E4	30105	-23.72	8.82	32.53	30.06	35.01	6.605e-53	0.0048	0.004	0.0057
SEQ_COMPOSED	E5	31332	-22.98	-30.17	-7.19	-8.72	-5.66	4.57e-16	-0.0011	-0.002	-0.0003
SEQ_PRIMARY	E5	31332	-22.98	-28.77	-5.8	-7.32	-4.27	8.642e-12	-0.0007	-0.0014	0.0
GBT_COMPOSED	E5	31332	-22.98	-4.03	18.94	17.51	20.38	4.966e-53	0.0033	0.0025	0.0041
FORESIGHT_NONCAUSAL	E5	31332	-22.98	5.96	28.94	27.34	30.54	1.843e-68	0.0048	0.0039	0.0057
SEQ_COMPOSED	E6	32909	-23.2	-32.68	-9.48	-11.44	-7.52	1.113e-16	-0.0025	-0.0035	-0.0015
SEQ_PRIMARY	E6	32909	-23.2	-29.67	-6.47	-7.99	-4.95	6.747e-14	-0.0014	-0.0022	-0.0005
GBT_COMPOSED	E6	32909	-23.2	-1.42	21.78	19.42	24.14	2.173e-37	0.0042	0.0032	0.0051
FORESIGHT_NONCAUSAL	E6	32909	-23.2	15.41	38.61	35.42	41.79	5.487e-49	0.0074	0.0063	0.0085
SEQ_COMPOSED	E7	31474	-11.35	-23.04	-11.68	-14.82	-8.55	1.767e-11	-0.0029	-0.004	-0.0017
SEQ_PRIMARY	E7	31474	-11.35	-20.15	-8.8	-11.39	-6.21	5.284e-10	-0.0023	-0.0033	-0.0012
GBT_COMPOSED	E7	31474	-11.35	14.48	25.83	22.74	28.92	8.571e-34	0.005	0.0039	0.0061
FORESIGHT_NONCAUSAL	E7	31474	-11.35	38.94	50.29	43.87	56.71	2.43e-31	0.0096	0.008	0.0111
SEQ_COMPOSED	E8	33790	-35.75	-48.89	-13.14	-16.62	-9.66	1.14e-11	-0.0038	-0.0051	-0.0026
SEQ_PRIMARY	E8	33790	-35.75	-47.32	-11.57	-14.82	-8.33	1.028e-10	-0.0035	-0.0048	-0.0023
GBT_COMPOSED	E8	33790	-35.75	-1.99	33.76	26.94	40.57	3.277e-17	0.0071	0.0057	0.0086
FORESIGHT_NONCAUSAL	E8	33790	-35.75	18.69	54.44	44.04	64.83	1.409e-18	0.0114	0.0094	0.0135
