# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# NEAREST NEIGHBOURS in the frozen embedding space for 20 probe moments drawn from the evaluation eras.
probe_cid	probe_usd	top3_neighbour_cids	n_of_5_different_day	n_of_5_different_asset	mean_neighbour_usd
HG-20240311-045683-L	-17.5	HG-20240507-071683-S@0.00 | HG-20240315-031116-S@0.00 | HG-20240409-044251-L@0.00	5	0	-77.5
HG-20240314-065424-L	476.3	HG-20240327-065361-L@0.00 | HG-20240301-061922-S@0.00 | HG-20240110-051129-S@0.00	5	0	115.0
HG-20240318-051278-L	-23.8	HG-20240228-052938-S@0.00 | HG-20240118-054833-L@0.00 | HG-20240322-062624-L@0.00	5	0	76.2
HG-20240321-030438-S	288.7	HG-20240313-032833-S@0.00 | HG-20240304-066234-L@0.00 | HG-20240417-071040-S@0.00	5	0	-85.0
HG-20240426-015071-L	770.0	HG-20240226-032680-S@0.00 | HG-20240430-015415-S@0.00 | HG-20240506-038041-S@0.00	5	0	-192.5
HG-20240429-044700-S	-11.2	HG-20240424-021750-L@0.00 | HG-20240513-040466-S@0.00 | HG-20240430-041509-L@0.00	5	0	61.3
HG-20240612-049045-L	513.7	HG-20240603-039683-S@0.00 | HG-20240621-037646-L@0.00 | HG-20240628-041297-L@0.00	5	0	293.8
HG-20240614-060581-L	713.7	HG-20240613-065974-L@0.00 | HG-20240603-063182-S@0.00 | HG-20240502-034411-L@0.00	5	0	-245.0
NKD-20240216-064612-L	-955.0	NKD-20240229-077524-L@0.00 | NKD-20240130-069247-L@0.00 | NKD-20240521-067987-L@0.00	5	0	-145.0
NKD-20240423-010269-S	720.0	NKD-20240223-002651-S@0.00 | NKD-20240625-007601-L@0.00 | NKD-20240318-008291-S@0.00	5	0	-150.0
NKD-20240516-071107-S	745.0	NKD-20240313-069013-L@0.00 | NKD-20240405-071655-S@0.00 | NKD-20240606-035297-L@0.00	5	0	202.5
NKD-20240628-016036-L	-930.0	NKD-20240628-010941-S@0.00 | NKD-20240610-029823-S@0.00 | NKD-20240626-014225-S@0.00	4	0	87.5
SI-20240108-032530-S	245.0	SI-20240205-038951-L@0.00 | SI-20240125-034183-L@0.00 | SI-20240103-041169-L@0.00	5	0	830.0
SI-20240117-052288-S	595.0	SI-20240117-052324-L@0.00 | SI-20240112-056275-S@0.00 | SI-20240205-057673-S@0.00	4	0	452.5
SI-20240229-009328-L	257.5	SI-20240226-034890-S@0.00 | SI-20240219-002762-S@0.00 | SI-20240312-077267-L@0.00	5	0	110.0
SI-20240410-052514-S	-930.0	SI-20240410-052494-S@0.00 | SI-20240516-055816-S@0.00 | SI-20240410-054357-S@0.00	3	0	-505.0
SI-20240426-052336-S	1945.0	SI-20240503-056106-S@0.00 | SI-20240503-056136-L@0.00 | SI-20240411-052245-L@0.00	5	0	-380.0
SI-20240503-065896-S	-930.0	SI-20240304-000829-L@0.00 | SI-20240411-062867-S@0.00 | SI-20240327-042446-S@0.00	5	0	-147.5
SI-20240507-015859-L	-380.0	SI-20240430-017046-L@0.00 | SI-20240321-036310-L@0.00 | SI-20240501-039650-L@0.00	5	0	-55.0
SI-20240604-048731-L	-930.0	SI-20240520-036228-S@0.00 | SI-20240521-036919-S@0.00 | SI-20240529-016673-S@0.00	4	0	-102.5
