# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE PRETRAIN QUALITY GATE: a HELD-OUT-DAY split of the pretraining objective itself (whole days, all assets, never trained on).
# The overfit gate stops the run and reverts to the best-val checkpoint if val rises on two consecutive evaluations; checkpoint selection is by VAL, never by train loss.
# Per-asset columns exist because a backbone that only learned SI fails the shared-arm reading (matrix signature R5).
trunk	step	train_next	val_next	val_minus_train	val_SI	val_HG	val_NKD	secs
PRE_V2_shared_NEXT	400	23.29863	3.83013	-19.4685	3.81679	3.78888	3.94457	139.6
PRE_V2_shared_NEXT	800	3.64881	3.48661	-0.1622	3.4788	3.47446	3.52879	434.2
PRE_V2_shared_NEXT	1200	3.43543	3.33497	-0.10046	3.31848	3.31618	3.40973	637.0
PRE_V2_shared_NEXT	1600	3.34177	3.28414	-0.05763	3.26878	3.27512	3.3362	778.5
PRE_V2_shared_NEXT	2000	3.2537	3.13481	-0.11889	3.09683	3.13632	3.21424	920.1
PRE_V2_shared_NEXT	2400	3.05244	2.93885	-0.11359	2.9113	2.93943	2.99749	1061.7
PRE_V2_shared_NEXT	2800	2.91415	2.86643	-0.04772	2.84688	2.87309	2.89513	1203.2
PRE_V2_shared_NEXT	3200	2.84094	2.81007	-0.03087	2.80202	2.81579	2.8157	1345.0
PRE_V2_shared_NEXT	3600	2.79577	2.78406	-0.01171	2.77737	2.7917	2.78277	1486.7
PRE_V2_shared_NEXT	4000	2.76881	2.75639	-0.01242	2.75238	2.76622	2.74476	1628.4
PRE_V2_shared_NEXT	4400	2.74849	2.7428	-0.00569	2.7416	2.75222	2.72588	1770.3
PRE_V2_shared_NEXT	4800	2.73699	2.73533	-0.00166	2.73513	2.74501	2.71574	1912.1
PRE_V2_shared_NEXT	5200	2.72823	2.72986	0.00163	2.7307	2.73975	2.70755	2054.1
PRE_V2_shared_NEXT	5600	2.72622	2.72756	0.00134	2.72861	2.73765	2.70436	2196.1
PRE_V_shared_MULTI	400	21.71571	3.75069	-17.96502	3.74995	3.69984	3.85762	147.9
PRE_V_shared_MULTI	800	3.70289	3.40062	-0.30227	3.42171	3.34488	3.47024	297.8
PRE_V_shared_MULTI	1200	3.45675	3.36084	-0.09591	3.38468	3.30709	3.42037	447.6
PRE_V_shared_MULTI	1600	3.36991	3.32168	-0.04823	3.34293	3.26861	3.38546	597.5
PRE_V_shared_MULTI	2000	3.30896	3.25651	-0.05245	3.2739	3.20742	3.32043	747.9
PRE_V_shared_MULTI	2400	3.26061	3.20818	-0.05243	3.22365	3.15927	3.27588	898.2
PRE_V_shared_MULTI	2800	3.14343	3.03995	-0.10348	3.03724	3.0054	3.11746	1048.7
PRE_V_shared_MULTI	3200	3.00377	2.94901	-0.05476	2.95133	2.92453	2.99467	1199.1
PRE_V_shared_MULTI	3600	2.93797	2.90589	-0.03208	2.91091	2.88704	2.93406	1349.4
PRE_V_shared_MULTI	4000	2.90744	2.88521	-0.02223	2.89198	2.86859	2.9049	1500.5
PRE_V_shared_MULTI	4400	2.89166	2.87698	-0.01468	2.88448	2.86116	2.89343	1652.3
PRE_V_shared_NEXT	400	21.39979	4.01729	-17.3825	4.02071	3.98646	4.07372	136.8
PRE_V_shared_NEXT	800	3.76658	3.47528	-0.2913	3.48831	3.41102	3.58009	275.0
PRE_V_shared_NEXT	1200	3.45978	3.36319	-0.09659	3.37342	3.31029	3.45054	413.5
PRE_V_shared_NEXT	1600	3.36234	3.35581	-0.00653	3.38916	3.30806	3.38226	552.1
PRE_V_shared_NEXT	2000	3.29874	3.2233	-0.07544	3.23385	3.17409	3.30232	690.7
PRE_V_shared_NEXT	2400	3.16394	3.06241	-0.10153	3.06784	3.02872	3.1204	829.5
PRE_V_shared_NEXT	2800	2.98207	2.91958	-0.06249	2.92679	2.90293	2.93842	968.2
PRE_V_shared_NEXT	3200	2.89367	2.85744	-0.03623	2.86765	2.84787	2.85508	1106.9
PRE_V_shared_NEXT	3600	2.84577	2.82503	-0.02074	2.83754	2.81742	2.81362	1245.6
PRE_V_shared_NEXT	4000	2.81587	2.80523	-0.01064	2.81876	2.80037	2.78592	1384.3
PRE_V_shared_NEXT	4400	2.79998	2.79563	-0.00435	2.81004	2.79122	2.77344	1523.1
PRE_V_shared_NEXT	4800	2.79295	2.79125	-0.0017	2.80607	2.78703	2.7678	1661.8
PRE_V_si_MULTI	400	19.23705	3.61066	-15.62639	3.61066			151.1
PRE_V_si_MULTI	800	3.58026	3.38725	-0.19301	3.38725			302.3
PRE_V_si_MULTI	1200	3.36596	3.29186	-0.0741	3.29186			451.7
PRE_V_si_MULTI	1600	3.27282	3.25102	-0.0218	3.25102			601.3
PRE_V_si_MULTI	2000	3.23604	3.22732	-0.00872	3.22732			751.0
PRE_V_si_MULTI	2400	3.21719	3.21707	-0.00012	3.21707			900.6
