# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE DEPLOYABLE READING, on the schedule the HARNESS itself selects: the per-era (unit, N) that m3_walk chose on its own inner validation block, read out of the committed walk.summary.json.  It never saw an evaluation era, so applying it here leaks nothing.
# The first pass used a fixed top-3-per-asset-DAY schedule that forfeits 63-65% of its takes (one position per asset-session).  That was a scoring defect of this lane and these rows replace those numbers.  Nothing is refitted: the same out-of-sample score columns are re-seated.
arm	era	policy	n_takes	n_seated	forfeit_pct	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_day	capture_oracle	co_lo	co_hi
LMART_CELL_COMPOSED	E3	cell/2	2340	1179	49.6	-51.22	-219.57	117.13	-16.94	0.1001	-0.017	-0.0202	-0.0865	0.0461
LMART_CELL_COMPOSED	E4	cell/1	1155	1154	0.1	-110.2	-243.85	23.46	-36.76	0.0719	-0.04	-0.0522	-0.1154	0.011
LMART_CELL_COMPOSED	E5	cell/1	1161	1161	0.0	-71.83	-205.21	61.55	-23.94	0.0724	-0.0277	-0.0406	-0.1159	0.0347
LMART_CELL_COMPOSED	E6	cell/1	1152	1152	0.0	126.6	-19.06	272.27	42.2	0.1128	0.0374	0.0419	-0.0063	0.0901
LMART_CELL_COMPOSED	E7	cell/1	1179	1179	0.0	-178.65	-341.71	-15.58	-59.55	0.1179	-0.0436	-0.0449	-0.086	-0.0038
LMART_CELL_COMPOSED	E8	cell/1	1143	1143	0.0	148.17	-84.88	381.22	49.39	0.1461	0.0345	0.0342	-0.0191	0.0874
LMART_CELL_COMPOSED	POOLED_E3-E8	m3_committed				-23.85	-91.43	43.73			-0.0071	-0.0081	-0.0309	0.0148
LMART_CELL_ALLDATA	E3	cell/2	2340	1184	49.4	55.88	-103.23	214.98	18.41	0.1064	0.0185	0.022	-0.0402	0.0842
LMART_CELL_ALLDATA	E4	cell/1	1155	1155	0.0	764.33	605.6	923.07	254.78	0.1212	0.2774	0.3619	0.2853	0.4384
LMART_CELL_ALLDATA	E5	cell/1	1161	1161	0.0	706.77	563.45	850.09	235.59	0.1163	0.2727	0.3992	0.3159	0.4825
LMART_CELL_ALLDATA	E6	cell/1	1152	1152	0.0	1201.06	1008.61	1393.51	400.35	0.1814	0.3553	0.3977	0.328	0.4674
LMART_CELL_ALLDATA	E7	cell/1	1179	1179	0.0	1131.77	904.91	1358.64	377.26	0.2036	0.2759	0.2846	0.2278	0.3415
LMART_CELL_ALLDATA	E8	cell/1	1143	1143	0.0	1773.93	1466.1	2081.75	591.31	0.2633	0.4133	0.4089	0.342	0.4757
LMART_CELL_ALLDATA	POOLED_E3-E8	m3_committed				935.97	845.11	1026.83			0.2789	0.3164	0.2874	0.3454
