# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE DEPLOYABLE READING, on the schedule the HARNESS itself selects: the per-era (unit, N) that m3_walk chose on its own inner validation block, read out of the committed walk.summary.json.  It never saw an evaluation era, so applying it here leaks nothing.
# The first pass used a fixed top-3-per-asset-DAY schedule that forfeits 63-65% of its takes (one position per asset-session).  That was a scoring defect of this lane and these rows replace those numbers.  Nothing is refitted: the same out-of-sample score columns are re-seated.
arm	era	policy	n_takes	n_seated	forfeit_pct	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_day	capture_oracle	co_lo	co_hi
LMART_HP_NOTF	E3	cell/2	2340	1183	49.4	837.83	651.06	1024.6	276.21	0.1336	0.2775	0.3301	0.2599	0.4003
LMART_HP_NOTF	E4	cell/1	1155	1155	0.0	1195.99	1058.57	1333.41	398.66	0.1446	0.434	0.5662	0.4982	0.6342
LMART_HP_NOTF	E5	cell/1	1161	1161	0.0	959.4	828.82	1089.98	319.8	0.1197	0.3702	0.5419	0.4599	0.6239
LMART_HP_NOTF	E6	cell/1	1152	1152	0.0	927.02	749.24	1104.81	309.01	0.171	0.2742	0.307	0.2431	0.3708
LMART_HP_NOTF	E7	cell/1	1179	1179	0.0	966.28	742.38	1190.19	322.09	0.1925	0.2356	0.243	0.1878	0.2983
LMART_HP_NOTF	POOLED_E3-E8	m3_committed				976.91	898.88	1054.94			0.3079	0.3635	0.3327	0.3943
LMART_SIDESOFT	E3	cell/2	2340	1183	49.4	837.83	651.06	1024.6	276.21	0.1336	0.2775	0.3301	0.2599	0.4003
LMART_SIDESOFT	E4	cell/1	1155	1155	0.0	1204.03	1064.75	1343.3	401.34	0.1455	0.4369	0.57	0.5018	0.6383
LMART_SIDESOFT	E5	cell/1	1161	1161	0.0	959.4	828.82	1089.98	319.8	0.1197	0.3702	0.5419	0.4599	0.6239
LMART_SIDESOFT	E6	cell/1	1152	1152	0.0	946.41	765.97	1126.85	315.47	0.1727	0.2799	0.3134	0.249	0.3778
LMART_SIDESOFT	E7	cell/1	1179	1179	0.0	966.28	742.38	1190.19	322.09	0.1925	0.2356	0.243	0.1878	0.2983
LMART_SIDESOFT	POOLED_E3-E8	m3_committed				982.34	903.94	1060.75			0.3096	0.3656	0.3347	0.3964
LMART_SIDESOFT_SHUF	E3	cell/2	2340	1215	48.1	-97.68	-230.62	35.27	-31.35	0.0815	-0.0323	-0.0385	-0.091	0.0141
LMART_SIDESOFT_SHUF	E4	cell/1	1155	1154	0.1	-205.08	-330.1	-80.07	-68.42	0.0737	-0.0744	-0.0971	-0.158	-0.0361
LMART_SIDESOFT_SHUF	E5	cell/1	1161	1161	0.0	-79.68	-198.1	38.74	-26.56	0.0646	-0.0307	-0.045	-0.1128	0.0228
LMART_SIDESOFT_SHUF	E6	cell/1	1152	1151	0.1	-171.74	-303.53	-39.95	-57.3	0.0617	-0.0508	-0.0569	-0.1003	-0.0134
LMART_SIDESOFT_SHUF	E7	cell/1	1179	1178	0.1	-162.79	-303.54	-22.04	-54.31	0.0934	-0.0397	-0.0409	-0.0765	-0.0054
LMART_SIDESOFT_SHUF	POOLED_E3-E8	m3_committed				-143.28	-200.95	-85.6			-0.0452	-0.0533	-0.0749	-0.0317
