# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE DEPLOYABLE READING, on the schedule the HARNESS itself selects: the per-era (unit, N) that m3_walk chose on its own inner validation block, read out of the committed walk.summary.json.  It never saw an evaluation era, so applying it here leaks nothing.
# The first pass used a fixed top-3-per-asset-DAY schedule that forfeits 63-65% of its takes (one position per asset-session).  That was a scoring defect of this lane and these rows replace those numbers.  Nothing is refitted: the same out-of-sample score columns are re-seated.
arm	era	policy	n_takes	n_seated	forfeit_pct	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_day	capture_oracle	co_lo	co_hi
STK_TABPFN	E3	cell/2	2340	1183	49.4	840.38	653.68	1027.08	277.05	0.1336	0.2783	0.3311	0.261	0.4012
STK_TABPFN	E4	cell/1	1155	1155	0.0	1196.23	1058.76	1333.71	398.74	0.1446	0.4341	0.5663	0.4983	0.6343
STK_TABPFN	E5	cell/1	1161	1161	0.0	959.71	829.17	1090.25	319.9	0.1197	0.3704	0.5421	0.4601	0.6241
STK_TABPFN	E6	cell/1	1152	1152	0.0	927.53	749.87	1105.19	309.18	0.171	0.2743	0.3071	0.2433	0.371
STK_TABPFN	E7	cell/1	1179	1179	0.0	972.34	749.56	1195.12	324.11	0.1934	0.2371	0.2445	0.1896	0.2995
STK_TABPFN	POOLED_E3-E7	m3_committed				978.86	900.98	1056.74			0.3085	0.3643	0.3335	0.395
LMART_HP_NOTF	E3	cell/2	2340	1183	49.4	837.83	651.06	1024.6	276.21	0.1336	0.2775	0.3301	0.2599	0.4003
LMART_HP_NOTF	E4	cell/1	1155	1155	0.0	1195.99	1058.57	1333.41	398.66	0.1446	0.434	0.5662	0.4982	0.6342
LMART_HP_NOTF	E5	cell/1	1161	1161	0.0	959.4	828.82	1089.98	319.8	0.1197	0.3702	0.5419	0.4599	0.6239
LMART_HP_NOTF	E6	cell/1	1152	1152	0.0	927.02	749.24	1104.81	309.01	0.171	0.2742	0.307	0.2431	0.3708
LMART_HP_NOTF	E7	cell/1	1179	1179	0.0	966.28	742.38	1190.19	322.09	0.1925	0.2356	0.243	0.1878	0.2983
LMART_HP_NOTF	POOLED_E3-E7	m3_committed				976.91	898.88	1054.94			0.3079	0.3635	0.3327	0.3943
