# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
STK_TABPFN	cell	1	5817	5817	0.0	1009.41	0.3756	0.3445	0.4067
STK_TABPFN	cell	2	11634	5932	49.0	849.75	0.3162	0.2856	0.3468
STK_TABPFN	cell	3	17451	6037	65.4	719.42	0.2677	0.2377	0.2978
STK_TABPFN	cell	5	29084	6272	78.4	498.52	0.1855	0.156	0.215
STK_TABPFN	cell	8	46523	6625	85.8	221.51	0.0824	0.0523	0.1125
STK_TABPFN	session	1	1939	1939	0.0	447.03	0.1664	0.1448	0.1879
STK_TABPFN	session	2	3878	3470	10.5	714.13	0.2658	0.2393	0.2922
STK_TABPFN	session	3	5817	4431	23.8	803.29	0.2989	0.2703	0.3276
STK_TABPFN	session	5	9695	5500	43.3	844.9	0.3144	0.2843	0.3445
STK_TABPFN	session	8	15512	6003	61.3	770.02	0.2865	0.2558	0.3173
LMART_HP_NOTF	cell	1	5817	5817	0.0	1005.22	0.3741	0.343	0.4051
LMART_HP_NOTF	cell	2	11634	5932	49.0	847.43	0.3154	0.2847	0.346
LMART_HP_NOTF	cell	3	17451	6037	65.4	717.83	0.2671	0.237	0.2973
LMART_HP_NOTF	cell	5	29084	6272	78.4	498.44	0.1855	0.156	0.2149
LMART_HP_NOTF	cell	8	46523	6624	85.8	221.44	0.0824	0.0523	0.1125
LMART_HP_NOTF	session	1	1939	1939	0.0	300.85	0.112	0.0948	0.1291
LMART_HP_NOTF	session	2	3878	2348	39.5	313.82	0.1168	0.0974	0.1361
LMART_HP_NOTF	session	3	5817	2646	54.5	305.44	0.1137	0.0932	0.1341
LMART_HP_NOTF	session	5	9695	3142	67.6	305.11	0.1135	0.0909	0.1362
LMART_HP_NOTF	session	8	15512	3804	75.5	298.2	0.111	0.086	0.1359
